match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828669097,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776805121193,1776806613494,1492,False,Jinx,10,7,5,SILVER IV,2026-04-21 21:23:33.494
EUW1_7828575178,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776801627287,1776803680033,2053,False,Jinx,7,8,10,SILVER IV,2026-04-21 20:34:40.033
EUW1_7827955053,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776767406485,1776768793126,1387,False,Jinx,5,5,1,SILVER IV,2026-04-21 10:53:13.126
EUW1_7827934460,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776764649892,1776766343669,1694,True,Jinx,5,1,7,SILVER IV,2026-04-21 10:12:23.669
EUW1_7827884922,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776758780777,1776760311191,1530,True,Jinx,11,6,6,SILVER IV,2026-04-21 08:31:51.191
EUW1_7827871714,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776755902058,1776757795012,1893,False,Jinx,3,9,9,SILVER IV,2026-04-21 07:49:55.012
EUW1_7827536737,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776715698169,1776717726895,2029,False,Jinx,16,5,3,SILVER IV,2026-04-20 20:42:06.895
EUW1_7827440299,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776712495359,1776714674100,2179,True,Jinx,5,14,13,SILVER IV,2026-04-20 19:51:14.100
EUW1_7826835438,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776675158549,1776677267618,2109,False,Jinx,7,10,3,SILVER IV,2026-04-20 09:27:47.618
EUW1_7826821550,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776671755779,1776673230978,1475,True,Ahri,8,6,4,SILVER IV,2026-04-20 08:20:30.978
EUW1_7826803253,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776669093266,1776671307678,2214,True,Jinx,15,9,11,SILVER IV,2026-04-20 07:48:27.678
EUW1_7826251207,LMvHU2Jebe69MUedEQ63GHoDBbLiHgFrwFZF_Lhx4FfaZAwZZd_CWeg4Xrcv9Lp5-5FjHZvBPQwDkw,1776621806810,1776623544325,1737,True,Jinx,19,6,6,SILVER IV,2026-04-19 18:32:24.325
