match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829691735,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776892968038,1776895365886,2398,False,Caitlyn,5,11,12,SILVER III,2026-04-22 22:02:45.886
EUW1_7829646427,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776891331360,1776892722034,1391,False,DrMundo,2,7,1,SILVER III,2026-04-22 21:18:42.034
EUW1_7829594716,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776888838848,1776891093239,2254,False,Varus,10,7,7,SILVER III,2026-04-22 20:51:33.239
EUW1_7829561027,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776887599853,1776888558247,958,False,Lucian,2,6,1,SILVER III,2026-04-22 20:09:18.247
EUW1_7828623196,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776803376080,1776805014327,1638,False,Lucian,6,9,3,SILVER III,2026-04-21 20:56:54.327
EUW1_7828577297,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776801704387,1776803051858,1347,False,Yunara,0,5,0,SILVER III,2026-04-21 20:24:11.858
EUW1_7828504620,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776798895269,1776801316916,2422,True,Varus,8,10,9,SILVER III,2026-04-21 19:55:16.916
EUW1_7828435944,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776796334974,1776798307080,1972,False,Varus,8,14,12,SILVER III,2026-04-21 19:05:07.080
EUW1_7826552461,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776632087482,1776633605998,1518,True,Ashe,4,2,8,SILVER III,2026-04-19 21:20:05.998
EUW1_7826499812,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776630153540,1776631804517,1651,True,Malphite,1,3,15,SILVER III,2026-04-19 20:50:04.517
EUW1_7826421860,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776627571786,1776629743689,2172,True,Varus,15,10,16,SILVER III,2026-04-19 20:15:43.689
EUW1_7824077840,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776463035756,1776465362102,2326,True,Ezreal,20,4,13,SILVER III,2026-04-17 22:36:02.102
EUW1_7824028958,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776461116950,1776462795420,1678,False,Yunara,1,7,1,SILVER III,2026-04-17 21:53:15.420
EUW1_7823930583,N4pOcGnIBlU3WiOgUEgKWChRyD_PGtWnKMj8Mp_NZK-0dX5UAkQZXo6aksO5T2aupz8hTS3QhbRGeQ,1776457253980,1776460111965,2858,True,Zeri,22,15,19,SILVER III,2026-04-17 21:08:31.965
