match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842550687,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777920875894,1777923054711,2179,False,Kayle,4,6,5,GOLD IV,2026-05-04 19:30:54.711
EUW1_7842493089,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777918752112,1777920621259,1869,False,DrMundo,1,6,7,GOLD IV,2026-05-04 18:50:21.259
EUW1_7842395523,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777914329575,1777916358141,2028,False,DrMundo,11,4,10,GOLD IV,2026-05-04 17:39:18.141
EUW1_7842359532,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777912612057,1777914063578,1451,False,DrMundo,3,7,2,GOLD IV,2026-05-04 17:01:03.578
EUW1_7842206905,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777904591594,1777906216256,1625,False,Jinx,1,8,2,GOLD IV,2026-05-04 14:50:16.256
EUW1_7841995966,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777887257473,1777889476255,2219,True,Jinx,10,5,10,GOLD IV,2026-05-04 10:11:16.255
EUW1_7841976212,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777885200465,1777886777934,1577,False,DrMundo,6,3,2,GOLD IV,2026-05-04 09:26:17.934
EUW1_7841955200,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777881884002,1777883826267,1942,False,Teemo,3,6,2,GOLD IV,2026-05-04 08:37:06.267
EUW1_7841755484,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777844810926,1777847702733,2892,False,Vayne,15,11,14,GOLD IV,2026-05-03 22:35:02.733
EUW1_7841640527,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777839966884,1777841248533,1282,False,DrMundo,2,4,2,GOLD IV,2026-05-03 20:47:28.533
EUW1_7841501209,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777835141256,1777837217894,2076,True,Mordekaiser,6,5,9,GOLD IV,2026-05-03 19:40:17.894
EUW1_7840800055,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777802246428,1777804256054,2009,True,DrMundo,7,5,7,GOLD IV,2026-05-03 10:30:56.054
EUW1_7840768344,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777799811163,1777801928740,2117,True,DrMundo,5,9,6,GOLD IV,2026-05-03 09:52:08.740
EUW1_7840751914,N6gOP17i4LucKejYV40ANHDSLVv0gdb_7nhgulK9MQOrGiwxvoTn1rynQnwQ4HnTfqWkQOHCWV5AHA,1777798260748,1777798556637,296,False,DrMundo,0,1,0,GOLD IV,2026-05-03 08:55:56.637
