match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829934148,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776934182051,1776936746816,2565,False,LeeSin,10,12,8,GOLD IV,2026-04-23 09:32:26.816
EUW1_7829914246,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776931161131,1776933721562,2560,True,DrMundo,7,3,9,GOLD IV,2026-04-23 08:42:01.562
EUW1_7829759696,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776896825133,1776899066932,2242,True,LeeSin,7,9,11,GOLD IV,2026-04-22 23:04:26.932
EUW1_7829715628,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776894268938,1776896505492,2236,False,Rengar,13,10,5,GOLD IV,2026-04-22 22:21:45.492
EUW1_7829666092,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776892129498,1776894032122,1902,True,LeeSin,12,3,5,GOLD IV,2026-04-22 21:40:32.122
EUW1_7829404468,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776881021661,1776883666891,2645,False,LeeSin,8,11,11,GOLD IV,2026-04-22 18:47:46.891
EUW1_7829351298,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776878833190,1776880701669,1868,True,LeeSin,17,5,18,GOLD IV,2026-04-22 17:58:21.669
EUW1_7829297529,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776875855566,1776877866225,2011,False,LeeSin,4,8,12,GOLD IV,2026-04-22 17:11:06.225
EUW1_7829233272,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776872718730,1776874978618,2260,True,LeeSin,7,4,14,GOLD IV,2026-04-22 16:22:58.618
EUW1_7829037572,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776858310042,1776860219759,1910,True,Rengar,6,6,13,GOLD IV,2026-04-22 12:16:59.759
EUW1_7828998960,N84ONTEhkdEA9LlAtlOA24I5nP3HlijhDvyyIau5BfH92LPtaPExp3coBu2J4IInpH-3crqPGzvmfQ,1776855213423,1776857405396,2192,False,Rengar,3,10,5,GOLD IV,2026-04-22 11:30:05.396
