match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830561470,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776973877215,1776975955928,2079,False,Gangplank,11,6,3,SILVER II,2026-04-23 20:25:55.928
EUW1_7830492189,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776971458291,1776973574695,2116,False,Gangplank,6,9,7,SILVER II,2026-04-23 19:46:14.695
EUW1_7829599435,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776889289918,1776890437016,1147,False,Pantheon,2,5,2,SILVER II,2026-04-22 20:40:37.016
EUW1_7829551518,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776887009347,1776889049198,2040,False,Pantheon,5,13,4,SILVER II,2026-04-22 20:17:29.198
EUW1_7829490408,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776884997282,1776886679938,1683,True,Leona,2,8,18,SILVER II,2026-04-22 19:37:59.938
EUW1_7828519422,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776799617987,1776802104615,2486,True,Gangplank,16,9,11,SILVER II,2026-04-21 20:08:24.615
EUW1_7828441456,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776796351904,1776799149193,2797,False,Gangplank,20,14,11,SILVER II,2026-04-21 19:19:09.193
EUW1_7828386577,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776794412339,1776796018639,1606,True,Gangplank,7,5,2,SILVER II,2026-04-21 18:26:58.639
EUW1_7828284378,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776790294546,1776792124750,1830,False,Gangplank,9,6,2,SILVER II,2026-04-21 17:22:04.750
EUW1_7826445278,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776628432331,1776631243310,2811,False,Gangplank,12,6,10,SILVER II,2026-04-19 20:40:43.310
EUW1_7826390245,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776626540898,1776628168072,1627,True,Gangplank,8,4,5,SILVER II,2026-04-19 19:49:28.072
EUW1_7826317926,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776624170847,1776626261959,2091,False,MissFortune,9,12,4,SILVER II,2026-04-19 19:17:41.959
EUW1_7823934581,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776457381021,1776460110309,2729,False,Jinx,6,11,14,SILVER II,2026-04-17 21:08:30.309
EUW1_7823868101,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776455178725,1776457081607,1903,False,Ashe,5,8,7,SILVER II,2026-04-17 20:18:01.607
EUW1_7823796098,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776452279764,1776454897641,2618,True,Gangplank,16,8,10,SILVER II,2026-04-17 19:41:37.641
EUW1_7823750837,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776450121606,1776452004608,1883,False,Ashe,2,9,9,SILVER II,2026-04-17 18:53:24.608
EUW1_7823659098,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776445910118,1776447416392,1506,False,Smolder,5,7,2,SILVER II,2026-04-17 17:36:56.392
EUW1_7822856560,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776371598170,1776373549704,1951,False,Smolder,5,3,6,SILVER II,2026-04-16 21:05:49.704
EUW1_7822795399,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776369599016,1776371224432,1625,True,Gangplank,13,2,5,SILVER II,2026-04-16 20:27:04.432
EUW1_7821706386,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776284078676,1776285828439,1750,True,Ashe,14,2,10,SILVER II,2026-04-15 20:43:48.439
EUW1_7821654629,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776281889854,1776283796173,1906,True,Smolder,7,9,5,SILVER II,2026-04-15 20:09:56.173
EUW1_7821599111,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776279884285,1776281579047,1695,True,Gangplank,3,5,9,SILVER II,2026-04-15 19:32:59.047
EUW1_7820494468,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776189942498,1776192077269,2135,False,Zoe,8,8,9,SILVER II,2026-04-14 18:41:17.269
EUW1_7819702002,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776109559041,1776112690033,3131,False,Zoe,18,6,18,SILVER II,2026-04-13 20:38:10.033
EUW1_7819625182,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1776106720347,1776109253469,2533,True,Zoe,11,4,21,SILVER II,2026-04-13 19:40:53.469
EUW1_7814505004,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775680081395,1775681001424,920,True,Zoe,5,0,3,SILVER II,2026-04-08 20:43:21.424
EUW1_7814449053,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775677669390,1775679807090,2138,False,Gangplank,3,9,9,SILVER II,2026-04-08 20:23:27.090
EUW1_7814403876,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775675579199,1775677309126,1730,True,Gangplank,7,3,10,SILVER II,2026-04-08 19:41:49.126
EUW1_7814325577,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775671919114,1775673432043,1513,False,Gangplank,4,9,2,SILVER II,2026-04-08 18:37:12.043
EUW1_7813349332,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775584721299,1775587347965,2627,False,Gangplank,11,12,8,SILVER II,2026-04-07 18:42:27.965
EUW1_7813327134,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775583681075,1775584457439,776,False,Gangplank,0,2,1,SILVER II,2026-04-07 17:54:17.439
EUW1_7812583751,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775506865487,1775509001022,2135,True,Gangplank,16,7,9,SILVER II,2026-04-06 20:56:41.022
EUW1_7812519307,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775504517367,1775506530113,2013,False,Gangplank,3,8,7,SILVER II,2026-04-06 20:15:30.113
EUW1_7812464173,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775502432442,1775504278059,1845,False,Gangplank,10,11,6,SILVER II,2026-04-06 19:37:58.059
EUW1_7812393070,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775499543067,1775502053384,2510,False,Zoe,24,3,9,SILVER II,2026-04-06 19:00:53.384
EUW1_7810221264,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775334231611,1775336699370,2468,False,Gangplank,7,10,4,SILVER II,2026-04-04 21:04:59.370
EUW1_7810168514,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775331744811,1775333938576,2194,False,Gangplank,8,9,3,SILVER II,2026-04-04 20:18:58.576
EUW1_7810113270,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775329476697,1775331407135,1930,True,Gangplank,6,7,5,SILVER II,2026-04-04 19:36:47.135
EUW1_7810068390,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775327371214,1775329160789,1789,False,Gangplank,7,9,5,SILVER II,2026-04-04 18:59:20.789
EUW1_7807931928,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775161784043,1775163314239,1530,False,Gangplank,4,7,2,SILVER II,2026-04-02 20:55:14.239
EUW1_7807855557,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775158734173,1775161551850,2818,True,Gangplank,16,9,18,SILVER II,2026-04-02 20:25:51.850
EUW1_7807782850,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775156035589,1775157533728,1498,True,Gangplank,10,1,6,SILVER II,2026-04-02 19:18:53.728
EUW1_7807744726,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775154235914,1775155687978,1452,False,Gangplank,2,7,1,SILVER II,2026-04-02 18:48:07.978
EUW1_7807695218,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775152190544,1775153935991,1745,False,Gangplank,3,7,10,SILVER II,2026-04-02 18:18:55.991
EUW1_7806822240,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775074112713,1775075753430,1641,False,Gangplank,1,5,4,SILVER II,2026-04-01 20:35:53.430
EUW1_7806760707,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775071537383,1775073743128,2206,True,Gangplank,10,7,7,SILVER II,2026-04-01 20:02:23.128
EUW1_7806711908,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775069833980,1775071276279,1442,True,Gangplank,8,2,9,SILVER II,2026-04-01 19:21:16.279
EUW1_7806660179,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775067667824,1775069467986,1800,True,Gangplank,9,3,10,SILVER II,2026-04-01 18:51:07.986
EUW1_7806583022,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1775064141937,1775065822045,1680,True,Gangplank,10,3,5,SILVER II,2026-04-01 17:50:22.045
EUW1_7805830526,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1774988196383,1774990488387,2292,False,Gangplank,11,9,8,SILVER II,2026-03-31 20:54:48.387
EUW1_7805780218,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1774986478852,1774987928862,1450,False,Gangplank,4,3,1,SILVER II,2026-03-31 20:12:08.862
EUW1_7805723427,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1774984327359,1774986228422,1901,False,Gangplank,4,11,9,SILVER II,2026-03-31 19:43:48.422
EUW1_7805677824,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1774982187904,1774984075348,1887,True,Gangplank,8,5,10,SILVER II,2026-03-31 19:07:55.348
EUW1_7805666156,NZcayeyxM4kNz_tt7ex5p_BjI3UfpVRyvTCbBZ_7a_ZQIKRrhZ-nOBkzH_1aXOADy31wkRsfhDk3EQ,1774981842513,1774981920116,78,True,Gangplank,0,0,0,SILVER II,2026-03-31 18:32:00.116
