match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828895350,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776841170569,1776842758968,1588,True,Nautilus,2,3,6,GOLD III,2026-04-22 07:25:58.968
EUW1_7828707236,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776806896263,1776808251005,1355,False,Nautilus,2,8,6,GOLD III,2026-04-21 21:50:51.005
EUW1_7828345345,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776792987662,1776795648400,2661,False,Nautilus,5,17,18,GOLD III,2026-04-21 18:20:48.400
EUW1_7827854607,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776750669182,1776751151827,482,False,Nautilus,0,2,1,GOLD III,2026-04-21 05:59:11.827
EUW1_7827716876,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776723535704,1776725721775,2186,False,Nautilus,7,11,13,GOLD III,2026-04-20 22:55:21.775
EUW1_7827500042,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776714532390,1776716484410,1952,False,Nautilus,3,11,8,GOLD III,2026-04-20 20:21:24.410
EUW1_7827157964,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776699861795,1776701298033,1436,True,Nautilus,3,2,16,GOLD III,2026-04-20 16:08:18.033
EUW1_7826827578,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776672719477,1776674546716,1827,False,Nautilus,1,10,6,GOLD III,2026-04-20 08:42:26.716
EUW1_7826768941,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776653146468,1776655111242,1970,False,Nautilus,6,11,14,GOLD III,2026-04-20 03:18:31.242
EUW1_7826045428,Nl6DxmzSl5k1KN1mGqsYSxS4-hd06BYi108UlHjz7XTunyuv6IcQMAqH1luQT0nH0olHu7cE6TlWew,1776613936655,1776615778164,1841,True,Nautilus,1,7,23,GOLD III,2026-04-19 16:22:58.164
