match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7832943738,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777159111071,1777161392252,2281,True,Yasuo,5,11,19,GOLD III,2026-04-25 23:56:32.252
EUW1_7832751755,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777149706208,1777151357351,1651,True,Yone,7,8,10,GOLD III,2026-04-25 21:09:17.351
EUW1_7832694130,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777147635063,1777149431040,1796,False,Darius,5,7,6,GOLD III,2026-04-25 20:37:11.040
EUW1_7832625249,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777144653503,1777147296293,2643,True,Sion,11,18,10,GOLD III,2026-04-25 20:01:36.293
EUW1_7832404959,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777133181742,1777134924003,1742,False,Chogath,7,10,5,GOLD III,2026-04-25 16:35:24.003
EUW1_7832136660,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777117218960,1777119433576,2214,True,Chogath,9,5,11,GOLD III,2026-04-25 12:17:13.576
EUW1_7832099583,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777114382953,1777116971685,2589,False,Yasuo,9,13,10,GOLD III,2026-04-25 11:36:11.685
EUW1_7832061230,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777111878051,1777114063320,2185,True,Yasuo,3,12,10,GOLD III,2026-04-25 10:47:43.320
EUW1_7831280671,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777046073513,1777047990074,1916,False,Yasuo,6,10,7,GOLD III,2026-04-24 16:26:30.074
EUW1_7831248825,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777044353970,1777045602956,1249,False,Yasuo,2,10,0,GOLD III,2026-04-24 15:46:42.956
EUW1_7831215962,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1777042749951,1777043951327,1201,True,Yasuo,1,2,1,GOLD III,2026-04-24 15:19:11.327
EUW1_7829445092,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1776883003279,1776884639590,1636,False,Yasuo,2,8,6,GOLD III,2026-04-22 19:03:59.590
EUW1_7828357042,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1776793358639,1776794795032,1436,False,Yasuo,2,13,4,GOLD III,2026-04-21 18:06:35.032
EUW1_7828291758,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1776790238036,1776792254069,2016,True,Yasuo,12,6,17,GOLD III,2026-04-21 17:24:14.069
EUW1_7828209756,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1776786086331,1776787881277,1795,True,Yasuo,10,5,7,GOLD III,2026-04-21 16:11:21.277
EUW1_7827577936,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1776717244989,1776718867574,1622,False,Yasuo,3,10,1,GOLD III,2026-04-20 21:01:07.574
EUW1_7827496650,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1776714224453,1776716488153,2264,True,Yasuo,8,10,4,GOLD III,2026-04-20 20:21:28.153
EUW1_7827461892,PCSJYREB6EYoaxpnddUYSvjCf28yXbu6b7Gpufvi373vVarqPEWaI-DhVgUMzqRgpJ31pwi5Vjc33g,1776712997460,1776713928557,931,True,Lissandra,5,2,4,GOLD III,2026-04-20 19:38:48.557
