match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842883219,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777929494820,1777931081066,1586,False,Ezreal,7,5,5,GOLD III,2026-05-04 21:44:41.066
EUW1_7842814533,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777926071091,1777928728660,2657,True,Ezreal,16,9,10,GOLD III,2026-05-04 21:05:28.660
EUW1_7841696645,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777842345898,1777844487348,2141,True,Ezreal,14,4,12,GOLD III,2026-05-03 21:41:27.348
EUW1_7841628574,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777839505793,1777841872452,2366,True,Ezreal,13,0,12,GOLD III,2026-05-03 20:57:52.452
EUW1_7840981625,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777813059679,1777815032628,1973,False,Irelia,14,7,5,GOLD III,2026-05-03 13:30:32.628
EUW1_7839863791,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777730782257,1777732945961,2163,True,Vayne,11,9,6,GOLD III,2026-05-02 14:42:25.961
EUW1_7839818841,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777728157130,1777730354272,2197,False,Vayne,13,6,7,GOLD III,2026-05-02 13:59:14.272
EUW1_7839777112,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1777726005884,1777727917150,1911,False,Olaf,8,10,7,GOLD III,2026-05-02 13:18:37.150
EUW1_7822099835,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776331025794,1776333294550,2269,False,Graves,14,7,9,GOLD III,2026-04-16 09:54:54.550
EUW1_7822074348,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776328721882,1776330696809,1975,False,Yasuo,4,6,3,GOLD III,2026-04-16 09:11:36.809
EUW1_7822061389,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776326845212,1776328406663,1561,False,Darius,7,5,3,GOLD III,2026-04-16 08:33:26.663
EUW1_7819392944,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776095386812,1776096996685,1610,False,Yasuo,5,4,3,GOLD III,2026-04-13 16:16:36.685
EUW1_7819374081,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776094393367,1776094815926,422,True,Irelia,3,0,0,GOLD III,2026-04-13 15:40:15.926
EUW1_7819348738,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776092668216,1776093771813,1103,True,Irelia,14,2,2,GOLD III,2026-04-13 15:22:51.813
EUW1_7819302733,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776089740614,1776091713869,1973,True,Irelia,15,5,2,GOLD III,2026-04-13 14:48:33.869
EUW1_7819260236,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776086661842,1776088563708,1907,True,Irelia,10,4,9,GOLD III,2026-04-13 13:56:03.708
EUW1_7819232636,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776084032742,1776085788225,1755,False,Yone,1,3,3,GOLD III,2026-04-13 13:09:48.225
EUW1_7818550550,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1776015672341,1776017201715,1529,False,Yasuo,0,3,0,GOLD III,2026-04-12 18:06:41.715
EUW1_7818073704,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775992553370,1775994853607,2300,False,Irelia,12,9,9,GOLD III,2026-04-12 11:54:13.607
EUW1_7818041951,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775990476283,1775992203714,1727,True,Irelia,14,4,6,GOLD III,2026-04-12 11:10:03.714
EUW1_7818017701,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775988440827,1775990162245,1722,True,Irelia,13,5,10,GOLD III,2026-04-12 10:36:02.245
EUW1_7814852415,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775730518254,1775733740183,3222,False,Yasuo,30,9,12,GOLD III,2026-04-09 11:22:20.183
EUW1_7814839230,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775728222659,1775730044110,1821,False,Yasuo,7,5,1,GOLD III,2026-04-09 10:20:44.110
EUW1_7814828849,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775726435455,1775727952897,1517,False,Yasuo,1,5,1,GOLD III,2026-04-09 09:45:52.897
EUW1_7814826548,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775726142926,1775726211725,69,True,Yasuo,0,0,0,GOLD III,2026-04-09 09:16:51.725
EUW1_7814815560,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775724438416,1775725593233,1155,False,Yasuo,3,4,1,GOLD III,2026-04-09 09:06:33.233
EUW1_7814704835,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775692665267,1775693871752,1206,False,Yasuo,1,7,0,GOLD III,2026-04-09 00:17:51.752
EUW1_7814684551,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775690207779,1775692337090,2129,True,Yasuo,7,8,10,GOLD III,2026-04-08 23:52:17.090
EUW1_7814175307,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775664240222,1775666596246,2356,True,Yasuo,13,6,10,GOLD III,2026-04-08 16:43:16.246
EUW1_7813213642,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775577432993,1775580158202,2725,False,Yasuo,12,13,7,GOLD III,2026-04-07 16:42:38.202
EUW1_7813179779,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775575373214,1775577149989,1777,False,Yone,4,8,6,GOLD III,2026-04-07 15:52:29.989
EUW1_7813128639,PDN8Eq1BFn9Vg7JRYb7jPuMLBslc_uMRwAnQGPAP8XqdsvdybkLzvgmBbD8pjQD_y2woGVnMtuFyUA,1775571985277,1775573837004,1852,True,Yasuo,8,6,6,GOLD III,2026-04-07 14:57:17.004
