match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821624822,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1776280790599,1776282916038,2125,True,Azir,14,6,4,SILVER I,2026-04-15 19:55:16.038
EUW1_7821574094,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1776278907647,1776280440077,1532,True,Sylas,14,3,8,SILVER I,2026-04-15 19:14:00.077
EUW1_7821528924,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1776277111713,1776278629581,1518,True,Yone,12,2,4,SILVER I,2026-04-15 18:43:49.581
EUW1_7820477548,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1776189182502,1776191347170,2169,True,Azir,2,9,4,SILVER I,2026-04-14 18:29:07.170
EUW1_7820418293,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1776186658893,1776188803716,2145,False,Smolder,11,12,8,SILVER I,2026-04-14 17:46:43.716
EUW1_7820373299,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1776184205672,1776186089055,1883,True,Yone,20,8,5,SILVER I,2026-04-14 17:01:29.055
EUW1_7803090507,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1774788980200,1774790454686,1474,True,Sylas,18,5,8,SILVER I,2026-03-29 13:20:54.686
EUW1_7803040528,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1774786286057,1774788564176,2278,False,Katarina,17,8,10,SILVER I,2026-03-29 12:49:24.176
EUW1_7798537577,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1774465647188,1774467230221,1583,True,Smolder,18,2,2,SILVER I,2026-03-25 19:33:50.221
EUW1_7796694502,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1774364777076,1774366709392,1932,False,Yone,15,8,4,SILVER I,2026-03-24 15:38:29.392
EUW1_7794890255,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1774277546070,1774278470425,924,True,Yone,7,0,1,SILVER I,2026-03-23 15:07:50.425
EUW1_7786223056,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1773850807359,1773852762517,1955,True,Azir,15,6,6,SILVER I,2026-03-18 16:52:42.517
EUW1_7786163149,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1773848487878,1773850359539,1872,True,Yone,13,4,13,SILVER I,2026-03-18 16:12:39.539
EUW1_7771542583,PI6cTw6c0T3Uyv8o-se4MLKaRJ6Rq_ZxL1S2wLU1QxOz7OaA0c2RM64FBDCcUh0OhDOoH79H0WWbKw,1773096654520,1773098315254,1661,True,Yone,15,3,6,SILVER I,2026-03-09 23:18:35.254
