match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829807019,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776901083722,1776903183117,2099,False,Tryndamere,10,10,9,SILVER II,2026-04-23 00:13:03.117
EUW1_7829697115,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776893501076,1776894845055,1344,True,Tryndamere,10,3,7,SILVER II,2026-04-22 21:54:05.055
EUW1_7829641772,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776890793925,1776892775728,1982,False,Garen,1,12,5,SILVER II,2026-04-22 21:19:35.728
EUW1_7829582455,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776888686526,1776890306726,1620,False,Tryndamere,3,8,3,SILVER II,2026-04-22 20:38:26.726
EUW1_7829258909,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776873941613,1776875996130,2054,True,Tryndamere,11,6,11,SILVER II,2026-04-22 16:39:56.130
EUW1_7828810971,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776813299037,1776815344577,2045,True,Tryndamere,6,11,2,SILVER II,2026-04-21 23:49:04.577
EUW1_7828808944,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776812885066,1776812958714,74,True,Tryndamere,0,0,0,SILVER II,2026-04-21 23:09:18.714
EUW1_7828765778,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776809792634,1776811851981,2059,True,Tryndamere,11,5,6,SILVER II,2026-04-21 22:50:51.981
EUW1_7827770926,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776727959384,1776730176449,2217,False,Tryndamere,22,6,3,SILVER II,2026-04-21 00:09:36.449
EUW1_7827749082,PWcxMowC86acOI56Ej0MOuZmKTLwGmDvaIADqzwCuzvOU_JO8VhqFbgRMqEXi__VxnClGsp5CCTOhw,1776726026276,1776727679730,1653,False,Tryndamere,6,8,3,SILVER II,2026-04-20 23:27:59.730
