match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7825340578,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776551779218,1776553814030,2035,True,Illaoi,8,7,19,SILVER II,2026-04-18 23:10:14.030
EUW1_7825285972,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776549439964,1776551591876,2152,False,Mordekaiser,9,11,5,SILVER II,2026-04-18 22:33:11.876
EUW1_7825239634,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776547267655,1776549106898,1839,True,FiddleSticks,4,5,8,SILVER II,2026-04-18 21:51:46.898
EUW1_7825188233,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776545428093,1776546844069,1416,True,Briar,3,4,15,SILVER II,2026-04-18 21:14:04.069
EUW1_7825137614,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776543393801,1776545099182,1705,False,Illaoi,8,6,4,SILVER II,2026-04-18 20:44:59.182
EUW1_7825100083,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776541977227,1776542946903,970,True,Mordekaiser,5,4,2,SILVER II,2026-04-18 20:09:06.903
EUW1_7825032265,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776539368577,1776541718654,2350,True,Illaoi,10,9,11,SILVER II,2026-04-18 19:48:38.654
EUW1_7823238142,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776419035207,1776421916604,2881,True,Yone,18,10,7,SILVER II,2026-04-17 10:31:56.604
EUW1_7823221698,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776416811279,1776418692180,1881,True,Yone,12,6,10,SILVER II,2026-04-17 09:38:12.180
EUW1_7823207564,QMvCIXa2_JVCWPtcNfv5u1agh7_ZZRC4t-KHL_N3ksdcI6WwJeJozVaw1qZ5jZuHTfm7-8RB96zBJw,1776415185632,1776415873309,688,True,Belveth,1,3,1,SILVER II,2026-04-17 08:51:13.309
