match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837110054,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777500148329,1777502626100,2478,False,Vayne,3,13,4,GOLD IV,2026-04-29 22:43:46.100
EUW1_7837057137,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777497638449,1777499840082,2201,False,Nasus,0,11,7,GOLD IV,2026-04-29 21:57:20.082
EUW1_7836991306,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777495159613,1777497130481,1971,False,DrMundo,0,3,4,GOLD IV,2026-04-29 21:12:10.481
EUW1_7836021524,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777412753192,1777414471943,1719,True,DrMundo,1,2,10,GOLD IV,2026-04-28 22:14:31.943
EUW1_7835974335,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777410616419,1777412136800,1520,True,Nasus,7,2,2,GOLD IV,2026-04-28 21:35:36.800
EUW1_7835091787,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777327569271,1777328663475,1094,True,Vayne,1,4,1,GOLD IV,2026-04-27 22:24:23.475
EUW1_7835038094,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777324792060,1777327251668,2459,True,Garen,8,7,7,GOLD IV,2026-04-27 22:00:51.668
EUW1_7834971431,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777322212196,1777323527908,1316,True,Varus,4,1,1,GOLD IV,2026-04-27 20:58:47.908
EUW1_7834205929,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777258543026,1777260851530,2308,True,Renekton,8,5,11,GOLD IV,2026-04-27 03:34:11.530
EUW1_7833945874,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777234891020,1777237180807,2290,False,Varus,8,6,2,GOLD IV,2026-04-26 20:59:40.807
EUW1_7833022972,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777168218404,1777169698094,1479,False,Quinn,2,10,3,GOLD IV,2026-04-26 02:14:58.094
EUW1_7831921960,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1777083329989,1777084366173,1036,False,DrMundo,0,3,0,GOLD IV,2026-04-25 02:32:46.173
EUW1_7830767259,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776983855528,1776986147212,2291,False,Garen,8,10,9,GOLD IV,2026-04-23 23:15:47.212
EUW1_7829857021,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776910322076,1776911876806,1555,False,Shen,1,7,3,GOLD IV,2026-04-23 02:37:56.806
EUW1_7829842716,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776905558435,1776907506967,1948,False,Rumble,8,6,4,GOLD IV,2026-04-23 01:25:06.967
EUW1_7829819188,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776902597070,1776904200211,1603,True,Varus,5,1,3,GOLD IV,2026-04-23 00:30:00.211
EUW1_7828840937,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776816357267,1776818593928,2236,False,Varus,12,6,9,GOLD IV,2026-04-22 00:43:13.928
EUW1_7828806589,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776812482515,1776815284246,2802,True,Trundle,4,8,19,GOLD IV,2026-04-21 23:48:04.246
EUW1_7828724348,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776807760615,1776809659527,1899,True,Swain,2,9,9,GOLD IV,2026-04-21 22:14:19.527
EUW1_7828671911,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776805193840,1776806929655,1736,True,DrMundo,8,1,5,GOLD IV,2026-04-21 21:28:49.655
EUW1_7828624406,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776803444234,1776804525877,1082,True,Varus,2,0,1,GOLD IV,2026-04-21 20:48:45.877
EUW1_7827800367,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776732523188,1776734991810,2468,False,Ryze,9,9,8,GOLD IV,2026-04-21 01:29:51.810
EUW1_7826777112,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776657958253,1776659349642,1391,False,Kennen,0,9,1,GOLD IV,2026-04-20 04:29:09.642
EUW1_7826595942,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776634137603,1776635906985,1769,False,Varus,4,6,3,GOLD IV,2026-04-19 21:58:26.985
EUW1_7826476848,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776629376093,1776631626601,2250,False,Kayle,3,8,5,GOLD IV,2026-04-19 20:47:06.601
EUW1_7826403098,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776626903719,1776629027638,2124,False,Chogath,5,8,7,GOLD IV,2026-04-19 20:03:47.638
EUW1_7826333290,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776624720161,1776626581917,1862,True,Garen,9,2,10,GOLD IV,2026-04-19 19:23:01.917
EUW1_7825488506,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776567521034,1776569716278,2195,True,Quinn,9,9,8,GOLD IV,2026-04-19 03:35:16.278
EUW1_7825375040,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776554094052,1776556319481,2225,False,Gnar,2,6,3,GOLD IV,2026-04-18 23:51:59.481
EUW1_7825339960,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776551966620,1776553725484,1759,True,Ryze,3,3,9,GOLD IV,2026-04-18 23:08:45.484
EUW1_7824074082,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776462889011,1776464672373,1783,False,Gnar,0,7,8,GOLD IV,2026-04-17 22:24:32.373
EUW1_7824005390,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776460228721,1776462624683,2396,False,DrMundo,4,8,9,GOLD IV,2026-04-17 21:50:24.683
EUW1_7823891884,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776455887998,1776457724334,1836,False,Gnar,2,7,4,GOLD IV,2026-04-17 20:28:44.334
EUW1_7823833982,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776453721838,1776455635541,1914,True,Olaf,10,8,4,GOLD IV,2026-04-17 19:53:55.541
EUW1_7823111509,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776388535878,1776390141250,1605,False,Malphite,4,5,4,GOLD IV,2026-04-17 01:42:21.250
EUW1_7823069441,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776383667118,1776385259335,1593,True,Sylas,3,4,6,GOLD IV,2026-04-17 00:20:59.335
EUW1_7823054177,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776381771909,1776383242821,1471,True,Vayne,11,2,6,GOLD IV,2026-04-16 23:47:22.821
EUW1_7822798750,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776369494446,1776371487149,1993,False,Kayle,10,8,13,GOLD IV,2026-04-16 20:31:27.149
EUW1_7821959058,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776298095189,1776299927275,1832,False,Kayle,1,8,6,GOLD IV,2026-04-16 00:38:47.275
EUW1_7821923006,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776294822588,1776297389747,2567,True,Yunara,13,6,15,GOLD IV,2026-04-15 23:56:29.747
EUW1_7820912280,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776217286039,1776218909972,1628,True,DrMundo,10,1,8,GOLD IV,2026-04-15 02:08:29.972
EUW1_7820912121,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776216790904,1776216908363,117,False,Malphite,0,0,0,GOLD IV,2026-04-15 01:35:08.363
EUW1_7820899605,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776213295924,1776214655951,1360,True,Kayle,2,1,1,GOLD IV,2026-04-15 00:57:35.951
EUW1_7820873337,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776210623765,1776212520397,1897,True,Quinn,7,10,10,GOLD IV,2026-04-15 00:22:00.397
EUW1_7820779914,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776203065746,1776205142495,2077,False,TahmKench,3,7,4,GOLD IV,2026-04-14 22:19:02.495
EUW1_7819005117,QOwoAmAlpo3kbN2XSKE56U4WW7F5Si0JznMnPjrDckjPXcDuPvjKEn7XbDtytP1lQ253vVB_Dj_OZQ,1776039315144,1776041047878,1733,False,Vayne,2,8,2,GOLD IV,2026-04-13 00:44:07.878
