match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828678415,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776805698240,1776808080905,2383,True,Rammus,5,6,11,SILVER II,2026-04-21 21:48:00.905
EUW1_7828633314,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776803767213,1776805279062,1512,False,Khazix,3,8,2,SILVER II,2026-04-21 21:01:19.062
EUW1_7828315363,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776791647768,1776793479472,1832,False,DrMundo,3,6,7,SILVER II,2026-04-21 17:44:39.472
EUW1_7828265903,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776789032782,1776791169930,2137,False,Briar,14,9,9,SILVER II,2026-04-21 17:06:09.930
EUW1_7826521238,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776631127958,1776633363107,2235,False,Nocturne,4,8,3,SILVER II,2026-04-19 21:16:03.107
EUW1_7826021332,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776612769982,1776615164879,2395,False,Maokai,7,6,10,SILVER II,2026-04-19 16:12:44.879
EUW1_7825961978,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776610377431,1776612274554,1898,False,Maokai,4,7,12,SILVER II,2026-04-19 15:24:34.554
EUW1_7825923783,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776608500125,1776609878747,1379,True,Maokai,3,4,9,SILVER II,2026-04-19 14:44:38.747
EUW1_7825913253,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776608225313,1776608306594,81,False,Maokai,0,0,0,SILVER II,2026-04-19 14:18:26.594
EUW1_7825368870,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776553505617,1776555611667,2106,True,Naafiri,9,7,7,SILVER II,2026-04-18 23:40:11.667
EUW1_7825197595,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776545595510,1776547330569,1735,False,Warwick,8,9,3,SILVER II,2026-04-18 21:22:10.569
EUW1_7824984044,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776537185296,1776538831980,1647,True,Briar,16,4,8,SILVER II,2026-04-18 19:00:31.980
EUW1_7824819786,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776529473752,1776531515141,2041,True,Leona,1,2,22,SILVER II,2026-04-18 16:58:35.141
EUW1_7824458016,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776509902192,1776511766078,1864,True,Pantheon,13,5,6,SILVER II,2026-04-18 11:29:26.078
EUW1_7824104020,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776464153343,1776466499405,2346,True,Pantheon,5,15,10,SILVER II,2026-04-17 22:54:59.405
EUW1_7824063543,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776462319637,1776463672813,1353,True,Pantheon,4,6,8,SILVER II,2026-04-17 22:07:52.813
EUW1_7824025445,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776461114529,1776461946624,832,False,Leona,3,2,4,SILVER II,2026-04-17 21:39:06.624
EUW1_7823287881,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776423385429,1776425020302,1635,True,Jinx,13,4,4,SILVER II,2026-04-17 11:23:40.302
EUW1_7823274876,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776422151987,1776423116806,965,True,Xayah,15,1,3,SILVER II,2026-04-17 10:51:56.806
EUW1_7823091614,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776385289778,1776386543146,1253,False,Jinx,2,4,2,SILVER II,2026-04-17 00:42:23.146
EUW1_7823072618,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776382990118,1776385042068,2052,True,Teemo,14,7,7,SILVER II,2026-04-17 00:17:22.068
EUW1_7823063178,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776382546820,1776382630199,83,True,Yasuo,0,0,0,SILVER II,2026-04-16 23:37:10.199
EUW1_7822878923,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776372544968,1776374781009,2236,False,Lux,13,7,6,SILVER II,2026-04-16 21:26:21.009
EUW1_7822529853,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776358985358,1776360641815,1656,False,Naafiri,3,8,3,SILVER II,2026-04-16 17:30:41.815
EUW1_7822516611,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776358628281,1776358697681,70,False,Naafiri,0,0,0,SILVER II,2026-04-16 16:58:17.681
EUW1_7822494440,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776358084247,1776358152970,69,False,Naafiri,0,0,0,SILVER II,2026-04-16 16:49:12.970
EUW1_7822341938,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776350066769,1776351576502,1510,True,Thresh,2,5,32,SILVER II,2026-04-16 14:59:36.502
EUW1_7821966486,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776298439599,1776299362110,922,True,Leona,4,0,10,SILVER II,2026-04-16 00:29:22.110
EUW1_7821914704,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776293986019,1776296115174,2129,True,Shen,5,4,21,SILVER II,2026-04-15 23:35:15.174
EUW1_7821878374,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776291805901,1776293662619,1857,True,Briar,22,3,6,SILVER II,2026-04-15 22:54:22.619
EUW1_7821607200,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776280178610,1776281992342,1814,True,Jinx,28,9,6,SILVER II,2026-04-15 19:39:52.342
EUW1_7821559693,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776278112175,1776279890674,1778,False,Jinx,6,11,4,SILVER II,2026-04-15 19:04:50.674
EUW1_7821361572,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776269646484,1776272609580,2963,False,Mel,14,10,17,SILVER II,2026-04-15 17:03:29.580
EUW1_7821149414,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776257757854,1776260339479,2582,False,Lux,6,7,20,SILVER II,2026-04-15 13:38:59.479
EUW1_7821022962,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776247363089,1776249808977,2446,False,Lux,7,13,9,SILVER II,2026-04-15 10:43:28.977
EUW1_7820854395,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776208499694,1776210011492,1512,False,Thresh,7,6,7,SILVER II,2026-04-14 23:40:11.492
EUW1_7820707107,QQAkxTx4Xn7XMRL9iS3-yn7TJFg0ZF1aC7po1CIg78ou53T6JcvUkFwXg4ziDbBcFf5SGrADA9Yj-A,1776199685141,1776201846759,2162,False,Twitch,11,8,11,SILVER II,2026-04-14 21:24:06.759
