match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837100213,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1777499897369,1777501724306,1827,False,Illaoi,0,8,2,BRONZE III,2026-04-29 22:28:44.306
EUW1_7826551349,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1776632374672,1776633830225,1455,True,Nasus,3,0,3,BRONZE III,2026-04-19 21:23:50.225
EUW1_7821975580,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1776300022520,1776301875658,1853,False,Illaoi,8,5,6,BRONZE III,2026-04-16 01:11:15.658
EUW1_7774552992,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1773261386396,1773263389370,2003,False,Trundle,8,5,5,BRONZE III,2026-03-11 21:09:49.370
EUW1_7767917202,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1772921409448,1772923133238,1724,True,Illaoi,1,3,1,BRONZE III,2026-03-07 22:38:53.238
EUW1_7677781386,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1767993013111,1767994972135,1959,False,Urgot,10,7,5,BRONZE III,2026-01-09 21:42:52.135
EUW1_7677694803,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1767990474313,1767992761019,2287,True,Heimerdinger,7,8,12,BRONZE III,2026-01-09 21:06:01.019
EUW1_7677599100,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1767987985827,1767990079196,2093,False,Nasus,3,8,4,BRONZE III,2026-01-09 20:21:19.196
EUW1_7677536537,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1767985768923,1767987341796,1573,False,Teemo,5,7,5,BRONZE III,2026-01-09 19:35:41.796
EUW1_7575191944,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1760986672785,1760987669572,997,True,Nocturne,4,0,1,BRONZE III,2025-10-20 19:14:29.572
EUW1_7573795688,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1760891159873,1760892840204,1680,True,Nocturne,9,3,11,BRONZE III,2025-10-19 16:54:00.204
EUW1_7573732407,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1760889018386,1760890873671,1855,False,Rengar,9,8,7,BRONZE III,2025-10-19 16:21:13.671
EUW1_7564096623,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1760182835068,1760185220788,2386,True,Malzahar,6,5,15,BRONZE III,2025-10-11 12:20:20.788
EUW1_7563708620,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1760135917640,1760137790489,1873,False,Lux,3,11,8,BRONZE III,2025-10-10 23:09:50.489
EUW1_7563692683,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1760135085397,1760135551021,465,True,Mel,0,1,0,BRONZE III,2025-10-10 22:32:31.021
EUW1_7552925750,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1759431989323,1759434099140,2110,True,Mel,20,7,14,BRONZE III,2025-10-02 19:41:39.140
EUW1_7552812259,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1759428236663,1759430092248,1856,False,Mel,8,7,8,BRONZE III,2025-10-02 18:34:52.248
EUW1_7551304300,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1759336774378,1759338661230,1887,False,Mel,8,4,1,BRONZE III,2025-10-01 17:11:01.230
EUW1_7547986583,QepcyiVgemsXAV_RN4oE_2mt0AhfJjr1M_4vyLWcQCxDLXaa4SkZkMwmEfVFY8ImmIZIBx6f8g3m6Q,1759153386297,1759155481991,2096,True,Veigar,5,4,13,BRONZE III,2025-09-29 14:18:01.991
