match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821807279,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1776288279739,1776290500100,2220,True,Veigar,16,9,6,SILVER IV,2026-04-15 22:01:40.100
EUW1_7819880599,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1776117082371,1776118672420,1590,True,Veigar,4,2,5,SILVER IV,2026-04-13 22:17:52.420
EUW1_7819808567,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1776113604232,1776116352724,2748,True,Veigar,10,9,17,SILVER IV,2026-04-13 21:39:12.724
EUW1_7818272855,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1776003556657,1776005779231,2222,False,Tristana,2,5,5,SILVER IV,2026-04-12 14:56:19.231
EUW1_7818231497,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1776001424719,1776003302435,1878,False,Veigar,4,3,1,SILVER IV,2026-04-12 14:15:02.435
EUW1_7816081760,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1775834287667,1775835325799,1038,True,Veigar,4,0,1,SILVER IV,2026-04-10 15:35:25.799
EUW1_7815604618,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1775774415781,1775776390258,1974,False,Veigar,3,3,5,SILVER IV,2026-04-09 23:13:10.258
EUW1_7815567429,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1775772385122,1775774049824,1664,False,Leblanc,1,10,4,SILVER IV,2026-04-09 22:34:09.824
EUW1_7815022603,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1775744874251,1775747545217,2671,True,Veigar,12,2,7,SILVER IV,2026-04-09 15:12:25.217
EUW1_7815002874,RSPA-eWgo8cqWLO8EP_bSyN8WWpHGqXORDAqbJu8kjOBsI-ls2PrZG-Ztcv3mPuwi6RQPJHCPubQ9w,1775743544692,1775744469814,925,False,Teemo,1,4,1,SILVER IV,2026-04-09 14:21:09.814
