match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829430182,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776882406966,1776884061775,1655,True,Samira,14,3,7,SILVER II,2026-04-22 18:54:21.775
EUW1_7829388526,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776880371962,1776882080809,1709,True,Samira,12,4,4,SILVER II,2026-04-22 18:21:20.809
EUW1_7829332269,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776877866493,1776880027869,2161,True,Samira,13,7,5,SILVER II,2026-04-22 17:47:07.869
EUW1_7829278778,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776874963700,1776876678209,1714,False,Lissandra,4,6,4,SILVER II,2026-04-22 16:51:18.209
EUW1_7829236070,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776872884291,1776874661170,1777,False,MasterYi,8,6,2,SILVER II,2026-04-22 16:17:41.170
EUW1_7829180432,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776869686089,1776872336161,2650,False,Samira,15,9,3,SILVER II,2026-04-22 15:38:56.161
EUW1_7829146620,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776867036542,1776869356136,2320,False,Akali,20,8,8,SILVER II,2026-04-22 14:49:16.136
EUW1_7829109046,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776864691817,1776866660751,1969,False,Zed,10,5,11,SILVER II,2026-04-22 14:04:20.751
EUW1_7829083149,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776862913188,1776864395993,1483,True,Zoe,8,1,5,SILVER II,2026-04-22 13:26:35.993
EUW1_7829032313,SW0rirn68GGZNSs1pEGEeGozHuWDh__x8OrsYH6FITY42bfb_buapJlW9FPdzsE_i2HHHYW2OZeu-Q,1776858545064,1776860516337,1971,False,Ahri,7,11,5,SILVER II,2026-04-22 12:21:56.337
