match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829139861,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776866731914,1776868501998,1770,False,Rell,1,12,15,SILVER II,2026-04-22 14:35:01.998
EUW1_7829117925,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776865157071,1776866406044,1249,False,Rell,4,9,2,SILVER II,2026-04-22 14:00:06.044
EUW1_7828727387,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776807897085,1776809959889,2063,False,Viego,8,13,7,SILVER II,2026-04-21 22:19:19.889
EUW1_7828689126,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776805985355,1776807466317,1481,True,Renekton,0,6,4,SILVER II,2026-04-21 21:37:46.317
EUW1_7828622046,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776803303939,1776805610066,2306,False,Briar,10,16,8,SILVER II,2026-04-21 21:06:50.066
EUW1_7828568507,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776801177764,1776802475963,1298,True,Briar,10,3,10,SILVER II,2026-04-21 20:14:35.963
EUW1_7828505081,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776799068892,1776800508624,1440,True,Briar,16,2,5,SILVER II,2026-04-21 19:41:48.624
EUW1_7828430450,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776796226331,1776798602954,2376,True,Briar,12,11,20,SILVER II,2026-04-21 19:10:02.954
EUW1_7828382550,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776794221682,1776795937676,1716,True,Briar,7,7,11,SILVER II,2026-04-21 18:25:37.676
EUW1_7828372843,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776793953905,1776794030619,77,True,Briar,0,0,0,SILVER II,2026-04-21 17:53:50.619
EUW1_7828234256,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776787695540,1776789466870,1771,True,Briar,13,7,16,SILVER II,2026-04-21 16:37:46.870
EUW1_7828204757,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776785760729,1776787251360,1490,True,Briar,17,6,10,SILVER II,2026-04-21 16:00:51.360
EUW1_7828167275,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776783814578,1776785526384,1712,False,Kaisa,3,13,2,SILVER II,2026-04-21 15:32:06.384
EUW1_7828136580,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776781579204,1776783135351,1556,True,Ashe,6,2,8,SILVER II,2026-04-21 14:52:15.351
EUW1_7828098547,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776779125361,1776781238537,2113,False,Ashe,7,9,3,SILVER II,2026-04-21 14:20:38.537
EUW1_7828073794,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776777497157,1776778509454,1012,False,Ashe,4,3,0,SILVER II,2026-04-21 13:35:09.454
EUW1_7827686991,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776721895852,1776723145261,1249,False,Ashe,0,10,6,SILVER II,2026-04-20 22:12:25.261
EUW1_7827619842,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776718769831,1776721362751,2593,True,Thresh,6,11,12,SILVER II,2026-04-20 21:42:42.751
EUW1_7827585606,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776717385575,1776718376443,991,False,Kaisa,1,3,1,SILVER II,2026-04-20 20:52:56.443
EUW1_7827540221,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776715961899,1776717125188,1163,True,Kaisa,3,3,4,SILVER II,2026-04-20 20:32:05.188
EUW1_7827479387,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776714055736,1776715464911,1409,False,Lucian,2,6,1,SILVER II,2026-04-20 20:04:24.911
EUW1_7827389994,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776710423961,1776712714941,2291,False,Ashe,9,14,18,SILVER II,2026-04-20 19:18:34.941
EUW1_7827332138,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776708153328,1776709871589,1718,True,Thresh,7,4,20,SILVER II,2026-04-20 18:31:11.589
EUW1_7827278900,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776705809582,1776707863765,2054,True,MissFortune,19,4,7,SILVER II,2026-04-20 17:57:43.765
EUW1_7827221662,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776703046671,1776705528856,2482,False,Kaisa,6,10,8,SILVER II,2026-04-20 17:18:48.856
EUW1_7827173406,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776701061683,1776702733358,1672,False,Ashe,3,10,3,SILVER II,2026-04-20 16:32:13.358
EUW1_7827155690,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776699622652,1776700715538,1093,False,Ashe,1,6,2,SILVER II,2026-04-20 15:58:35.538
EUW1_7827109468,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776696968453,1776699328707,2360,False,Ashe,7,12,17,SILVER II,2026-04-20 15:35:28.707
EUW1_7827094349,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776696587531,1776696721015,133,True,Ashe,1,1,0,SILVER II,2026-04-20 14:52:01.015
EUW1_7825977103,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776610896923,1776610972005,75,False,Ashe,0,0,0,SILVER II,2026-04-19 15:02:52.005
EUW1_7825926014,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776608796423,1776610639849,1843,False,Ashe,5,8,6,SILVER II,2026-04-19 14:57:19.849
EUW1_7825898645,UAtNY8OVVJkmK0nHZbOecSHUj1GFN3WP7POHbQvX6h2-jZA4V1s1ixRFVA0VTx6v-_TO-Y7oX1iJ9g,1776607364771,1776608480095,1115,False,Ashe,0,4,2,SILVER II,2026-04-19 14:21:20.095
