match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828022837,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776773405894,1776775366481,1961,False,Kaisa,4,9,12,SILVER I,2026-04-21 12:42:46.481
EUW1_7827997873,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776771443101,1776773138030,1695,True,Kaisa,9,5,10,SILVER I,2026-04-21 12:05:38.030
EUW1_7827968860,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776768770094,1776770833950,2064,False,Kaisa,10,6,3,SILVER I,2026-04-21 11:27:13.950
EUW1_7827947747,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776766485620,1776768438173,1952,False,Kaisa,1,3,5,SILVER I,2026-04-21 10:47:18.173
EUW1_7825407452,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776556525325,1776558098545,1573,True,Kaisa,12,1,6,SILVER I,2026-04-19 00:21:38.545
EUW1_7825376454,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776554385467,1776556101237,1717,False,Kaisa,12,7,3,SILVER I,2026-04-18 23:48:21.237
EUW1_7825341933,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776552106312,1776553916047,1810,True,Kaisa,9,4,9,SILVER I,2026-04-18 23:11:56.047
EUW1_7823443700,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776434196105,1776435395069,1199,True,Lux,13,0,5,SILVER I,2026-04-17 14:16:35.069
EUW1_7822663623,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776364458713,1776366349721,1891,True,Kaisa,21,7,5,SILVER I,2026-04-16 19:05:49.721
EUW1_7821978520,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776300118607,1776302279128,2160,True,Kaisa,14,5,8,SILVER I,2026-04-16 01:17:59.128
EUW1_7821940433,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776296646617,1776299237469,2591,False,Kaisa,22,5,12,SILVER I,2026-04-16 00:27:17.469
EUW1_7821934613,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776295535517,1776296081409,546,True,Milio,0,0,2,SILVER I,2026-04-15 23:34:41.409
EUW1_7821905036,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776293514823,1776295144153,1629,False,Kaisa,6,9,7,SILVER I,2026-04-15 23:19:04.153
EUW1_7821854988,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776290466148,1776293082785,2616,True,Kaisa,19,7,14,SILVER I,2026-04-15 22:44:42.785
EUW1_7821846705,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776290021972,1776290092487,70,True,Kaisa,0,0,0,SILVER I,2026-04-15 21:54:52.487
EUW1_7821809372,UgmRZHBnNUgBcL_VpJkyYsy20RQy9a4yeRVWdGZmQb8EY58ycuHroSdv0ySpjM_11L6nY181VPPoLw,1776288386756,1776289517533,1131,True,Kaisa,2,0,7,SILVER I,2026-04-15 21:45:17.533
