match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829576075,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776888317786,1776890146084,1828,False,Nautilus,3,11,12,SILVER III,2026-04-22 20:35:46.084
EUW1_7828619517,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776803027777,1776804754288,1726,True,Braum,3,9,8,SILVER III,2026-04-21 20:52:34.288
EUW1_7828538063,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776800227401,1776802085722,1858,True,Thresh,5,3,19,SILVER III,2026-04-21 20:08:05.722
EUW1_7828455342,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776797214565,1776799146610,1932,True,Thresh,3,4,24,SILVER III,2026-04-21 19:19:06.610
EUW1_7827610665,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776718311347,1776720472644,2161,False,Lux,2,14,12,SILVER III,2026-04-20 21:27:52.644
EUW1_7827539861,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776715766702,1776717483043,1716,True,Thresh,3,3,10,SILVER III,2026-04-20 20:38:03.043
EUW1_7827526494,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776715423275,1776715499587,76,False,Thresh,0,0,0,SILVER III,2026-04-20 20:04:59.587
EUW1_7827513899,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776714877352,1776714954909,77,True,Lux,0,0,0,SILVER III,2026-04-20 19:55:54.909
EUW1_7826552754,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776632186917,1776633763278,1576,True,Braum,2,2,26,SILVER III,2026-04-19 21:22:43.278
EUW1_7826471282,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776629347852,1776631176905,1829,False,Thresh,2,12,18,SILVER III,2026-04-19 20:39:36.905
EUW1_7826407396,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776627210604,1776628177436,967,True,Thresh,1,2,9,SILVER III,2026-04-19 19:49:37.436
EUW1_7821774621,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776286744071,1776288737346,1994,False,Braum,1,9,15,SILVER III,2026-04-15 21:32:17.346
EUW1_7821687775,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776283152210,1776285663909,2512,True,Thresh,3,7,21,SILVER III,2026-04-15 20:41:03.909
EUW1_7820701115,Uqwx9sYczaslCviutOn97mhESY5_FGB_q9awam0Mtg9CBlqTs62z62prpZIHcF2YFx9Ewp393FPB4g,1776199273143,1776201376296,2103,False,Thresh,2,10,18,SILVER III,2026-04-14 21:16:16.296
