match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830627081,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776976741430,1776978748656,2007,True,Jhin,12,5,15,SILVER I,2026-04-23 21:12:28.656
EUW1_7830575343,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776974896833,1776976354909,1458,True,Shen,1,1,12,SILVER I,2026-04-23 20:32:34.909
EUW1_7830349589,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776964769606,1776966637434,1868,False,Naafiri,3,11,2,SILVER I,2026-04-23 17:50:37.434
EUW1_7830293247,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776962392309,1776964527548,2135,True,Poppy,5,4,8,SILVER I,2026-04-23 17:15:27.548
EUW1_7829446478,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776882851376,1776884644769,1793,False,Sylas,5,9,7,SILVER I,2026-04-22 19:04:04.769
EUW1_7829394377,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776880956138,1776882620717,1664,False,Elise,4,8,6,SILVER I,2026-04-22 18:30:20.717
EUW1_7829365970,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776879473978,1776880611685,1138,False,Ambessa,2,5,3,SILVER I,2026-04-22 17:56:51.685
EUW1_7828274121,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776789596855,1776791378279,1781,False,Ambessa,3,7,11,SILVER I,2026-04-21 17:09:38.279
EUW1_7826259356,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776622372339,1776623850130,1478,False,Ambessa,6,8,5,SILVER I,2026-04-19 18:37:30.130
EUW1_7826253738,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776621829079,1776621966639,137,False,Ambessa,0,0,0,SILVER I,2026-04-19 18:06:06.639
EUW1_7825749590,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776600174838,1776602447918,2273,True,Ambessa,17,9,14,SILVER I,2026-04-19 12:40:47.918
EUW1_7825681821,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776596420798,1776598219048,1798,True,Warwick,7,3,10,SILVER I,2026-04-19 11:30:19.048
EUW1_7825375326,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776554222743,1776556277009,2054,False,Volibear,0,6,5,SILVER I,2026-04-18 23:51:17.009
EUW1_7825337131,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776551949224,1776553883131,1934,False,Naafiri,13,7,9,SILVER I,2026-04-18 23:11:23.131
EUW1_7825272309,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776548927424,1776551379500,2452,True,Naafiri,13,12,17,SILVER I,2026-04-18 22:29:39.500
EUW1_7825224965,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776546809064,1776548581840,1773,False,Sylas,7,7,12,SILVER I,2026-04-18 21:43:01.840
EUW1_7825194690,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776545616079,1776546544110,928,False,MonkeyKing,2,4,0,SILVER I,2026-04-18 21:09:04.110
EUW1_7825137530,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776543202379,1776545097514,1895,True,Shen,11,3,9,SILVER I,2026-04-18 20:44:57.514
EUW1_7825055888,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776540122681,1776542688068,2565,False,Elise,12,9,10,SILVER I,2026-04-18 20:04:48.068
EUW1_7824973884,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776536738925,1776538376691,1638,False,Graves,3,11,10,SILVER I,2026-04-18 18:52:56.691
EUW1_7824933856,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776534849791,1776536396677,1547,True,Shyvana,12,4,7,SILVER I,2026-04-18 18:19:56.677
EUW1_7824454761,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776509243419,1776511880139,2637,True,Lillia,13,9,23,SILVER I,2026-04-18 11:31:20.139
EUW1_7824412525,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776506057988,1776508131643,2074,True,Ambessa,5,8,9,SILVER I,2026-04-18 10:28:51.643
EUW1_7824218193,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776471757641,1776473884634,2127,True,Sejuani,9,5,17,SILVER I,2026-04-18 00:58:04.634
EUW1_7824175551,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776467885314,1776469960936,2075,True,Volibear,15,6,11,SILVER I,2026-04-17 23:52:40.936
EUW1_7824148691,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776466376865,1776467660819,1284,True,Ambessa,2,5,3,SILVER I,2026-04-17 23:14:20.819
EUW1_7824097243,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776464126799,1776466079825,1953,False,Ambessa,6,7,6,SILVER I,2026-04-17 22:47:59.825
EUW1_7824043736,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776461525331,1776463874359,2349,False,Briar,9,13,5,SILVER I,2026-04-17 22:11:14.359
EUW1_7823989229,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776459688008,1776461257530,1569,False,Caitlyn,2,8,6,SILVER I,2026-04-17 21:27:37.530
EUW1_7823941107,Uug4_75zBgV5ouIvqWc03nPp7PAO4QYxjSM3Bqu0oVGpzhrHQC6TH8i_Tm7aSjIlSwYGhv81zCHsDw,1776457809426,1776459402101,1592,False,Swain,2,7,6,SILVER I,2026-04-17 20:56:42.101
