match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829413580,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776881497459,1776883808330,2311,True,Sett,9,11,6,GOLD III,2026-04-22 18:50:08.330
EUW1_7829354641,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776878794184,1776881118053,2324,False,Galio,12,3,12,GOLD III,2026-04-22 18:05:18.053
EUW1_7829294707,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776875776403,1776878412121,2636,False,Sett,6,6,7,GOLD III,2026-04-22 17:20:12.121
EUW1_7828472999,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776797802463,1776799820500,2018,True,Sett,0,9,5,GOLD III,2026-04-21 19:30:20.500
EUW1_7828410568,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776795218328,1776797531407,2313,False,Sett,15,11,10,GOLD III,2026-04-21 18:52:11.407
EUW1_7828336774,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776792360553,1776794943670,2583,False,Sett,8,11,10,GOLD III,2026-04-21 18:09:03.670
EUW1_7827255973,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776704771285,1776705882037,1111,True,Sett,5,1,2,GOLD III,2026-04-20 17:24:42.037
EUW1_7827248933,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776704436489,1776704520571,84,True,Sett,0,0,0,GOLD III,2026-04-20 17:02:00.571
EUW1_7827199931,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776702153331,1776703768384,1615,True,Sett,3,9,2,GOLD III,2026-04-20 16:49:28.384
EUW1_7827159543,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776699900455,1776701732185,1837,False,Sett,3,6,7,GOLD III,2026-04-20 16:15:32.185
EUW1_7819755027,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776111660428,1776113920539,2260,True,Sett,12,9,5,GOLD III,2026-04-13 20:58:40.539
EUW1_7819631686,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776106719666,1776108877366,2158,False,Sett,0,8,6,GOLD III,2026-04-13 19:34:37.366
EUW1_7819570324,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776104351737,1776106390941,2039,False,Zaahen,4,9,5,GOLD III,2026-04-13 18:53:10.941
EUW1_7819522690,VEK7ckKxiR7wrBXXw7fga_SAWthCQgiKO0e-gDXNAVhi2m5bdspBztj6veBGLVqJ6A6yxEmMDchLyw,1776102035605,1776103673642,1638,False,Sett,6,13,1,GOLD III,2026-04-13 18:07:53.642
