match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7836684488,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777483005757,1777484707517,1702,False,Seraphine,4,10,10,GOLD IV,2026-04-29 17:45:07.517
EUW1_7836627952,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777480370123,1777482345421,1975,False,Seraphine,0,3,10,GOLD IV,2026-04-29 17:05:45.421
EUW1_7831502305,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777057815539,1777060072267,2257,True,Seraphine,6,11,13,GOLD IV,2026-04-24 19:47:52.267
EUW1_7831461386,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777056004126,1777057586135,1582,True,Seraphine,1,4,12,GOLD IV,2026-04-24 19:06:26.135
EUW1_7831120744,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777036220680,1777037602057,1381,True,Seraphine,3,3,10,GOLD IV,2026-04-24 13:33:22.057
EUW1_7831086601,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777033876372,1777035958087,2082,False,Seraphine,1,7,9,GOLD IV,2026-04-24 13:05:58.087
EUW1_7831038641,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777029869565,1777030518247,649,True,Seraphine,0,1,0,GOLD IV,2026-04-24 11:35:18.247
EUW1_7831008344,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777027834572,1777029628476,1794,True,Seraphine,5,11,10,GOLD IV,2026-04-24 11:20:28.476
EUW1_7830988799,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777025342679,1777027077550,1735,True,TahmKench,1,2,5,GOLD IV,2026-04-24 10:37:57.550
EUW1_7830952284,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777021570482,1777023169779,1599,True,Seraphine,1,5,18,GOLD IV,2026-04-24 09:32:49.779
EUW1_7830929341,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777018818401,1777021281284,2463,True,Warwick,6,10,13,GOLD IV,2026-04-24 09:01:21.284
EUW1_7830913362,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1777016145348,1777017739779,1598,True,TahmKench,1,1,4,GOLD IV,2026-04-24 08:02:19.779
EUW1_7830188805,VN9L6QHMOAxFeLnMrcK9hl-DaTW0ylbNT6Cmu7-kd4L9qUgxAtIhYOje7t1Co21HO-1uGb9ijsFyVA,1776955997984,1776957387268,1389,True,TahmKench,1,8,8,GOLD IV,2026-04-23 15:16:27.268
