match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826314420,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776624139976,1776626557033,2417,False,Jhin,7,11,8,GOLD IV,2026-04-19 19:22:37.033
EUW1_7824124546,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776464865227,1776466591733,1726,False,Ezreal,12,8,5,GOLD IV,2026-04-17 22:56:31.733
EUW1_7824083618,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776463042842,1776464650842,1608,True,Ashe,8,3,8,GOLD IV,2026-04-17 22:24:10.842
EUW1_7824015207,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776460562179,1776462798369,2236,True,Caitlyn,10,11,11,GOLD IV,2026-04-17 21:53:18.369
EUW1_7822979439,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776377143985,1776379366479,2222,False,Kaisa,6,6,7,GOLD IV,2026-04-16 22:42:46.479
EUW1_7822941002,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776375119452,1776376888961,1769,True,Varus,2,6,7,GOLD IV,2026-04-16 22:01:28.961
EUW1_7822876391,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776372626633,1776374556708,1930,False,Gwen,7,5,7,GOLD IV,2026-04-16 21:22:36.708
EUW1_7822416526,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776353958182,1776355803492,1845,True,Renekton,15,2,5,GOLD IV,2026-04-16 16:10:03.492
EUW1_7821954405,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776298213575,1776299677383,1464,False,Sett,2,8,1,GOLD IV,2026-04-16 00:34:37.383
EUW1_7821940052,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776296262735,1776297781979,1519,True,Ambessa,2,5,6,GOLD IV,2026-04-16 00:03:01.979
EUW1_7821924038,VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,1776294999546,1776295928360,929,False,Jax,0,1,0,GOLD IV,2026-04-15 23:32:08.360
