match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7824335777,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776499290322,1776501345566,2055,False,Jax,6,10,8,BRONZE II,2026-04-18 08:35:45.566
EUW1_7824328794,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776498101803,1776498931383,829,False,Garen,1,0,0,BRONZE II,2026-04-18 07:55:31.383
EUW1_7824304038,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776493503239,1776495239932,1737,True,Garen,5,1,5,BRONZE II,2026-04-18 06:53:59.932
EUW1_7824298830,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776491773828,1776493163716,1390,False,Vex,1,10,1,BRONZE II,2026-04-18 06:19:23.716
EUW1_7823181888,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776411853930,1776413542735,1689,False,Vex,11,7,3,BRONZE II,2026-04-17 08:12:22.735
EUW1_7823165975,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776409220921,1776411421502,2200,True,TahmKench,6,5,12,BRONZE II,2026-04-17 07:37:01.502
EUW1_7823156141,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776407101491,1776408882826,1781,False,Vex,6,7,3,BRONZE II,2026-04-17 06:54:42.826
EUW1_7822031314,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776320501124,1776322724120,2223,False,Leona,1,8,17,BRONZE II,2026-04-16 06:58:44.120
EUW1_7822026978,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776318122055,1776320210127,2088,True,Lux,8,9,11,BRONZE II,2026-04-16 06:16:50.127
EUW1_7822016429,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776314850058,1776317012533,2162,True,XinZhao,1,10,18,BRONZE II,2026-04-16 05:23:32.533
EUW1_7822015992,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776312697308,1776314603177,1906,False,Viego,4,8,6,BRONZE II,2026-04-16 04:43:23.177
EUW1_7822015674,VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,1776311078933,1776312420152,1341,True,Nasus,2,5,8,BRONZE II,2026-04-16 04:07:00.152
