match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7832945690,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777159355202,1777160018808,663,False,Kayle,0,2,0,SILVER III,2026-04-25 23:33:38.808
EUW1_7832907884,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777157056467,1777159007878,1952,False,Olaf,4,7,9,SILVER III,2026-04-25 23:16:47.878
EUW1_7832410990,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777133375764,1777134959024,1583,False,Jhin,2,9,2,SILVER III,2026-04-25 16:35:59.024
EUW1_7832324757,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777128669705,1777131776762,3107,False,Jhin,18,18,14,SILVER III,2026-04-25 15:42:56.762
EUW1_7832278272,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777126275723,1777128155764,1880,True,Kayle,3,3,4,SILVER III,2026-04-25 14:42:35.764
EUW1_7831921162,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777083717919,1777085812501,2094,False,KogMaw,1,10,11,SILVER III,2026-04-25 02:56:52.501
EUW1_7831910079,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777081051685,1777083331100,2279,False,KogMaw,5,14,8,SILVER III,2026-04-25 02:15:31.100
EUW1_7831888005,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777077582372,1777079622064,2040,False,Jhin,10,6,7,SILVER III,2026-04-25 01:13:42.064
EUW1_7831858371,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777074752991,1777076705954,1953,True,Jhin,10,9,2,SILVER III,2026-04-25 00:25:05.954
EUW1_7831830547,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777072028102,1777074457013,2429,True,Jhin,5,12,18,SILVER III,2026-04-24 23:47:37.013
EUW1_7831776652,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777069258424,1777071309182,2051,False,Kayle,5,9,6,SILVER III,2026-04-24 22:55:09.182
EUW1_7831720258,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777066725087,1777068821617,2096,True,Kayle,6,7,11,SILVER III,2026-04-24 22:13:41.617
EUW1_7831612672,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777062288929,1777064667714,2379,True,Jhin,8,10,6,SILVER III,2026-04-24 21:04:27.714
EUW1_7831558946,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777060180844,1777061788860,1608,False,Kayle,1,4,2,SILVER III,2026-04-24 20:16:28.860
EUW1_7831495568,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777057387765,1777059697576,2310,False,Poppy,4,4,7,SILVER III,2026-04-24 19:41:37.576
EUW1_7831447940,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777055159741,1777057020734,1861,False,Kayle,4,10,6,SILVER III,2026-04-24 18:57:00.734
EUW1_7831134458,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1777037314261,1777039081320,1767,True,Kayle,2,4,1,SILVER III,2026-04-24 13:58:01.320
EUW1_7830830610,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1776989029350,1776990666411,1637,False,Kayle,5,9,3,SILVER III,2026-04-24 00:31:06.411
EUW1_7829908527,W8XhuGGWdTOwnGmZ3Q8L3lAxr3eHukWdKkTMDe-oIZzqe0gXU2nEvUOMxy5vySdHCkJ460-dtvwwqg,1776929028321,1776931153602,2125,True,Garen,15,8,5,SILVER III,2026-04-23 07:59:13.602
