match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7834382863,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1777291787155,1777293456719,1669,False,Sona,1,2,10,SILVER IV,2026-04-27 12:37:36.719
EUW1_7831092137,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1777034527144,1777036245020,1718,False,Milio,1,6,11,SILVER IV,2026-04-24 13:10:45.020
EUW1_7831053317,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1777031629725,1777033626093,1996,False,Yuumi,3,3,13,SILVER IV,2026-04-24 12:27:06.093
EUW1_7831034048,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1777029806204,1777031323916,1518,False,Seraphine,5,4,5,SILVER IV,2026-04-24 11:48:43.916
EUW1_7830998121,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1777026749419,1777028807549,2058,False,Sona,2,4,12,SILVER IV,2026-04-24 11:06:47.549
EUW1_7830052356,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776946286329,1776947914128,1628,True,Yuumi,1,3,21,SILVER IV,2026-04-23 12:38:34.128
EUW1_7830035648,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776944630677,1776945986563,1356,False,Seraphine,4,6,3,SILVER IV,2026-04-23 12:06:26.563
EUW1_7830008109,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776942376025,1776944254477,1878,True,Yuumi,2,1,28,SILVER IV,2026-04-23 11:37:34.477
EUW1_7829253424,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776874021291,1776875859374,1838,False,Sona,2,5,13,SILVER IV,2026-04-22 16:37:39.374
EUW1_7829189631,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776869838709,1776871621207,1782,False,Sona,0,4,19,SILVER IV,2026-04-22 15:27:01.207
EUW1_7829004118,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776855748572,1776858249891,2501,True,Seraphine,2,4,32,SILVER IV,2026-04-22 11:44:09.891
EUW1_7826890470,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776680377557,1776682573640,2196,True,Sona,1,2,18,SILVER IV,2026-04-20 10:56:13.640
EUW1_7825099974,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776542032535,1776543779018,1747,True,Milio,0,2,25,SILVER IV,2026-04-18 20:22:59.018
EUW1_7825042383,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776539865800,1776541627741,1762,True,Sona,1,3,28,SILVER IV,2026-04-18 19:47:07.741
EUW1_7824995753,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776537659550,1776539572849,1913,False,Rakan,0,4,9,SILVER IV,2026-04-18 19:12:52.849
EUW1_7824876688,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776532059872,1776533757028,1697,True,Soraka,0,2,9,SILVER IV,2026-04-18 17:35:57.028
EUW1_7824824961,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776529636017,1776531309322,1673,False,Seraphine,3,6,2,SILVER IV,2026-04-18 16:55:09.322
EUW1_7822054971,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776325259046,1776326673801,1415,True,Seraphine,5,5,14,SILVER IV,2026-04-16 08:04:33.801
EUW1_7822050661,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776323899391,1776325004497,1105,False,Milio,0,0,2,SILVER IV,2026-04-16 07:36:44.497
EUW1_7819141040,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776075086561,1776077149157,2062,False,Sona,6,6,18,SILVER IV,2026-04-13 10:45:49.157
EUW1_7819124722,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776072810136,1776074703529,1893,True,Milio,3,3,23,SILVER IV,2026-04-13 10:05:03.529
EUW1_7819123546,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776072448716,1776072530958,82,False,Nami,0,0,0,SILVER IV,2026-04-13 09:28:50.958
EUW1_7819103133,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776070331149,1776072121986,1791,False,Seraphine,5,4,5,SILVER IV,2026-04-13 09:22:01.986
EUW1_7818294519,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776004479079,1776006202246,1723,False,Seraphine,7,5,6,SILVER IV,2026-04-12 15:03:22.246
EUW1_7818258036,WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,1776002966231,1776004201427,1235,False,Yuumi,3,6,11,SILVER IV,2026-04-12 14:30:01.427
