match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823888247,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776456060303,1776457948511,1888,True,Seraphine,6,6,22,BRONZE I,2026-04-17 20:32:28.511
EUW1_7823835430,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776453996349,1776455506625,1510,False,Milio,3,7,12,BRONZE I,2026-04-17 19:51:46.625
EUW1_7823351072,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776428404165,1776430533747,2129,False,Nami,1,6,17,BRONZE I,2026-04-17 12:55:33.747
EUW1_7823327522,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776426360821,1776428138288,1777,False,Braum,1,14,10,BRONZE I,2026-04-17 12:15:38.288
EUW1_7822269232,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776345586365,1776347492955,1906,True,Braum,1,2,17,BRONZE I,2026-04-16 13:51:32.955
EUW1_7821159272,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776258369963,1776260877766,2508,True,Seraphine,9,10,32,BRONZE I,2026-04-15 13:47:57.766
EUW1_7821121274,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776256119038,1776258093191,1974,False,Nami,0,4,9,BRONZE I,2026-04-15 13:01:33.191
EUW1_7820279118,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776178137434,1776180087401,1950,True,Nami,2,8,16,BRONZE I,2026-04-14 15:21:27.401
EUW1_7820256883,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776176479194,1776177849142,1370,False,Braum,4,4,5,BRONZE I,2026-04-14 14:44:09.142
EUW1_7819406669,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776096059916,1776098175573,2116,False,Nautilus,0,10,13,BRONZE I,2026-04-13 16:36:15.573
EUW1_7819377407,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776094836232,1776095761065,925,False,Morgana,0,5,3,BRONZE I,2026-04-13 15:56:01.065
EUW1_7819285112,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1776088627207,1776090515463,1888,False,Seraphine,1,8,11,BRONZE I,2026-04-13 14:28:35.463
EUW1_7675041761,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1767821820783,1767824063962,2243,False,Milio,0,8,23,BRONZE I,2026-01-07 22:14:23.962
EUW1_7604611190,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1763219501546,1763222363541,2862,True,Nautilus,4,9,25,BRONZE I,2025-11-15 15:59:23.541
EUW1_7414349762,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1748380255408,1748382370971,2115,False,Morgana,4,11,19,BRONZE I,2025-05-27 21:46:10.971
EUW1_7412946491,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1748274392831,1748275978194,1585,True,Braum,3,8,8,BRONZE I,2025-05-26 16:12:58.194
EUW1_7412907785,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1748272171452,1748274048082,1876,True,Braum,0,9,20,BRONZE I,2025-05-26 15:40:48.082
EUW1_7404490204,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1747572085151,1747574181999,2097,False,Braum,2,7,9,BRONZE I,2025-05-18 13:16:21.999
EUW1_7404437952,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1747569094031,1747571260096,2166,True,Braum,0,10,19,BRONZE I,2025-05-18 12:27:40.096
EUW1_7403480230,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1747492818442,1747494684430,1866,True,Braum,2,7,25,BRONZE I,2025-05-17 15:11:24.430
EUW1_7403422369,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1747489498988,1747491666306,2167,True,Morgana,5,8,12,BRONZE I,2025-05-17 14:21:06.306
EUW1_7397065124,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746961158620,1746962727402,1568,True,Lillia,1,2,10,BRONZE I,2025-05-11 11:25:27.402
EUW1_7396091830,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746879605592,1746881613408,2008,True,Lillia,2,2,12,BRONZE I,2025-05-10 12:53:33.408
EUW1_7396053376,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746877355221,1746879370997,2015,False,Talon,3,9,2,BRONZE I,2025-05-10 12:16:10.997
EUW1_7395277844,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746808141808,1746809964180,1822,True,Graves,3,1,8,BRONZE I,2025-05-09 16:59:24.180
EUW1_7395237250,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746806018235,1746807795525,1777,False,Diana,1,9,4,BRONZE I,2025-05-09 16:23:15.525
EUW1_7395229971,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746805494640,1746805601440,106,False,Lillia,0,0,0,BRONZE I,2025-05-09 15:46:41.440
EUW1_7394623450,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746737640886,1746739155388,1514,False,Volibear,1,5,4,BRONZE I,2025-05-08 21:19:15.388
EUW1_7394583730,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746735526383,1746737212357,1686,False,Diana,1,6,9,BRONZE I,2025-05-08 20:46:52.357
EUW1_7394522320,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746733167533,1746735171936,2004,False,Lillia,3,11,3,BRONZE I,2025-05-08 20:12:51.936
EUW1_7393549245,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746648104052,1746650051373,1947,False,Nocturne,9,10,14,BRONZE I,2025-05-07 20:34:11.373
EUW1_7392464404,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746557274366,1746559703689,2429,True,XinZhao,8,4,12,BRONZE I,2025-05-06 19:28:23.689
EUW1_7392165308,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746541837671,1746543438103,1600,True,Diana,7,2,5,BRONZE I,2025-05-06 14:57:18.103
EUW1_7392146468,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746539944765,1746541502954,1558,False,Warwick,3,7,2,BRONZE I,2025-05-06 14:25:02.954
EUW1_7392112693,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746537721694,1746539615416,1893,False,Diana,6,13,5,BRONZE I,2025-05-06 13:53:35.416
EUW1_7392077785,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746535092502,1746536820258,1727,True,Nocturne,5,3,5,BRONZE I,2025-05-06 13:07:00.258
EUW1_7391211592,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746457591301,1746459774613,2183,True,Udyr,8,2,7,BRONZE I,2025-05-05 15:42:54.613
EUW1_7391170980,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746455356197,1746457160820,1804,False,Lillia,2,13,3,BRONZE I,2025-05-05 14:59:20.820
EUW1_7391033333,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746445204906,1746447294874,2090,True,Rammus,4,6,14,BRONZE I,2025-05-05 12:14:54.874
EUW1_7390999160,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746441988041,1746444654805,2666,True,Diana,5,12,10,BRONZE I,2025-05-05 11:30:54.805
EUW1_7390979238,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746439987008,1746441571836,1584,False,Lillia,4,4,9,BRONZE I,2025-05-05 10:39:31.836
EUW1_7389955908,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746360667895,1746362390590,1722,True,Lillia,5,5,9,BRONZE I,2025-05-04 12:39:50.590
EUW1_7389926899,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746358797845,1746360254729,1457,False,Graves,4,10,4,BRONZE I,2025-05-04 12:04:14.729
EUW1_7389870210,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746355520282,1746357451031,1930,False,Lillia,3,11,12,BRONZE I,2025-05-04 11:17:31.031
EUW1_7389835053,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746352997280,1746354638326,1641,False,Diana,8,9,7,BRONZE I,2025-05-04 10:30:38.326
EUW1_7389781853,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746348064876,1746349884907,1820,True,Udyr,2,4,12,BRONZE I,2025-05-04 09:11:24.907
EUW1_7388867470,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746276868612,1746278839267,1970,True,Talon,8,4,8,BRONZE I,2025-05-03 13:27:19.267
EUW1_7388721345,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746267661642,1746269901655,2240,False,FiddleSticks,3,9,6,BRONZE I,2025-05-03 10:58:21.655
EUW1_7388692617,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746264572750,1746266765966,2193,False,Lillia,14,9,9,BRONZE I,2025-05-03 10:06:05.966
EUW1_7388662315,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1746262347449,1746264252888,1905,False,Hecarim,2,11,6,BRONZE I,2025-05-03 09:24:12.888
EUW1_7381524938,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1745664806140,1745666757170,1951,True,Graves,12,4,6,BRONZE I,2025-04-26 11:25:57.170
EUW1_7381499877,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1745662882266,1745664506943,1624,False,Amumu,1,8,4,BRONZE I,2025-04-26 10:48:26.943
EUW1_7381207365,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1745620515185,1745622023108,1508,True,Diana,3,3,10,BRONZE I,2025-04-25 23:00:23.108
EUW1_7381163019,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1745618000802,1745620070047,2069,True,Lillia,4,10,28,BRONZE I,2025-04-25 22:27:50.047
EUW1_7377383855,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1745323505778,1745325774917,2269,True,Graves,9,5,8,BRONZE I,2025-04-22 12:42:54.917
EUW1_7335236341,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1741876940283,1741879518875,2578,False,Lillia,14,11,16,BRONZE I,2025-03-13 15:25:18.875
EUW1_7334284746,Xa7-MLxVo9fsRFYSaV6kt6pnBy5_BtM6HVoyAH-Ux9iRx2J9cSVRW4rAk867zY_l_8iRtMiV0LeFBA,1741790391682,1741792436922,2045,True,Diana,8,4,12,BRONZE I,2025-03-12 15:13:56.922
