match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823429415,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776433769941,1776435485452,1715,False,Milio,1,4,11,GOLD III,2026-04-17 14:18:05.452
EUW1_7823394475,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776431041271,1776433458911,2418,True,Milio,3,12,29,GOLD III,2026-04-17 13:44:18.911
EUW1_7823369723,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776429699361,1776430120828,421,True,Milio,0,0,0,GOLD III,2026-04-17 12:48:40.828
EUW1_7823330620,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776426576940,1776429339957,2763,False,Milio,1,4,18,GOLD III,2026-04-17 12:35:39.957
EUW1_7823184846,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776412281824,1776413314553,1033,False,TahmKench,0,4,2,GOLD III,2026-04-17 08:08:34.553
EUW1_7823167266,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776410201369,1776411905205,1704,False,TahmKench,0,5,10,GOLD III,2026-04-17 07:45:05.205
EUW1_7823159993,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776408081667,1776409501468,1420,False,Amumu,1,5,3,GOLD III,2026-04-17 07:05:01.468
EUW1_7822155033,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776336675354,1776338399550,1724,False,Milio,4,6,14,GOLD III,2026-04-16 11:19:59.550
EUW1_7822130182,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776334488004,1776336398363,1910,False,Milio,0,8,12,GOLD III,2026-04-16 10:46:38.363
EUW1_7822111426,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776332786959,1776334200419,1413,True,Milio,0,4,17,GOLD III,2026-04-16 10:10:00.419
EUW1_7822072583,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776327615801,1776330360370,2744,True,Milio,3,5,19,GOLD III,2026-04-16 09:06:00.370
EUW1_7822049634,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776323407146,1776325219378,1812,False,TahmKench,2,5,11,GOLD III,2026-04-16 07:40:19.378
EUW1_7822040722,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776321619757,1776323112135,1492,False,Amumu,1,8,5,GOLD III,2026-04-16 07:05:12.135
EUW1_7822028433,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776319679858,1776321313917,1634,True,Amumu,5,4,11,GOLD III,2026-04-16 06:35:13.917
EUW1_7822029643,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776317679404,1776319331137,1652,False,Amumu,1,10,14,GOLD III,2026-04-16 06:02:11.137
EUW1_7821505592,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776275954311,1776278529287,2575,False,Milio,0,7,18,GOLD III,2026-04-15 18:42:09.287
EUW1_7821449088,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776273824754,1776275562836,1738,False,Milio,0,4,4,GOLD III,2026-04-15 17:52:42.836
EUW1_7821381025,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776270843014,1776272890607,2047,False,Amumu,1,9,16,GOLD III,2026-04-15 17:08:10.607
EUW1_7821341705,YO4ESlL9_LPSEk68D_oHbxqVEgoyN5K59PPg1qDMwxCHVfX4Rr_ItyUXNPEiqRJjkKn3SvLhnZovnA,1776268865111,1776270503282,1638,False,Milio,0,7,6,GOLD III,2026-04-15 16:28:23.282
