match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826535694,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776631418220,1776633235015,1817,False,Malphite,3,10,2,GOLD IV,2026-04-19 21:13:55.015
EUW1_7822461052,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776356251134,1776358082770,1831,False,Malphite,2,8,4,GOLD IV,2026-04-16 16:48:02.770
EUW1_7822417643,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776354060980,1776356015877,1955,True,Malphite,6,8,17,GOLD IV,2026-04-16 16:13:35.877
EUW1_7822029643,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776317679404,1776319331137,1652,True,Malphite,1,10,10,GOLD IV,2026-04-16 06:02:11.137
EUW1_7822021608,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776315115188,1776317297339,2182,False,Malphite,3,10,17,GOLD IV,2026-04-16 05:28:17.339
EUW1_7822012232,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776313161119,1776314856356,1695,True,Malphite,3,3,10,GOLD IV,2026-04-16 04:47:36.356
EUW1_7822013720,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776310908519,1776312827241,1919,True,Malphite,5,6,18,GOLD IV,2026-04-16 04:13:47.241
EUW1_7822003152,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776308253023,1776310472765,2220,True,Malphite,12,2,16,GOLD IV,2026-04-16 03:34:32.765
EUW1_7821997395,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776306183546,1776307836524,1653,False,Renekton,5,6,8,GOLD IV,2026-04-16 02:50:36.524
EUW1_7821992881,Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,1776304205181,1776305786320,1581,True,Renekton,6,4,4,GOLD IV,2026-04-16 02:16:26.320
