match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837136333,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777501906679,1777503693740,1787,True,Amumu,8,3,3,SILVER II,2026-04-29 23:01:33.740
EUW1_7837077125,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777498543293,1777500430728,1887,True,Amumu,5,8,10,SILVER II,2026-04-29 22:07:10.728
EUW1_7837004867,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777495461930,1777496953421,1491,True,Amumu,5,1,8,SILVER II,2026-04-29 21:09:13.421
EUW1_7836954507,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777493416610,1777495168022,1751,False,Amumu,8,2,5,SILVER II,2026-04-29 20:39:28.022
EUW1_7836879662,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777490828533,1777493004430,2176,True,Amumu,3,5,24,SILVER II,2026-04-29 20:03:24.430
EUW1_7836813134,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777488346754,1777490093303,1746,True,Amumu,2,4,14,SILVER II,2026-04-29 19:14:53.303
EUW1_7836465378,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777471988536,1777474165464,2177,True,Lillia,8,9,11,SILVER II,2026-04-29 14:49:25.464
EUW1_7835986831,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777410959284,1777412981287,2022,False,Pantheon,6,12,6,SILVER II,2026-04-28 21:49:41.287
EUW1_7835933586,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777408360909,1777410709832,2349,False,Yasuo,6,12,11,SILVER II,2026-04-28 21:11:49.832
EUW1_7835569464,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777391169776,1777393443253,2273,True,Amumu,7,9,23,SILVER II,2026-04-28 16:24:03.253
EUW1_7835538811,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777389542470,1777390803854,1261,False,Fizz,4,10,3,SILVER II,2026-04-28 15:40:03.854
EUW1_7835445177,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777383132141,1777385343845,2212,True,Fizz,5,7,2,SILVER II,2026-04-28 14:09:03.845
EUW1_7835190765,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777337849106,1777340138563,2289,True,Amumu,10,8,21,SILVER II,2026-04-28 01:35:38.563
EUW1_7835101559,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777328117977,1777329712533,1594,True,Akali,16,6,4,SILVER II,2026-04-27 22:41:52.533
EUW1_7835046260,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777325349359,1777327812635,2463,False,Fizz,7,7,4,SILVER II,2026-04-27 22:10:12.635
EUW1_7834984782,Z8rKjaE-pV5zUWOlxmclpeemSbj0Xn7Uh3c_bap9WJEldSzo6X9sEg-kj4aRkEe5ukXlCSZzNC3g4g,1777322455025,1777324946028,2491,False,Veigar,4,10,3,SILVER II,2026-04-27 21:22:26.028
