match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823670294,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776446511180,1776447923073,1412,False,Twitch,6,5,0,SILVER IV,2026-04-17 17:45:23.073
EUW1_7823638661,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776444786633,1776446227666,1441,True,Twitch,18,4,9,SILVER IV,2026-04-17 17:17:07.666
EUW1_7822869382,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776372332072,1776374126538,1794,True,Twitch,20,11,8,SILVER IV,2026-04-16 21:15:26.538
EUW1_7822823940,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776370474114,1776371941397,1467,False,Alistar,3,9,2,SILVER IV,2026-04-16 20:39:01.397
EUW1_7822762415,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776368425574,1776369946837,1521,False,Lucian,9,9,2,SILVER IV,2026-04-16 20:05:46.837
EUW1_7822686530,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776365357460,1776367590879,2233,True,Twitch,21,5,6,SILVER IV,2026-04-16 19:26:30.879
EUW1_7821549964,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776277809631,1776279272310,1462,False,JarvanIV,3,6,6,SILVER IV,2026-04-15 18:54:32.310
EUW1_7821499081,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1776275817404,1776277522713,1705,False,Zac,4,7,5,SILVER IV,2026-04-15 18:25:22.713
EUW1_7805896340,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774991353207,1774993567074,2214,True,Zac,9,5,18,SILVER IV,2026-03-31 21:46:07.074
EUW1_7805851957,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774989316310,1774990948397,1632,False,LeeSin,3,10,3,SILVER IV,2026-03-31 21:02:28.397
EUW1_7802664237,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774741432263,1774743037380,1605,False,Twitch,9,7,3,SILVER IV,2026-03-29 00:10:37.380
EUW1_7802620919,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774739122459,1774740937324,1815,True,Zac,9,2,13,SILVER IV,2026-03-28 23:35:37.324
EUW1_7802609855,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774738651901,1774738738969,87,True,Zac,0,0,0,SILVER IV,2026-03-28 22:58:58.969
EUW1_7802560025,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774736613327,1774738323869,1710,True,Zac,14,1,13,SILVER IV,2026-03-28 22:52:03.869
EUW1_7797357392,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774386072128,1774387730249,1663,False,Zac,3,8,2,SILVER IV,2026-03-24 21:28:50.249
EUW1_7797274120,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774383667182,1774385735352,2068,True,Zac,10,8,19,SILVER IV,2026-03-24 20:55:35.352
EUW1_7792976124,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774189072663,1774190990879,1919,True,Zac,8,8,20,SILVER IV,2026-03-22 14:49:50.879
EUW1_7792933913,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774187484201,1774188730437,1246,False,Twitch,7,8,2,SILVER IV,2026-03-22 14:12:10.437
EUW1_7791892812,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774127948233,1774129333106,1385,False,Blitzcrank,0,7,8,SILVER IV,2026-03-21 21:42:13.106
EUW1_7791801675,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774125247317,1774126968643,1721,False,Lucian,6,12,2,SILVER IV,2026-03-21 21:02:48.643
EUW1_7791711217,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774122748805,1774124918588,2170,True,Ashe,2,14,7,SILVER IV,2026-03-21 20:28:38.588
EUW1_7791618609,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774119711421,1774121935085,2224,False,Lucian,22,18,7,SILVER IV,2026-03-21 19:38:55.085
EUW1_7791596168,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1774119038416,1774119328110,290,True,Twitch,2,0,0,SILVER IV,2026-03-21 18:55:28.110
EUW1_7747005360,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1771787696175,1771790450924,2755,True,Zac,6,11,26,SILVER IV,2026-02-22 20:00:50.924
EUW1_7563363748,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1760122082500,1760123847636,1765,False,Blitzcrank,3,8,9,SILVER IV,2025-10-10 19:17:27.636
EUW1_7359949947,ZJ99XzK1UWGmZow_0zvDEPW250Qgo4E5yr67WB0JWSp61LoS75HxDnHLYpOYvFvUyhWEhm2nT3x4JA,1743963842066,1743965757088,1915,False,Twitch,7,7,2,SILVER IV,2025-04-06 18:55:57.088
