match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842452048,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777917095866,1777918835785,1740,True,Sett,8,3,7,GOLD IV,2026-05-04 18:20:35.785
EUW1_7842394561,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777914259314,1777916540809,2281,True,Sett,18,5,8,GOLD IV,2026-05-04 17:42:20.809
EUW1_7842351155,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777912627391,1777913926840,1299,False,Tryndamere,4,4,0,GOLD IV,2026-05-04 16:58:46.840
EUW1_7841954872,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777881446660,1777883667598,2221,False,Sett,14,11,8,GOLD IV,2026-05-04 08:34:27.598
EUW1_7841946680,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777879148413,1777881058155,1910,False,Sett,16,8,3,GOLD IV,2026-05-04 07:50:58.155
EUW1_7841934909,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777876800046,1777878690876,1891,True,Jax,3,9,4,GOLD IV,2026-05-04 07:11:30.876
EUW1_7840683617,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777782407711,1777783835096,1427,False,Sylas,3,9,3,GOLD IV,2026-05-03 04:50:35.096
EUW1_7838843755,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777651782087,1777653821894,2040,True,Sett,11,4,10,GOLD IV,2026-05-01 16:43:41.894
EUW1_7838804951,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777649849554,1777651209634,1360,True,Sett,9,2,5,GOLD IV,2026-05-01 16:00:09.634
EUW1_7837792822,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777572109356,1777573724373,1615,False,Sett,5,13,6,GOLD IV,2026-04-30 18:28:44.373
EUW1_7837512980,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777555956157,1777557889526,1933,False,Gnar,4,14,3,GOLD IV,2026-04-30 14:04:49.526
EUW1_7837474283,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777553283133,1777555265249,1982,False,Sett,13,6,7,GOLD IV,2026-04-30 13:21:05.249
EUW1_7837448879,ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,1777550750595,1777552657815,1907,True,Sett,14,3,4,GOLD IV,2026-04-30 12:37:37.815
