match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823670294,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776446511180,1776447923073,1412,False,Lulu,0,6,12,GOLD IV,2026-04-17 17:45:23.073
EUW1_7823638661,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776444786633,1776446227666,1441,True,Lulu,1,4,32,GOLD IV,2026-04-17 17:17:07.666
EUW1_7822869382,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776372332072,1776374126538,1794,True,Swain,11,6,16,GOLD IV,2026-04-16 21:15:26.538
EUW1_7822823940,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776370474114,1776371941397,1467,False,Jhin,1,5,0,GOLD IV,2026-04-16 20:39:01.397
EUW1_7822762415,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776368425574,1776369946837,1521,False,Nautilus,6,6,3,GOLD IV,2026-04-16 20:05:46.837
EUW1_7822686530,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776365357460,1776367590879,2233,True,Lulu,0,2,22,GOLD IV,2026-04-16 19:26:30.879
EUW1_7821549964,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776277809631,1776279272310,1462,False,Vex,5,7,3,GOLD IV,2026-04-15 18:54:32.310
EUW1_7821499081,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1776275817404,1776277522713,1705,False,Vex,2,9,1,GOLD IV,2026-04-15 18:25:22.713
EUW1_7814395528,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1775675069247,1775677204985,2136,True,Skarner,0,10,14,GOLD IV,2026-04-08 19:40:04.985
EUW1_7814341673,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1775672617629,1775674354591,1737,False,Skarner,4,8,10,GOLD IV,2026-04-08 18:52:34.591
EUW1_7810998611,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1775403069184,1775405049839,1981,False,Skarner,5,7,10,GOLD IV,2026-04-05 16:04:09.839
EUW1_7810683339,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1775383220139,1775385272816,2053,True,Skarner,4,4,8,GOLD IV,2026-04-05 10:34:32.816
EUW1_7805896340,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774991353207,1774993567074,2214,True,Renekton,6,6,10,GOLD IV,2026-03-31 21:46:07.074
EUW1_7805851957,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774989316310,1774990948397,1632,False,Vex,5,4,2,GOLD IV,2026-03-31 21:02:28.397
EUW1_7802664237,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774741432263,1774743037380,1605,False,Galio,6,5,7,GOLD IV,2026-03-29 00:10:37.380
EUW1_7802620919,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774739122459,1774740937324,1815,True,Vex,8,6,13,GOLD IV,2026-03-28 23:35:37.324
EUW1_7802609855,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774738651901,1774738738969,87,True,Vex,0,0,0,GOLD IV,2026-03-28 22:58:58.969
EUW1_7802560025,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774736613327,1774738323869,1710,True,Vex,9,9,9,GOLD IV,2026-03-28 22:52:03.869
EUW1_7802457277,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774732805300,1774734896527,2091,False,Nasus,9,7,4,GOLD IV,2026-03-28 21:54:56.527
EUW1_7802424347,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774731586495,1774732451253,865,False,Nasus,1,5,0,GOLD IV,2026-03-28 21:14:11.253
EUW1_7801781760,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774702352711,1774704595844,2243,True,Renekton,6,4,8,GOLD IV,2026-03-28 13:29:55.844
EUW1_7801739215,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774700159709,1774702030212,1870,False,Garen,4,7,1,GOLD IV,2026-03-28 12:47:10.212
EUW1_7798722426,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774473026889,1774474615601,1589,True,Karma,5,2,10,GOLD IV,2026-03-25 21:36:55.601
EUW1_7797357392,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774386072128,1774387730249,1663,False,Vex,4,9,5,GOLD IV,2026-03-24 21:28:50.249
EUW1_7797274120,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774383667182,1774385735352,2068,True,Vex,11,11,12,GOLD IV,2026-03-24 20:55:35.352
EUW1_7797189076,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774381298940,1774383402739,2104,False,Karma,2,6,12,GOLD IV,2026-03-24 20:16:42.739
EUW1_7795523191,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774298560297,1774300687330,2127,False,Yasuo,6,12,2,GOLD IV,2026-03-23 21:18:07.330
EUW1_7795417996,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774295546066,1774297965577,2419,True,Anivia,9,2,11,GOLD IV,2026-03-23 20:32:45.577
EUW1_7792976124,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774189072663,1774190990879,1919,True,Vex,14,6,9,GOLD IV,2026-03-22 14:49:50.879
EUW1_7792933913,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774187484201,1774188730437,1246,False,Nautilus,1,9,8,GOLD IV,2026-03-22 14:12:10.437
EUW1_7791892812,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774127948233,1774129333106,1385,False,Jhin,8,6,0,GOLD IV,2026-03-21 21:42:13.106
EUW1_7791801675,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774125247317,1774126968643,1721,False,Blitzcrank,1,9,6,GOLD IV,2026-03-21 21:02:48.643
EUW1_7791711217,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774122748805,1774124918588,2170,True,Sivir,4,13,16,GOLD IV,2026-03-21 20:28:38.588
EUW1_7791618609,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774119711421,1774121935085,2224,False,Karma,9,6,23,GOLD IV,2026-03-21 19:38:55.085
EUW1_7791596168,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774119038416,1774119328110,290,True,Lulu,0,0,2,GOLD IV,2026-03-21 18:55:28.110
EUW1_7790728816,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774084468845,1774086210803,1742,False,Nautilus,2,7,8,GOLD IV,2026-03-21 09:43:30.803
EUW1_7790686303,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774081563828,1774083811951,2248,False,Nautilus,1,11,19,GOLD IV,2026-03-21 09:03:31.951
EUW1_7790154761,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774045509378,1774047282527,1773,False,Lulu,2,9,13,GOLD IV,2026-03-20 22:54:42.527
EUW1_7790077620,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774043258419,1774044928456,1670,False,Nautilus,2,10,9,GOLD IV,2026-03-20 22:15:28.456
EUW1_7790042091,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774042272740,1774042627757,355,True,Nautilus,0,0,1,GOLD IV,2026-03-20 21:37:07.757
EUW1_7789929792,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774039125658,1774041789601,2664,True,Nautilus,2,7,27,GOLD IV,2026-03-20 21:23:09.601
EUW1_7789831123,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774035915764,1774038217643,2302,True,Veigar,3,10,12,GOLD IV,2026-03-20 20:23:37.643
EUW1_7789740385,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1774032961387,1774035048457,2087,True,Veigar,7,8,11,GOLD IV,2026-03-20 19:30:48.457
EUW1_7376447104,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1745248103756,1745250132183,2028,False,Thresh,0,10,22,GOLD IV,2025-04-21 15:42:12.183
EUW1_7376395366,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1745245770957,1745247599807,1829,False,Lulu,2,9,16,GOLD IV,2025-04-21 14:59:59.807
EUW1_7359949947,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1743963842066,1743965757088,1915,False,Lulu,0,4,8,GOLD IV,2025-04-06 18:55:57.088
EUW1_7329445392,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1741379155693,1741380882237,1726,True,Milio,1,3,18,GOLD IV,2025-03-07 20:54:42.237
EUW1_7308837190,Zjg93MlTWMHxbDicgzRDyyxBE6p_CjgZD0_uiAmyTtbYdQf1Bry9-HSreAXQBZ8OoUK1yrHgNVdGHQ,1739732677812,1739734639642,1961,False,Soraka,1,10,11,GOLD IV,2025-02-16 19:37:19.642
