match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841067995,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777816974696,1777819221900,2247,False,Poppy,3,8,10,SILVER I,2026-05-03 14:40:21.900
EUW1_7841023206,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777815101762,1777816663389,1562,False,Poppy,3,9,0,SILVER I,2026-05-03 13:57:43.389
EUW1_7840701647,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777789605428,1777791670975,2065,False,Poppy,3,10,11,SILVER I,2026-05-03 07:01:10.975
EUW1_7840691211,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777787849915,1777789379091,1529,True,Poppy,3,4,3,SILVER I,2026-05-03 06:22:59.091
EUW1_7840691658,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777785953309,1777787590818,1637,True,Poppy,3,6,8,SILVER I,2026-05-03 05:53:10.818
EUW1_7840174487,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777746595000,1777748808865,2214,False,Poppy,3,4,4,SILVER I,2026-05-02 19:06:48.865
EUW1_7840148593,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777745360904,1777746374634,1014,True,Poppy,3,0,2,SILVER I,2026-05-02 18:26:14.634
EUW1_7839962054,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777735969835,1777737312763,1343,False,Poppy,2,5,0,SILVER I,2026-05-02 15:55:12.763
EUW1_7839905007,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777733049851,1777735113661,2064,True,Poppy,6,3,10,SILVER I,2026-05-02 15:18:33.661
EUW1_7839661906,_Qm8G1j6svby0m4GCwU8hCHWkD-u8dEmu1zqomK9lRh_v_8GInDM-BcG13fwxFjPEb93dQ-iUT9n7g,1777718218838,1777719191803,973,True,Poppy,2,2,5,SILVER I,2026-05-02 10:53:11.803
