match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837215359,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777509723458,1777511336853,1613,False,Seraphine,2,6,15,GOLD IV,2026-04-30 01:08:56.853
EUW1_7837201756,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777507203216,1777509327589,2124,False,Seraphine,5,7,16,GOLD IV,2026-04-30 00:35:27.589
EUW1_7836792837,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777487459118,1777489367469,1908,False,Seraphine,2,9,10,GOLD IV,2026-04-29 19:02:47.469
EUW1_7836594004,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777478946607,1777480383974,1437,True,Seraphine,3,2,16,GOLD IV,2026-04-29 16:33:03.974
EUW1_7836481499,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777472537290,1777474526374,1994,True,Seraphine,2,3,22,GOLD IV,2026-04-29 14:55:26.374
EUW1_7835941646,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777408810129,1777410746130,1936,True,Seraphine,1,3,13,GOLD IV,2026-04-28 21:12:26.130
EUW1_7835883506,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777406138942,1777408325883,2187,True,Seraphine,0,8,17,GOLD IV,2026-04-28 20:32:05.883
EUW1_7835817931,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777403463428,1777404966227,1503,True,Seraphine,3,4,11,GOLD IV,2026-04-28 19:36:06.227
EUW1_7835764469,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777400904207,1777403063648,2159,True,Seraphine,6,11,37,GOLD IV,2026-04-28 19:04:23.648
EUW1_7835707454,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777398757642,1777400562118,1804,True,Seraphine,4,2,18,GOLD IV,2026-04-28 18:22:42.118
EUW1_7835671180,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777396905233,1777398430411,1525,True,Seraphine,5,3,13,GOLD IV,2026-04-28 17:47:10.411
EUW1_7835622228,aJuM4FT6NaL-vWr4Oo8oTL84MNymy9Aqg6w1cA6i7Mkn9SVde1YYw-i_i7gEEyvu7bRVHZkm2bfaFA,1777394444249,1777396134167,1690,True,Seraphine,4,3,30,GOLD IV,2026-04-28 17:08:54.167
