match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7824714165,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1776524253673,1776527181402,2928,False,Diana,12,18,14,SILVER II,2026-04-18 15:46:21.402
EUW1_7819599544,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1776105329173,1776107518199,2189,False,Briar,10,14,3,SILVER II,2026-04-13 19:11:58.199
EUW1_7810696353,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1775384141098,1775386734822,2594,True,Mordekaiser,6,18,4,SILVER II,2026-04-05 10:58:54.822
EUW1_7810694782,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1775383800437,1775383872359,72,False,Mordekaiser,0,0,0,SILVER II,2026-04-05 10:11:12.359
EUW1_7810648792,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1775379335942,1775380773829,1438,True,Mordekaiser,8,4,2,SILVER II,2026-04-05 09:19:33.829
EUW1_7802202030,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774722330800,1774723810609,1480,True,Xerath,9,4,11,SILVER II,2026-03-28 18:50:10.609
EUW1_7801560492,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774685817987,1774686740324,922,True,Xerath,3,3,4,SILVER II,2026-03-28 08:32:20.324
EUW1_7801536946,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774683210778,1774685391642,2181,False,Briar,10,11,9,SILVER II,2026-03-28 08:09:51.642
EUW1_7791255959,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774107559965,1774110176116,2616,False,Viego,9,7,13,SILVER II,2026-03-21 16:22:56.116
EUW1_7791201132,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774105781191,1774107253814,1473,False,Viego,2,8,2,SILVER II,2026-03-21 15:34:13.814
EUW1_7790727993,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774084675034,1774087100020,2430,True,Briar,14,11,9,SILVER II,2026-03-21 09:58:20.020
EUW1_7790687227,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774081882664,1774083666687,1784,True,Ekko,7,4,14,SILVER II,2026-03-21 09:01:06.687
EUW1_7790667729,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1774079801766,1774081370179,1568,True,Xerath,9,3,7,SILVER II,2026-03-21 08:22:50.179
EUW1_7782872022,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1773676760084,1773677894562,1134,True,Briar,3,2,8,SILVER II,2026-03-16 16:18:14.562
EUW1_7781096347,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1773590620501,1773593049283,2429,True,Briar,14,11,15,SILVER II,2026-03-15 16:44:09.283
EUW1_7780865925,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1773583183345,1773585708020,2525,False,Briar,15,14,16,SILVER II,2026-03-15 14:41:48.020
EUW1_7780687499,aPRKVFa-JfVl919IYfaViQMO5GB1UNrQbr0csLLjRzyX3_43xaxzzkVsEAe9b8TCGZKxSZfN_abM1g,1773576109793,1773577527026,1417,False,Viego,3,10,5,SILVER II,2026-03-15 12:25:27.026
