match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7836711838,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1777484315379,1777486127031,1811,True,Yone,11,5,5,GOLD IV,2026-04-29 18:08:47.031
EUW1_7836701496,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1777483999265,1777484065640,66,True,Gwen,0,0,0,GOLD IV,2026-04-29 17:34:25.640
EUW1_7836660771,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1777482072937,1777483513582,1440,False,Rell,1,3,5,GOLD IV,2026-04-29 17:25:13.582
EUW1_7829385960,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776880508586,1776881700597,1192,False,KSante,4,3,1,GOLD IV,2026-04-22 18:15:00.597
EUW1_7828514761,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776799222725,1776801428857,2206,False,Pantheon,14,14,4,GOLD IV,2026-04-21 19:57:08.857
EUW1_7828334105,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776792367989,1776795238839,2871,True,Yone,16,8,14,GOLD IV,2026-04-21 18:13:58.839
EUW1_7827359618,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776709116159,1776710808824,1693,False,Jax,3,8,1,GOLD IV,2026-04-20 18:46:48.824
EUW1_7824484268,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776511529506,1776513307409,1778,False,Ahri,4,8,6,GOLD IV,2026-04-18 11:55:07.409
EUW1_7821720299,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776284608431,1776285610780,1002,True,Akali,4,2,3,GOLD IV,2026-04-15 20:40:10.780
EUW1_7821673226,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776282853377,1776284299124,1446,False,Akali,4,6,1,GOLD IV,2026-04-15 20:18:19.124
EUW1_7821532901,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776277236870,1776279331095,2094,True,Galio,5,2,17,GOLD IV,2026-04-15 18:55:31.095
EUW1_7821456389,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776274191279,1776276161620,1970,True,Ahri,9,4,9,GOLD IV,2026-04-15 18:02:41.620
EUW1_7820638423,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776196642579,1776199335395,2693,True,KSante,3,9,15,GOLD IV,2026-04-14 20:42:15.395
EUW1_7818441703,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776011115324,1776011181720,67,True,Neeko,0,0,0,GOLD IV,2026-04-12 16:26:21.720
EUW1_7818311747,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1776005366238,1776006797453,1431,False,Rakan,1,5,1,GOLD IV,2026-04-12 15:13:17.453
EUW1_7817377126,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1775930207984,1775931662896,1456,False,KSante,1,5,5,GOLD IV,2026-04-11 18:21:02.896
EUW1_7817349509,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1775928330163,1775929690902,1361,True,Gwen,5,7,2,GOLD IV,2026-04-11 17:48:10.902
EUW1_7816151143,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1775838180899,1775839792426,1613,False,Gwen,5,10,0,GOLD IV,2026-04-10 16:49:52.426
EUW1_7799493969,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774544360055,1774546175057,1815,True,Kayle,1,8,2,GOLD IV,2026-03-26 17:29:35.057
EUW1_7799482406,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774544021606,1774544099710,78,True,Gwen,0,0,0,GOLD IV,2026-03-26 16:54:59.710
EUW1_7799221487,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774527895779,1774530318203,2422,False,Qiyana,7,9,5,GOLD IV,2026-03-26 13:05:18.203
EUW1_7798769705,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774474565036,1774476333793,1769,True,XinZhao,11,2,9,GOLD IV,2026-03-25 22:05:33.793
EUW1_7798707203,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774472284293,1774474240861,1956,True,Gwen,10,13,1,GOLD IV,2026-03-25 21:30:40.861
EUW1_7798334843,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774457604405,1774459728533,2129,False,KSante,8,5,8,GOLD IV,2026-03-25 17:28:48.533
EUW1_7798127797,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774447013537,1774449246869,2233,True,Gwen,10,7,4,GOLD IV,2026-03-25 14:34:06.869
EUW1_7798080224,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774444247384,1774446446621,2199,False,Ahri,16,4,8,GOLD IV,2026-03-25 13:47:26.621
EUW1_7797352366,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774385981140,1774388354816,2374,False,Rakan,2,5,19,GOLD IV,2026-03-24 21:39:14.816
EUW1_7797275233,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774383802502,1774385688830,1886,False,Mel,4,10,5,GOLD IV,2026-03-24 20:54:48.830
EUW1_7796811138,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774369460671,1774371361960,1901,False,Sylas,2,8,5,GOLD IV,2026-03-24 16:56:01.960
EUW1_7795558879,aWR8aFNMAfFj2s0f42jckSraAD0TBIJfqPMGVfEhws2kzWRINerqpjW7I3NEoCCDL08GWil0yXPN2g,1774299503637,1774301131581,1628,True,Akali,9,4,4,GOLD IV,2026-03-23 21:25:31.581
