match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828115298,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776780623610,1776781872382,1249,False,Yasuo,3,11,0,SILVER III,2026-04-21 14:31:12.382
EUW1_7828080362,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776778399825,1776780370449,1970,False,Kayn,8,10,7,SILVER III,2026-04-21 14:06:10.449
EUW1_7828051348,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776776030112,1776777859940,1830,True,Kayn,10,8,12,SILVER III,2026-04-21 13:24:19.940
EUW1_7828024947,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776773696331,1776775651318,1955,True,Khazix,20,4,15,SILVER III,2026-04-21 12:47:31.318
EUW1_7828003883,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776771904569,1776773344499,1440,True,Kayn,17,1,4,SILVER III,2026-04-21 12:09:04.499
EUW1_7827990393,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776771061860,1776771658704,597,False,Warwick,1,4,1,SILVER III,2026-04-21 11:40:58.704
EUW1_7827962485,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776767681443,1776770019590,2338,True,Khazix,11,8,15,SILVER III,2026-04-21 11:13:39.590
EUW1_7827138404,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776699055241,1776701019688,1964,False,Yasuo,9,9,4,SILVER III,2026-04-20 16:03:39.688
EUW1_7827090549,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776695957662,1776698719860,2762,False,Garen,16,8,7,SILVER III,2026-04-20 15:25:19.860
EUW1_7827046003,a_-fZOrQ56IGRxHbdLZcG-gU17IG_FxWcn1kLJ0c90q5wgm8EiaGqoQZ4nErsydhrm8Wdj1eb9H_hQ,1776693264441,1776695094924,1830,False,Yasuo,2,14,1,SILVER III,2026-04-20 14:24:54.924
