match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7829589566,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776888543408,1776890266544,1723,True,Varus,4,3,3,SILVER II,2026-04-22 20:37:46.544
EUW1_7827829734,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776738647188,1776738754049,107,False,Darius,0,0,0,SILVER II,2026-04-21 02:32:34.049
EUW1_7822371289,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776351936186,1776353274789,1339,True,Illaoi,11,3,5,SILVER II,2026-04-16 15:27:54.789
EUW1_7822323449,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776349260830,1776351671084,2410,True,Illaoi,6,9,6,SILVER II,2026-04-16 15:01:11.084
EUW1_7821774621,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776286744071,1776288737346,1994,False,Ziggs,4,9,9,SILVER II,2026-04-15 21:32:17.346
EUW1_7821727742,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776284668256,1776286463548,1795,False,Ornn,3,11,6,SILVER II,2026-04-15 20:54:23.548
EUW1_7821671266,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776282909113,1776284389579,1480,False,Illaoi,0,4,2,SILVER II,2026-04-15 20:19:49.579
EUW1_7821652987,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776281999746,1776282448872,449,True,Illaoi,2,0,0,SILVER II,2026-04-15 19:47:28.872
EUW1_7821642004,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1776281611904,1776281688261,76,True,Illaoi,0,0,0,SILVER II,2026-04-15 19:34:48.261
EUW1_7813191298,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1775576285064,1775578655508,2370,True,Ornn,5,6,7,SILVER II,2026-04-07 16:17:35.508
EUW1_7806353320,bEQYzosTN31R7tahINJtXq-7XnPG7ZErhnVp1uWvHY7k0jZBh9-ceLPShZ7u5Uv_3fHYKvFgpt0RbQ,1775050773553,1775052265784,1492,False,Illaoi,10,4,1,SILVER II,2026-04-01 14:04:25.784
