match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7836714054,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777484540011,1777486622008,2082,False,Tryndamere,10,7,4,SILVER III,2026-04-29 18:17:02.008
EUW1_7836664181,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777482346735,1777484066979,1720,True,Tryndamere,11,3,2,SILVER III,2026-04-29 17:34:26.979
EUW1_7835680509,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777397129072,1777399186343,2057,True,Tryndamere,6,4,7,SILVER III,2026-04-28 17:59:46.343
EUW1_7834706179,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777311711298,1777313827589,2116,True,Nautilus,1,9,13,SILVER III,2026-04-27 18:17:07.589
EUW1_7834640798,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777308388575,1777310674997,2286,False,Shen,5,8,15,SILVER III,2026-04-27 17:24:34.997
EUW1_7834593743,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777305972828,1777307976057,2003,False,Tryndamere,5,6,2,SILVER III,2026-04-27 16:39:36.057
EUW1_7834546322,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777303647033,1777305606678,1959,False,Tryndamere,5,10,4,SILVER III,2026-04-27 16:00:06.678
EUW1_7834507356,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777301140312,1777303110321,1970,True,Leona,2,4,20,SILVER III,2026-04-27 15:18:30.321
EUW1_7834469123,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777298498724,1777300706518,2208,False,Tryndamere,11,8,8,SILVER III,2026-04-27 14:38:26.518
EUW1_7833649049,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777223058432,1777224984222,1926,True,Teemo,10,6,9,SILVER III,2026-04-26 17:36:24.222
EUW1_7833575157,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777219776426,1777222071049,2294,True,Teemo,9,4,11,SILVER III,2026-04-26 16:47:51.049
EUW1_7833532220,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777217835688,1777219475752,1640,False,Teemo,3,5,2,SILVER III,2026-04-26 16:04:35.752
EUW1_7833488679,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777215682326,1777217364536,1682,True,Teemo,10,4,6,SILVER III,2026-04-26 15:29:24.536
EUW1_7833439823,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777213426977,1777215318088,1891,False,Tryndamere,4,9,4,SILVER III,2026-04-26 14:55:18.088
EUW1_7833399819,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777211488359,1777213134606,1646,True,Tryndamere,3,4,3,SILVER III,2026-04-26 14:18:54.606
EUW1_7833363777,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777209532674,1777211227868,1695,False,Kayle,5,4,1,SILVER III,2026-04-26 13:47:07.868
EUW1_7833320066,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777207451931,1777209292073,1840,False,Kayle,2,3,4,SILVER III,2026-04-26 13:14:52.073
EUW1_7833227971,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777201935285,1777203805213,1870,False,Kayle,3,7,4,SILVER III,2026-04-26 11:43:25.213
EUW1_7833196574,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777199549876,1777201382991,1833,True,Tryndamere,15,5,1,SILVER III,2026-04-26 11:03:02.991
EUW1_7833157461,bkrtxpEbmpBvKdCdRtLFZWjDMNoj0sarxQuEAjxAVp2ktWdnN2YAMb92vbiipWuROVxi8A15xFVvxA,1777196631223,1777198650666,2019,True,Tryndamere,3,7,8,SILVER III,2026-04-26 10:17:30.666
