match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830195295,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776956765449,1776958640034,1874,True,Volibear,15,3,6,GOLD IV,2026-04-23 15:37:20.034
EUW1_7830128308,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776952279686,1776954526010,2246,True,Darius,16,6,11,GOLD IV,2026-04-23 14:28:46.010
EUW1_7830089914,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776949093706,1776951299859,2206,False,Volibear,3,8,1,GOLD IV,2026-04-23 13:34:59.859
EUW1_7829128056,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776865974331,1776868495447,2521,False,Volibear,8,10,15,GOLD IV,2026-04-22 14:34:55.447
EUW1_7828976899,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776852771064,1776854464112,1693,True,Volibear,5,4,9,GOLD IV,2026-04-22 10:41:04.112
EUW1_7828959521,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776850555910,1776852281295,1725,True,Volibear,13,5,8,GOLD IV,2026-04-22 10:04:41.295
EUW1_7828562341,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776801121199,1776803134259,2013,True,Urgot,15,6,8,GOLD IV,2026-04-21 20:25:34.259
EUW1_7828239590,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776787551845,1776789533115,1981,True,Volibear,8,6,5,GOLD IV,2026-04-21 16:38:53.115
EUW1_7828194341,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776785450768,1776787183870,1733,True,Volibear,13,3,11,GOLD IV,2026-04-21 15:59:43.870
EUW1_7827064477,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776694267348,1776695960060,1693,False,Volibear,6,8,1,GOLD IV,2026-04-20 14:39:20.060
EUW1_7827022246,cOI_XENLJQ2v2hgUyxItbgKbZ0yZGp_4bWgFAan9mQPhhB162wgcpuySE3HBoe8NgjMUAt7SGjV3Ag,1776691819396,1776693491602,1672,False,Volibear,7,12,4,GOLD IV,2026-04-20 13:58:11.602
