match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841847884,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777851633777,1777853141481,1508,False,Yone,2,10,1,SILVER IV,2026-05-04 00:05:41.481
EUW1_7841820209,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777849418157,1777851262566,1844,True,Lucian,7,6,14,SILVER IV,2026-05-03 23:34:22.566
EUW1_7841125772,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777819472769,1777822048208,2575,True,Lucian,10,16,10,SILVER IV,2026-05-03 15:27:28.208
EUW1_7840624071,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777768896412,1777770647704,1751,False,Ryze,5,10,2,SILVER IV,2026-05-03 01:10:47.704
EUW1_7840529621,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777761680397,1777763698652,2018,False,Jhin,8,11,7,SILVER IV,2026-05-02 23:14:58.652
EUW1_7839452531,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777680803091,1777683440049,2637,True,Mel,18,6,14,SILVER IV,2026-05-02 00:57:20.049
EUW1_7839444816,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777680464387,1777680544477,80,True,Cassiopeia,0,0,0,SILVER IV,2026-05-02 00:09:04.477
EUW1_7838876674,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777653267994,1777655783865,2516,False,Ryze,7,11,5,SILVER IV,2026-05-01 17:16:23.865
EUW1_7838329064,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777607344891,1777609139963,1795,True,Lucian,15,6,8,SILVER IV,2026-05-01 04:18:59.963
EUW1_7838328789,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777606058978,1777607033331,974,False,Ryze,0,5,0,SILVER IV,2026-05-01 03:43:53.331
EUW1_7838226079,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777591259166,1777592694803,1436,True,Ryze,6,7,6,SILVER IV,2026-04-30 23:44:54.803
EUW1_7837255450,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777522325815,1777523856278,1530,True,Milio,5,6,17,SILVER IV,2026-04-30 04:37:36.278
EUW1_7837256710,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777518856755,1777521116864,2260,False,Ryze,13,12,10,SILVER IV,2026-04-30 03:51:56.864
EUW1_7837247571,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777514849020,1777516663665,1819,True,Ezreal,3,12,8,SILVER IV,2026-04-30 02:37:43.665
EUW1_7837231885,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777512215121,1777514088543,1873,False,Ahri,7,6,7,SILVER IV,2026-04-30 01:54:48.543
EUW1_7837192221,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777506577983,1777507690285,1112,False,Viego,1,8,1,SILVER IV,2026-04-30 00:08:10.285
EUW1_7837176793,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777504505370,1777506295482,1790,True,Orianna,6,3,4,SILVER IV,2026-04-29 23:44:55.482
EUW1_7836627644,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777480244610,1777481824347,1580,True,Ryze,16,3,2,SILVER IV,2026-04-29 16:57:04.347
EUW1_7836557304,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777476988615,1777478958526,1970,True,Ryze,12,4,13,SILVER IV,2026-04-29 16:09:18.526
EUW1_7836012153,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777412425590,1777415084561,2659,True,Jhin,10,11,9,SILVER IV,2026-04-28 22:24:44.561
EUW1_7835222135,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777350810366,1777352322012,1512,False,Zed,3,13,5,SILVER IV,2026-04-28 04:58:42.012
EUW1_7835224467,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777348579996,1777350493847,1914,True,Ryze,3,5,8,SILVER IV,2026-04-28 04:28:13.847
EUW1_7835204229,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777342203565,1777344035175,1831,False,Yorick,3,11,0,SILVER IV,2026-04-28 02:40:35.175
EUW1_7835204460,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777340254396,1777341933670,1679,False,MissFortune,3,9,4,SILVER IV,2026-04-28 02:05:33.670
EUW1_7835166816,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777333727111,1777335623130,1896,False,Lucian,7,12,3,SILVER IV,2026-04-28 00:20:23.130
EUW1_7834191304,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777254836675,1777256682683,1846,True,Ryze,4,5,13,SILVER IV,2026-04-27 02:24:42.683
EUW1_7834028363,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777238643324,1777241023572,2380,False,Hwei,10,8,6,SILVER IV,2026-04-26 22:03:43.572
EUW1_7832172687,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777119626348,1777121269138,1643,True,Syndra,6,0,1,SILVER IV,2026-04-25 12:47:49.138
EUW1_7831912078,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777081249201,1777083009496,1760,True,Ryze,8,8,3,SILVER IV,2026-04-25 02:10:09.496
EUW1_7831755111,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777068352935,1777071471906,3119,True,Jhin,9,11,17,SILVER IV,2026-04-24 22:57:51.906
EUW1_7831525049,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777058923676,1777061126333,2203,True,Gnar,8,5,11,SILVER IV,2026-04-24 20:05:26.333
EUW1_7831294874,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1777047135012,1777049065747,1931,True,Viego,23,4,3,SILVER IV,2026-04-24 16:44:25.747
EUW1_7830829570,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776988897822,1776990786842,1889,True,Lillia,8,4,17,SILVER IV,2026-04-24 00:33:06.842
EUW1_7830381139,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776966559237,1776968442659,1883,False,Sylas,3,9,14,SILVER IV,2026-04-23 18:20:42.659
EUW1_7830202224,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776956939559,1776959004343,2065,False,Diana,9,8,15,SILVER IV,2026-04-23 15:43:24.343
EUW1_7829842073,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776905892646,1776907797117,1904,True,Jax,17,2,6,SILVER IV,2026-04-23 01:29:57.117
EUW1_7829753368,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776896678068,1776898365464,1687,True,Diana,6,6,12,SILVER IV,2026-04-22 22:52:45.464
EUW1_7829714773,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776894124766,1776895787043,1662,True,Vi,7,6,12,SILVER IV,2026-04-22 22:09:47.043
EUW1_7829616008,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776889885730,1776891542196,1656,False,Ambessa,4,6,6,SILVER IV,2026-04-22 20:59:02.196
EUW1_7829076968,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776862107900,1776863766912,1659,False,Jax,7,11,1,SILVER IV,2026-04-22 13:16:06.912
EUW1_7828706005,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776806732152,1776809053791,2321,True,Garen,23,6,5,SILVER IV,2026-04-21 22:04:13.791
EUW1_7827836080,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776742941562,1776744511715,1570,True,Viego,10,1,10,SILVER IV,2026-04-21 04:08:31.715
EUW1_7827813158,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776735025998,1776738394339,3368,True,Rumble,20,18,14,SILVER IV,2026-04-21 02:26:34.339
EUW1_7827709277,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776723369318,1776725457435,2088,True,Varus,14,7,8,SILVER IV,2026-04-20 22:50:57.435
EUW1_7827589543,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776717465802,1776719231196,1765,False,Irelia,13,13,6,SILVER IV,2026-04-20 21:07:11.196
EUW1_7827500815,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776714314797,1776716209308,1894,True,Garen,16,5,5,SILVER IV,2026-04-20 20:16:49.308
EUW1_7826778580,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776656085802,1776657307066,1221,True,Zed,9,2,2,SILVER IV,2026-04-20 03:55:07.066
EUW1_7826770053,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776654668104,1776655638763,971,False,Gangplank,2,3,1,SILVER IV,2026-04-20 03:27:18.763
EUW1_7826689180,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776639874326,1776641929912,2055,True,Jax,7,8,6,SILVER IV,2026-04-19 23:38:49.912
EUW1_7825305407,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776550500729,1776552222198,1721,True,Garen,11,7,6,SILVER IV,2026-04-18 22:43:42.198
EUW1_7824238524,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776473416625,1776475540300,2123,True,Jax,25,7,8,SILVER IV,2026-04-18 01:25:40.300
EUW1_7823089379,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776386135371,1776388159441,2024,True,Garen,17,6,2,SILVER IV,2026-04-17 01:09:19.441
EUW1_7823050577,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776381141164,1776382726293,1585,True,Garen,15,3,3,SILVER IV,2026-04-16 23:38:46.293
EUW1_7821991571,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776303209226,1776305750689,2541,False,Rumble,5,15,7,SILVER IV,2026-04-16 02:15:50.689
EUW1_7821779838,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776287040769,1776288985895,1945,False,Ambessa,4,10,7,SILVER IV,2026-04-15 21:36:25.895
EUW1_7820905879,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776214712082,1776217002436,2290,False,Aatrox,13,13,13,SILVER IV,2026-04-15 01:36:42.436
EUW1_7820871139,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776209934756,1776211809834,1875,False,KSante,4,8,3,SILVER IV,2026-04-15 00:10:09.834
EUW1_7820285473,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776178154666,1776180164764,2010,False,Zaahen,8,10,3,SILVER IV,2026-04-14 15:22:44.764
EUW1_7820243437,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776175853482,1776177688235,1839,True,Garen,15,3,9,SILVER IV,2026-04-14 14:41:28.235
EUW1_7819981514,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776127106255,1776129738245,2632,False,Kaisa,16,16,13,SILVER IV,2026-04-14 01:22:18.245
EUW1_7819967648,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776124684785,1776126731876,2047,False,Jax,22,7,5,SILVER IV,2026-04-14 00:32:11.876
EUW1_7819838646,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776115043282,1776117195393,2152,False,Chogath,12,9,7,SILVER IV,2026-04-13 21:53:15.393
EUW1_7819824784,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776114635926,1776114707390,71,True,Garen,0,0,0,SILVER IV,2026-04-13 21:11:47.390
EUW1_7819767933,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776112032375,1776113992898,1960,True,Garen,9,6,5,SILVER IV,2026-04-13 20:59:52.898
EUW1_7819580203,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776104678803,1776106921150,2242,True,Garen,9,8,5,SILVER IV,2026-04-13 19:02:01.150
EUW1_7819532746,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776102477521,1776104237254,1760,False,Yorick,2,9,2,SILVER IV,2026-04-13 18:17:17.254
EUW1_7819478515,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776099751789,1776101931363,2179,True,Aatrox,9,9,9,SILVER IV,2026-04-13 17:38:51.363
EUW1_7819038994,dKTJfaLNyQ8uQPRJFyaCUFGEK_bwsK8G6D7nuzS9OSNu3IKXs30TZkESjCRWBsg9NIqVTinSwfRYcQ,1776046117281,1776047901156,1784,True,Garen,19,2,2,SILVER IV,2026-04-13 02:38:21.156
