match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842428561,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777915797004,1777918139960,2343,False,Sett,10,12,4,SILVER I,2026-05-04 18:08:59.960
EUW1_7838451086,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777628967756,1777630863915,1896,True,Teemo,3,10,13,SILVER I,2026-05-01 10:21:03.915
EUW1_7836672314,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777482749631,1777485589633,2840,True,Jax,13,10,9,SILVER I,2026-04-29 17:59:49.633
EUW1_7835723718,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777399152219,1777400825026,1673,False,TahmKench,2,4,2,SILVER I,2026-04-28 18:27:05.026
EUW1_7835482917,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777385693087,1777387900560,2207,True,Kled,6,10,13,SILVER I,2026-04-28 14:51:40.560
EUW1_7835292485,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777367372649,1777369395575,2023,False,Quinn,20,14,7,SILVER I,2026-04-28 09:43:15.575
EUW1_7835272187,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777365610618,1777367000300,1390,False,Teemo,2,7,0,SILVER I,2026-04-28 09:03:20.300
EUW1_7835100269,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777328376834,1777330398364,2021,True,Teemo,11,3,7,SILVER I,2026-04-27 22:53:18.364
EUW1_7835064329,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777326301387,1777328006665,1707,False,Ashe,11,10,10,SILVER I,2026-04-27 22:13:26.665
EUW1_7835033444,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777324884898,1777325967382,1082,False,Kaisa,2,2,1,SILVER I,2026-04-27 21:39:27.382
EUW1_7834731362,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777312857146,1777315243887,2387,True,Lux,6,9,18,SILVER I,2026-04-27 18:40:43.887
EUW1_7834687752,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777310530111,1777312343253,1813,True,Veigar,5,6,10,SILVER I,2026-04-27 17:52:23.253
EUW1_7834644932,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777308660211,1777310244935,1585,False,Smolder,2,10,6,SILVER I,2026-04-27 17:17:24.935
EUW1_7834583941,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777305565216,1777307960099,2395,True,Pantheon,16,9,18,SILVER I,2026-04-27 16:39:20.099
EUW1_7834310858,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777284716685,1777286339690,1623,False,Malzahar,3,7,4,SILVER I,2026-04-27 10:38:59.690
EUW1_7834284429,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777282160708,1777284367933,2207,False,Ashe,9,11,13,SILVER I,2026-04-27 10:06:07.933
EUW1_7834265035,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777278988339,1777281640119,2652,False,Warwick,14,12,7,SILVER I,2026-04-27 09:20:40.119
EUW1_7831405036,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777053164020,1777055241353,2077,True,Veigar,8,10,8,SILVER I,2026-04-24 18:27:21.353
EUW1_7831363371,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777051043834,1777052840321,1797,True,Malzahar,15,6,10,SILVER I,2026-04-24 17:47:20.321
EUW1_7831003899,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777026868942,1777029802307,2933,True,Malphite,14,16,24,SILVER I,2026-04-24 11:23:22.307
EUW1_7831003569,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777026593021,1777026660457,67,True,Malphite,0,0,0,SILVER I,2026-04-24 10:31:00.457
EUW1_7830974240,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777024137026,1777026124622,1988,False,Veigar,9,5,7,SILVER I,2026-04-24 10:22:04.622
EUW1_7830956767,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777021991883,1777023883467,1891,True,TahmKench,4,6,7,SILVER I,2026-04-24 09:44:43.467
EUW1_7830943691,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1777019972836,1777021684001,1711,False,Garen,1,5,1,SILVER I,2026-04-24 09:08:04.001
EUW1_7830787404,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776985502723,1776986610237,1107,False,Garen,0,3,1,SILVER I,2026-04-23 23:23:30.237
EUW1_7830756354,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776983167083,1776985207150,2040,True,Garen,7,4,2,SILVER I,2026-04-23 23:00:07.150
EUW1_7830731411,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776981519833,1776982720276,1200,True,Garen,6,0,1,SILVER I,2026-04-23 22:18:40.276
EUW1_7830683024,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776979102361,1776981275948,2173,False,Heimerdinger,1,12,5,SILVER I,2026-04-23 21:54:35.948
EUW1_7830247055,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776959666713,1776961537608,1871,True,Trundle,6,4,10,SILVER I,2026-04-23 16:25:37.608
EUW1_7830216477,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776957546256,1776959282576,1736,True,Yorick,4,2,1,SILVER I,2026-04-23 15:48:02.576
EUW1_7829985922,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776940043241,1776941419232,1376,True,Seraphine,0,3,6,SILVER I,2026-04-23 10:50:19.232
EUW1_7829961413,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776937618255,1776939673032,2055,True,Veigar,17,5,15,SILVER I,2026-04-23 10:21:13.032
EUW1_7829944451,dPHRhVPRQnyPoLiDcYwrqLuqqmiuH6BXcRg1Gi3SvglUBL2Nvz3j56clXXVpSfPxKIWV7Vlgioxs6g,1776935809892,1776937387686,1578,False,TahmKench,1,8,4,SILVER I,2026-04-23 09:43:07.686
