match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828511424,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776799345646,1776801737695,2392,True,Trundle,12,5,10,SILVER III,2026-04-21 20:02:17.695
EUW1_7828356140,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776793409437,1776795212695,1803,True,Trundle,6,0,7,SILVER III,2026-04-21 18:13:32.695
EUW1_7827989793,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776770532553,1776772346208,1814,False,Trundle,11,4,5,SILVER III,2026-04-21 11:52:26.208
EUW1_7826973498,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776687939166,1776689622814,1684,True,Trundle,7,2,3,SILVER III,2026-04-20 12:53:42.814
EUW1_7826905135,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776682360922,1776683639550,1279,False,Trundle,7,4,1,SILVER III,2026-04-20 11:13:59.550
EUW1_7826731481,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776643713729,1776645562064,1848,True,Trundle,5,2,5,SILVER III,2026-04-20 00:39:22.064
EUW1_7826560198,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776632687731,1776634276939,1589,True,Khazix,5,6,7,SILVER III,2026-04-19 21:31:16.939
EUW1_7826330663,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776624437006,1776626356571,1919,False,Nocturne,10,11,8,SILVER III,2026-04-19 19:19:16.571
EUW1_7826276158,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776622742496,1776624189744,1447,False,Urgot,4,9,0,SILVER III,2026-04-19 18:43:09.744
EUW1_7826003381,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776612326705,1776614284907,1958,False,Nasus,5,6,9,SILVER III,2026-04-19 15:58:04.907
EUW1_7825606970,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776591503982,1776593396307,1892,True,Urgot,2,5,11,SILVER III,2026-04-19 10:09:56.307
EUW1_7825428437,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776558500905,1776560657065,2156,False,Naafiri,4,12,6,SILVER III,2026-04-19 01:04:17.065
EUW1_7825410130,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776556632230,1776558199768,1568,False,Malphite,4,7,1,SILVER III,2026-04-19 00:23:19.768
EUW1_7825270170,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776548745239,1776550381453,1636,True,Nocturne,13,1,4,SILVER III,2026-04-18 22:13:01.453
EUW1_7825221890,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776546625912,1776548506568,1881,False,Trundle,2,5,3,SILVER III,2026-04-18 21:41:46.568
EUW1_7824222532,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776471475979,1776472634154,1158,False,Trundle,2,7,0,SILVER III,2026-04-18 00:37:14.154
EUW1_7824192073,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776469245252,1776470814762,1569,False,Nocturne,4,7,3,SILVER III,2026-04-18 00:06:54.762
EUW1_7824162789,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776467204457,1776468973229,1769,True,Trundle,5,2,11,SILVER III,2026-04-17 23:36:13.229
EUW1_7824043519,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776461486734,1776464223303,2737,True,Khazix,18,9,7,SILVER III,2026-04-17 22:17:03.303
EUW1_7823109149,eL2kCdkkpk5j7ei9FA32epL1MNFDuXc7aGdGc03jQmQMi4bqdVekWSvvVHsGFw2ld9JGkIxLlzsR-A,1776389318793,1776391153995,1836,False,Volibear,5,9,5,SILVER III,2026-04-17 01:59:13.995
