match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7824578654,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776516957483,1776518644408,1687,False,Vayne,0,5,4,SILVER III,2026-04-18 13:24:04.408
EUW1_7822234130,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776343237015,1776346177412,2940,False,Jinx,5,12,7,SILVER III,2026-04-16 13:29:37.412
EUW1_7822205793,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776340650708,1776342555219,1904,False,Kaisa,14,9,2,SILVER III,2026-04-16 12:29:15.219
EUW1_7822199617,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776340138000,1776340215247,77,False,Varus,0,0,0,SILVER III,2026-04-16 11:50:15.247
EUW1_7821083524,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776252358501,1776254139359,1781,False,Yasuo,2,10,3,SILVER III,2026-04-15 11:55:39.359
EUW1_7821056089,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776250418566,1776252056589,1638,True,Jhin,16,6,7,SILVER III,2026-04-15 11:20:56.589
EUW1_7821022383,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776247782033,1776249922413,2140,False,Yasuo,14,7,14,SILVER III,2026-04-15 10:45:22.413
EUW1_7820755777,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776201680574,1776205204711,3524,False,Kayn,12,12,17,SILVER III,2026-04-14 22:20:04.711
EUW1_7820670524,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776197672592,1776199106673,1434,True,Vi,5,1,7,SILVER III,2026-04-14 20:38:26.673
EUW1_7820107640,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776162334697,1776165003420,2669,True,Ziggs,12,10,16,SILVER III,2026-04-14 11:10:03.420
EUW1_7820084027,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776159689483,1776161898154,2209,True,Nunu,10,4,15,SILVER III,2026-04-14 10:18:18.154
EUW1_7819818305,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776114325301,1776115989191,1664,True,Yone,2,3,6,SILVER III,2026-04-13 21:33:09.191
EUW1_7819199923,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776081287454,1776083240096,1953,False,LeeSin,5,11,3,SILVER III,2026-04-13 12:27:20.096
EUW1_7819186253,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776080338326,1776080728675,390,False,Yasuo,1,1,0,SILVER III,2026-04-13 11:45:28.675
EUW1_7819138317,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1776075101787,1776076736348,1634,True,Yasuo,11,4,10,SILVER III,2026-04-13 10:38:56.348
EUW1_7818128136,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775996154911,1775997817876,1663,True,MasterYi,9,6,5,SILVER III,2026-04-12 12:43:37.876
EUW1_7818092931,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775993900939,1775995806530,1906,True,Shaco,10,5,6,SILVER III,2026-04-12 12:10:06.530
EUW1_7817614113,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775940983379,1775943222647,2239,True,Graves,10,3,5,SILVER III,2026-04-11 21:33:42.647
EUW1_7816899266,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775900549512,1775902690412,2141,False,MasterYi,11,12,6,SILVER III,2026-04-11 10:18:10.412
EUW1_7816873394,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775898162349,1775900226280,2064,True,MasterYi,21,7,6,SILVER III,2026-04-11 09:37:06.280
EUW1_7816857333,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775896203309,1775897849043,1646,False,Katarina,4,9,5,SILVER III,2026-04-11 08:57:29.043
EUW1_7816655322,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775861011486,1775863425310,2414,True,Yasuo,10,11,9,SILVER III,2026-04-10 23:23:45.310
EUW1_7816604978,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775858433034,1775860541418,2108,True,Yasuo,11,5,4,SILVER III,2026-04-10 22:35:41.418
EUW1_7815976905,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775827919179,1775829442984,1524,False,Thresh,3,10,9,SILVER III,2026-04-10 13:57:22.984
EUW1_7815869662,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775819387012,1775821358454,1971,True,Yasuo,4,8,9,SILVER III,2026-04-10 11:42:38.454
EUW1_7815759952,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1775806899507,1775808535988,1636,False,Zed,1,3,2,SILVER III,2026-04-10 08:08:55.988
EUW1_7491817883,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1754945337144,1754947887832,2550,False,Nocturne,11,8,14,SILVER III,2025-08-11 21:31:27.832
EUW1_7491771649,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1754943423582,1754944835339,1411,True,MasterYi,11,1,4,SILVER III,2025-08-11 20:40:35.339
EUW1_7488508033,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1754690668341,1754692438361,1770,False,Kayn,4,12,2,SILVER III,2025-08-08 22:33:58.361
EUW1_7370406485,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744783215716,1744784585045,1369,True,Yasuo,8,5,8,SILVER III,2025-04-16 06:23:05.045
EUW1_7369479572,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744716970694,1744719170961,2200,True,Yasuo,20,7,8,SILVER III,2025-04-15 12:12:50.961
EUW1_7369465228,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744716425785,1744716534224,108,True,Yasuo,0,0,0,SILVER III,2025-04-15 11:28:54.224
EUW1_7369432185,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744713241209,1744715483291,2242,True,Yasuo,7,7,6,SILVER III,2025-04-15 11:11:23.291
EUW1_7367866500,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744573391677,1744574697403,1305,False,Yasuo,5,9,3,SILVER III,2025-04-13 20:04:57.403
EUW1_7367176856,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744542000820,1744544196729,2196,False,Yasuo,1,11,5,SILVER III,2025-04-13 11:36:36.729
EUW1_7367138010,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744539585882,1744541523784,1938,True,Caitlyn,9,8,9,SILVER III,2025-04-13 10:52:03.784
EUW1_7367109218,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744537874153,1744539144422,1270,True,Yasuo,16,6,8,SILVER III,2025-04-13 10:12:24.422
EUW1_7367004666,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744525045341,1744527116156,2070,False,Yasuo,10,11,11,SILVER III,2025-04-13 06:51:56.156
EUW1_7365983617,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744453123610,1744454899223,1775,False,Gwen,1,6,6,SILVER III,2025-04-12 10:48:19.223
EUW1_7365951065,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744450772904,1744452709841,1937,True,Riven,6,7,10,SILVER III,2025-04-12 10:11:49.841
EUW1_7365897033,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744446116769,1744447466640,1350,True,Yasuo,8,2,5,SILVER III,2025-04-12 08:44:26.640
EUW1_7364915267,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744371753742,1744373483582,1730,False,Garen,7,7,5,SILVER III,2025-04-11 12:11:23.582
EUW1_7364753950,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744354786054,1744357756489,2970,True,Garen,21,9,15,SILVER III,2025-04-11 07:49:16.489
EUW1_7364741249,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744352789502,1744354398982,1609,False,Naafiri,6,7,2,SILVER III,2025-04-11 06:53:18.982
EUW1_7364729433,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744350359844,1744352396026,2036,True,Yasuo,9,10,10,SILVER III,2025-04-11 06:19:56.026
EUW1_7364730594,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744348285755,1744350015990,1730,True,Yasuo,12,8,3,SILVER III,2025-04-11 05:40:15.990
EUW1_7364702016,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744339592362,1744341047849,1455,True,Yasuo,3,5,2,SILVER III,2025-04-11 03:10:47.849
EUW1_7363687204,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744266839703,1744267766821,927,False,Graves,2,5,2,SILVER III,2025-04-10 06:49:26.821
EUW1_7363681645,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744263448547,1744265067056,1618,False,Sylas,10,11,5,SILVER III,2025-04-10 06:04:27.056
EUW1_7363672035,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744261546210,1744262592541,1046,True,Kayn,7,2,3,SILVER III,2025-04-10 05:23:12.541
EUW1_7363655036,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744256676784,1744258054367,1377,False,Yasuo,3,8,2,SILVER III,2025-04-10 04:07:34.367
EUW1_7363644100,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744253482962,1744256085597,2602,True,Yasuo,26,11,19,SILVER III,2025-04-10 03:34:45.597
ME1_10375079,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744145208689,1744147184954,1976,True,Lux,7,11,13,SILVER III,2025-04-08 21:19:44.954
ME1_10362409,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744112312648,1744114564719,2252,False,Yasuo,11,8,7,SILVER III,2025-04-08 12:16:04.719
ME1_10361369,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744110216963,1744111668453,1451,True,Yone,8,7,12,SILVER III,2025-04-08 11:27:48.453
ME1_10358657,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744099536816,1744101084278,1547,True,Yasuo,20,3,2,SILVER III,2025-04-08 08:31:24.278
ME1_10340968,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744034349165,1744036078963,1729,True,Yasuo,10,8,5,SILVER III,2025-04-07 14:27:58.963
ME1_10340790,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1744031979736,1744033786396,1806,True,Yasuo,18,7,9,SILVER III,2025-04-07 13:49:46.396
ME1_10334587,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1743996125147,1743998781810,2656,False,Yasuo,11,15,13,SILVER III,2025-04-07 04:06:21.810
ME1_10330284,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1743972281540,1743973970436,1689,True,Thresh,7,4,25,SILVER III,2025-04-06 21:12:50.436
ME1_10319136,eoiq7IElPtYrNLwF7CVkZhPcMGTCFfQSMJqX74AdKOZMVjs-DhzpbdrmJmivAhahVuaYM0y-UFMPNw,1743939280403,1743940945016,1664,True,Yasuo,13,3,6,SILVER III,2025-04-06 12:02:25.016
