match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828834421,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776815978875,1776818601273,2622,True,Vex,3,6,17,SILVER III,2026-04-22 00:43:21.273
EUW1_7828816145,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776813810419,1776815705564,1895,False,Mel,6,10,4,SILVER III,2026-04-21 23:55:05.564
EUW1_7828784094,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776811129637,1776813383786,2254,True,Diana,16,6,14,SILVER III,2026-04-21 23:16:23.786
EUW1_7827795629,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776730623875,1776732454106,1830,False,Diana,2,10,5,SILVER III,2026-04-21 00:47:34.106
EUW1_7827743888,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776725519614,1776727321032,1801,True,Malzahar,5,4,3,SILVER III,2026-04-20 23:22:01.032
EUW1_7827716871,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776723548273,1776725167608,1619,False,Diana,7,5,4,SILVER III,2026-04-20 22:46:07.608
EUW1_7826664257,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776638102973,1776640403193,2300,False,Mel,6,7,7,SILVER III,2026-04-19 23:13:23.193
EUW1_7825348738,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776552395344,1776554025967,1630,False,Diana,7,12,3,SILVER III,2026-04-18 23:13:45.967
EUW1_7825275616,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776548819939,1776551629865,2810,True,Diana,10,9,12,SILVER III,2026-04-18 22:33:49.865
EUW1_7825263046,fMVXsuu50P6zoByKpYDOA6Y2qd5fexmFbomdnNSC320ViyKZesAxEKSB2GkCzQEPRtc4bG2ZWlJw4Q,1776548441336,1776548511450,70,True,Vex,0,0,0,SILVER III,2026-04-18 21:41:51.450
