match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7831035773,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1777029861618,1777031944869,2083,False,MasterYi,4,11,3,BRONZE III,2026-04-24 11:59:04.869
EUW1_7830919301,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1777017141583,1777018886257,1745,True,MasterYi,8,9,4,BRONZE III,2026-04-24 08:21:26.257
EUW1_7830652081,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776977727441,1776979729210,2006,True,MasterYi,9,6,4,BRONZE III,2026-04-23 21:28:49.210
EUW1_7830602899,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776975667435,1776977387971,1720,False,FiddleSticks,1,10,5,BRONZE III,2026-04-23 20:49:47.971
EUW1_7828608890,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776802892321,1776804442275,1550,False,MasterYi,3,12,5,BRONZE III,2026-04-21 20:47:22.275
EUW1_7823963318,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776458662674,1776461252786,2590,True,MasterYi,5,9,12,BRONZE III,2026-04-17 21:27:32.786
EUW1_7821744796,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776285553413,1776287631676,2078,False,FiddleSticks,2,8,7,BRONZE III,2026-04-15 21:13:51.676
EUW1_7821685267,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776283261247,1776284980844,1719,False,Smolder,2,7,8,BRONZE III,2026-04-15 20:29:40.844
EUW1_7821631434,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776281183234,1776282994105,1811,True,Tristana,1,10,7,BRONZE III,2026-04-15 19:56:34.105
EUW1_7820587618,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776194156501,1776195768238,1612,False,FiddleSticks,0,6,2,BRONZE III,2026-04-14 19:42:48.238
EUW1_7820509033,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776190973691,1776193810579,2837,False,FiddleSticks,3,15,7,BRONZE III,2026-04-14 19:10:10.579
EUW1_7820465375,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776188919635,1776190344033,1424,True,Amumu,6,5,4,BRONZE III,2026-04-14 18:12:24.033
EUW1_7819782259,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776112766970,1776115420353,2653,False,Talon,14,15,18,BRONZE III,2026-04-13 21:23:40.353
EUW1_7819750582,g5XrWYqIxsdCxJZzHDQteAFW5tWy6OflCU97YbakJLDNWKumuCTIShIoNQk3m2fO3J7UmYhSkBn3SA,1776111190729,1776112505556,1315,False,MasterYi,3,11,2,BRONZE III,2026-04-13 20:35:05.556
