match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821960873,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776298243327,1776299964250,1721,False,Taric,2,10,18,SILVER III,2026-04-16 00:39:24.250
EUW1_7821932187,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776295820987,1776297923223,2102,False,Kindred,5,8,6,SILVER III,2026-04-16 00:05:23.223
EUW1_7821915671,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776293878887,1776295433411,1554,True,Braum,1,4,20,SILVER III,2026-04-15 23:23:53.411
EUW1_7821896862,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776292653445,1776293570192,917,True,Leona,0,2,6,SILVER III,2026-04-15 22:52:50.192
EUW1_7821884663,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776291953390,1776292378110,425,True,Leona,1,0,5,SILVER III,2026-04-15 22:32:58.110
EUW1_7821827107,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776289181415,1776291549716,2368,True,Leona,3,8,26,SILVER III,2026-04-15 22:19:09.716
EUW1_7821790627,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776287353869,1776288532900,1179,True,Senna,1,3,5,SILVER III,2026-04-15 21:28:52.900
EUW1_7821736450,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776285347026,1776286617252,1270,False,Nami,0,7,5,SILVER III,2026-04-15 20:56:57.252
EUW1_7820880854,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776210827304,1776213065291,2238,False,Leona,2,7,16,SILVER III,2026-04-15 00:31:05.291
EUW1_7820860055,g73A9rnWFQqFUPUJzA3ztvDyGE7pFL9Qt6tZjLzewG2NHXPxnvC898UjJtWi021n6AWtdqo9ttZBqw,1776208809122,1776210446410,1637,False,Rakan,1,6,7,SILVER III,2026-04-14 23:47:26.410
