match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7827631563,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776719082964,1776721269629,2187,True,Volibear,9,5,5,SILVER I,2026-04-20 21:41:09.629
EUW1_7827569570,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776716741059,1776718730048,1989,False,Volibear,10,10,0,SILVER I,2026-04-20 20:58:50.048
EUW1_7827460407,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776713135645,1776715206830,2071,True,Volibear,9,4,10,SILVER I,2026-04-20 20:00:06.830
EUW1_7827446372,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776712850823,1776712924854,74,False,Volibear,0,0,0,SILVER I,2026-04-20 19:22:04.854
EUW1_7827390423,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776710562169,1776712393029,1831,False,Volibear,7,10,3,SILVER I,2026-04-20 19:13:13.029
EUW1_7827144751,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776699118596,1776700579146,1461,False,Sona,0,6,13,SILVER I,2026-04-20 15:56:19.146
EUW1_7827099213,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776696658033,1776698795080,2137,False,Volibear,4,12,7,SILVER I,2026-04-20 15:26:35.080
EUW1_7827069233,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776694816183,1776696353707,1537,True,Volibear,9,3,7,SILVER I,2026-04-20 14:45:53.707
EUW1_7827034307,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776692694140,1776693640052,946,False,Volibear,2,2,0,SILVER I,2026-04-20 14:00:40.052
EUW1_7826548749,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776631957236,1776633751974,1795,True,Volibear,8,4,10,SILVER I,2026-04-19 21:22:31.974
EUW1_7826484228,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776629723505,1776631717205,1994,False,Sona,2,10,10,SILVER I,2026-04-19 20:48:37.205
EUW1_7826429186,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776627857742,1776629524541,1667,True,Sona,2,4,20,SILVER I,2026-04-19 20:12:04.541
EUW1_7826360886,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776625458831,1776627319480,1863,False,Volibear,1,9,6,SILVER I,2026-04-19 19:35:19.480
EUW1_7826255334,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776622227467,1776624500202,2273,True,Volibear,12,7,5,SILVER I,2026-04-19 18:48:20.202
EUW1_7826195798,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776619694587,1776621554087,1859,True,Volibear,5,8,0,SILVER I,2026-04-19 17:59:14.087
EUW1_7826129931,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776617032114,1776619386880,2355,False,Sona,2,10,20,SILVER I,2026-04-19 17:23:06.880
EUW1_7826072178,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776614818010,1776616679441,1861,False,Volibear,3,11,5,SILVER I,2026-04-19 16:37:59.441
EUW1_7826011370,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776612399445,1776614359130,1960,True,Volibear,8,4,4,SILVER I,2026-04-19 15:59:19.130
EUW1_7825973651,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776610575090,1776612114919,1540,True,Volibear,4,7,1,SILVER I,2026-04-19 15:21:54.919
EUW1_7825706180,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776598055936,1776600826235,2770,False,Volibear,7,12,9,SILVER I,2026-04-19 12:13:46.235
EUW1_7825649252,gcFpFJxhQgRPr1ogjBulko4AS-W739R2V6SQM7wPvCgdl8OK8A53jPtivc-HoRDAGMgBiZB-y2JZLQ,1776594604234,1776596944569,2340,True,Volibear,11,8,18,SILVER I,2026-04-19 11:09:04.569
