match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7842859930,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777928046510,1777930455097,2408,False,Xerath,3,6,12,GOLD III,2026-05-04 21:34:15.097
EUW1_7842784354,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777925294067,1777927721888,2428,False,Hwei,1,8,8,GOLD III,2026-05-04 20:48:41.888
EUW1_7842610460,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777923011635,1777924942876,1931,False,Sylas,4,9,7,GOLD III,2026-05-04 20:02:22.876
EUW1_7841816151,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777848965444,1777850861319,1896,True,Hwei,7,5,15,GOLD III,2026-05-03 23:27:41.319
EUW1_7841760359,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777845516705,1777846873615,1362,True,Hwei,11,3,6,GOLD III,2026-05-03 22:21:13.615
EUW1_7841712828,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777842976626,1777845323580,2347,True,Lissandra,5,8,16,GOLD III,2026-05-03 21:55:23.580
EUW1_7840594075,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777765951699,1777766341513,390,True,Sylas,0,1,1,GOLD III,2026-05-02 23:59:01.513
EUW1_7840466090,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777758922028,1777761082761,2161,False,Lissandra,2,13,14,GOLD III,2026-05-02 22:31:22.761
EUW1_7840415040,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777756875150,1777758665174,1790,True,Sylas,11,7,8,GOLD III,2026-05-02 21:51:05.174
EUW1_7840332796,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777753521403,1777756467481,2946,False,Sylas,13,10,8,GOLD III,2026-05-02 21:14:27.481
EUW1_7840145127,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777745554253,1777747724305,2170,False,Hwei,8,7,12,GOLD III,2026-05-02 18:48:44.305
EUW1_7839408206,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777677753903,1777679974891,2221,False,Sett,5,8,9,GOLD III,2026-05-01 23:59:34.891
EUW1_7839273473,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777670680690,1777673135715,2455,False,Pantheon,3,8,11,GOLD III,2026-05-01 22:05:35.715
EUW1_7839215663,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777668427788,1777670383803,1956,False,Xerath,6,5,8,GOLD III,2026-05-01 21:19:43.803
EUW1_7838154544,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777587065593,1777588570775,1505,True,Lissandra,7,3,12,GOLD III,2026-04-30 22:36:10.775
EUW1_7838092843,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777584494227,1777586614340,2120,True,Yone,9,7,9,GOLD III,2026-04-30 22:03:34.340
EUW1_7838019148,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777581829009,1777584134046,2305,True,Hwei,12,4,6,GOLD III,2026-04-30 21:22:14.046
EUW1_7837944386,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777578953095,1777580659323,1706,False,Yone,7,9,9,GOLD III,2026-04-30 20:24:19.323
EUW1_7836999025,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777495422312,1777497888319,2466,True,Hwei,5,6,18,GOLD III,2026-04-29 21:24:48.319
EUW1_7836928855,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777492524403,1777494942113,2418,False,Yone,9,9,7,GOLD III,2026-04-29 20:35:42.113
EUW1_7836887813,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777491013809,1777492242598,1229,False,Hwei,5,7,0,GOLD III,2026-04-29 19:50:42.598
EUW1_7835972088,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777410439483,1777412773448,2334,True,Hwei,7,7,4,GOLD III,2026-04-28 21:46:13.448
EUW1_7835860343,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777405538761,1777407416138,1877,False,Hwei,4,7,8,GOLD III,2026-04-28 20:16:56.138
EUW1_7835759936,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777401085552,1777403309121,2223,True,Pantheon,6,8,13,GOLD III,2026-04-28 19:08:29.121
EUW1_7834993258,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777323021546,1777324758590,1737,True,Yone,6,5,5,GOLD III,2026-04-27 21:19:18.590
EUW1_7834933566,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777320443943,1777322509683,2066,True,Mel,18,7,5,GOLD III,2026-04-27 20:41:49.683
EUW1_7834849406,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777317494610,1777319760118,2265,False,Hwei,1,7,9,GOLD III,2026-04-27 19:56:00.118
EUW1_7834798753,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777315319045,1777317129251,1810,True,Yone,4,6,11,GOLD III,2026-04-27 19:12:09.251
EUW1_7834041150,gjTbkEV2D5f_IvCydbDYJXl9ZmC5rJYWE-DMPUuS5sQSb29eO-rCpbxRi15xOzevcQci6xaF6Nq7vw,1777239280422,1777241873953,2593,True,Xerath,11,12,17,GOLD III,2026-04-26 22:17:53.953
