match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7823058209,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776382518508,1776384955915,2437,False,Pantheon,13,8,3,GOLD IV,2026-04-17 00:15:55.915
EUW1_7823039680,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776380418913,1776382004384,1585,False,Pantheon,3,5,1,GOLD IV,2026-04-16 23:26:44.384
EUW1_7822996402,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776378142771,1776380098052,1955,False,Pantheon,16,12,13,GOLD IV,2026-04-16 22:54:58.052
EUW1_7822979784,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776376918867,1776377842061,923,False,Pantheon,3,2,0,GOLD IV,2026-04-16 22:17:22.061
EUW1_7822971119,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776376503255,1776376596606,93,False,Pantheon,0,0,0,GOLD IV,2026-04-16 21:56:36.606
EUW1_7822930304,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776374707887,1776376133827,1426,False,Pantheon,5,11,2,GOLD IV,2026-04-16 21:48:53.827
EUW1_7822821913,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776370351524,1776372988769,2637,True,Pantheon,16,10,10,GOLD IV,2026-04-16 20:56:28.769
EUW1_7822760562,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776368112921,1776370076240,1963,False,Pantheon,7,7,4,GOLD IV,2026-04-16 20:07:56.240
EUW1_7822727930,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776367141216,1776367827174,686,True,Pantheon,2,0,1,GOLD IV,2026-04-16 19:30:27.174
EUW1_7822658443,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776364581605,1776366431690,1850,True,Pantheon,6,11,10,GOLD IV,2026-04-16 19:07:11.690
EUW1_7822510820,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776358433121,1776360153494,1720,False,Garen,8,8,5,GOLD IV,2026-04-16 17:22:33.494
EUW1_7822495884,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776357931562,1776357999208,67,False,Pantheon,0,0,0,GOLD IV,2026-04-16 16:46:39.208
EUW1_7822484708,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776357407839,1776357500841,93,True,Pantheon,0,0,0,GOLD IV,2026-04-16 16:38:20.841
EUW1_7822451673,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776355780954,1776356932116,1151,True,Pantheon,11,4,2,GOLD IV,2026-04-16 16:28:52.116
EUW1_7822417600,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776354039483,1776355489786,1450,True,Pantheon,4,4,4,GOLD IV,2026-04-16 16:04:49.786
EUW1_7822271013,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776345651835,1776347520322,1868,False,Pantheon,6,5,4,GOLD IV,2026-04-16 13:52:00.322
EUW1_7822245540,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776343484489,1776345371840,1887,False,Pantheon,6,11,2,GOLD IV,2026-04-16 13:16:11.840
EUW1_7821984588,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776301575082,1776303645243,2070,False,Pantheon,4,10,2,GOLD IV,2026-04-16 01:40:45.243
EUW1_7821971949,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776300072742,1776301303940,1234,False,Pantheon,1,3,2,GOLD IV,2026-04-16 01:01:43.940
EUW1_7821954405,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776298213575,1776299677383,1464,True,Pantheon,9,4,3,GOLD IV,2026-04-16 00:34:37.383
EUW1_7821944522,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776296279051,1776297779923,1501,False,Pantheon,1,12,3,GOLD IV,2026-04-16 00:02:59.923
EUW1_7821910376,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776294011297,1776295976282,1965,True,Pantheon,20,6,5,GOLD IV,2026-04-15 23:32:56.282
EUW1_7821877570,guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,1776291272280,1776293751674,2479,True,Pantheon,8,10,13,GOLD IV,2026-04-15 22:55:51.674
