match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828198467,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776785319239,1776786746496,1427,False,Veigar,3,9,0,SILVER III,2026-04-21 15:52:26.496
EUW1_7828171592,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776783761551,1776785033666,1277,True,Xerath,6,1,3,SILVER III,2026-04-21 15:23:53.666
EUW1_7828132881,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776781495070,1776783363830,1869,False,Kayle,6,5,4,SILVER III,2026-04-21 14:56:03.830
EUW1_7828106724,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776779612527,1776781170726,1558,False,Mordekaiser,5,5,4,SILVER III,2026-04-21 14:19:30.726
EUW1_7828025575,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776773610118,1776775951295,2341,True,Mordekaiser,18,4,6,SILVER III,2026-04-21 12:52:31.295
EUW1_7827995031,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776771194599,1776773170843,1976,False,Mordekaiser,12,6,6,SILVER III,2026-04-21 12:06:10.843
EUW1_7827953810,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776767112090,1776769096269,1984,True,Mordekaiser,15,5,13,SILVER III,2026-04-21 10:58:16.269
EUW1_7827882505,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776757833915,1776759569670,1736,False,Mordekaiser,4,5,0,SILVER III,2026-04-21 08:19:29.670
EUW1_7827869064,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776756172677,1776757528738,1356,False,Mordekaiser,3,3,4,SILVER III,2026-04-21 07:45:28.738
EUW1_7827867727,h4Kjrxtwz9mT4pyY1L4Jog_Y0vTgmD4Nd0MaEGhMPc-01aAcTxH6dUaZ_mYywUNDYm4k_rPExCOj0w,1776754875759,1776755803266,927,False,Mordekaiser,1,3,1,SILVER III,2026-04-21 07:16:43.266
