match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828908575,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776843134790,1776845467055,2332,False,Irelia,8,11,7,GOLD IV,2026-04-22 08:11:07.055
EUW1_7828709422,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776807036161,1776809105947,2070,False,Anivia,1,7,8,GOLD IV,2026-04-21 22:05:05.947
EUW1_7827882856,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776758491454,1776760173365,1682,True,Mordekaiser,3,3,3,GOLD IV,2026-04-21 08:29:33.365
EUW1_7827884460,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776758003878,1776758107254,103,True,Trundle,0,0,0,GOLD IV,2026-04-21 07:55:07.254
EUW1_7827695257,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776722453920,1776724049939,1596,False,Teemo,8,8,4,GOLD IV,2026-04-20 22:27:29.939
EUW1_7827652176,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776720241114,1776722132519,1891,True,Renekton,6,5,6,GOLD IV,2026-04-20 21:55:32.519
EUW1_7826620131,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776635357578,1776637980530,2623,False,Nasus,3,9,11,GOLD IV,2026-04-19 22:33:00.530
EUW1_7825192611,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776545337854,1776547681712,2344,False,Vayne,4,10,3,GOLD IV,2026-04-18 21:28:01.712
EUW1_7823513282,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776438460107,1776439383210,923,False,Briar,0,5,1,GOLD IV,2026-04-17 15:23:03.210
EUW1_7823501747,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776437750590,1776437997795,247,False,Briar,0,0,1,GOLD IV,2026-04-17 14:59:57.795
EUW1_7823442868,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776434344029,1776436215375,1871,True,Anivia,2,8,13,GOLD IV,2026-04-17 14:30:15.375
EUW1_7823398561,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776431397905,1776433662640,2265,True,Kennen,10,11,17,GOLD IV,2026-04-17 13:47:42.640
EUW1_7823293842,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776423718711,1776425460790,1742,False,Volibear,3,8,3,GOLD IV,2026-04-17 11:31:00.790
EUW1_7823159249,hW5gIT_IoxJz7gEv2q3EITUXbk179CTaWlwbKR5VkULu076qekxItwopsTfZBzA2gfX-TvS9QEqO1Q,1776408310819,1776410840722,2530,True,Renekton,6,7,15,GOLD IV,2026-04-17 07:27:20.722
