match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7828433441,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776796476487,1776798852415,2376,False,Swain,3,11,10,SILVER II,2026-04-21 19:14:12.415
EUW1_7827957978,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776767715766,1776770074449,2359,False,MissFortune,9,11,14,SILVER II,2026-04-21 11:14:34.449
EUW1_7827935129,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776765421159,1776767380338,1959,False,Senna,6,7,6,SILVER II,2026-04-21 10:29:40.338
EUW1_7825863138,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776606046780,1776608454703,2408,False,Aphelios,7,13,12,SILVER II,2026-04-19 14:20:54.703
EUW1_7825828410,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776604566505,1776605726850,1160,False,Aphelios,1,4,1,SILVER II,2026-04-19 13:35:26.850
EUW1_7825795870,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776602764146,1776604143871,1380,False,Swain,3,5,4,SILVER II,2026-04-19 13:09:03.871
EUW1_7824438198,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776508560420,1776510295525,1735,True,Swain,5,6,15,SILVER II,2026-04-18 11:04:55.525
EUW1_7824407296,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776506470871,1776508300582,1830,False,Swain,4,10,15,SILVER II,2026-04-18 10:31:40.582
EUW1_7824343418,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776500640271,1776502662204,2022,True,Swain,10,8,19,SILVER II,2026-04-18 08:57:42.204
EUW1_7821075859,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776251881104,1776254457869,2577,False,Swain,7,10,16,SILVER II,2026-04-15 12:00:57.869
EUW1_7821050652,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776249861615,1776251541509,1680,True,Swain,8,1,14,SILVER II,2026-04-15 11:12:21.509
EUW1_7821020081,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776247092778,1776249491249,2398,True,Swain,4,7,22,SILVER II,2026-04-15 10:38:11.249
EUW1_7820138539,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776165677919,1776167968585,2295,False,Swain,11,11,6,SILVER II,2026-04-14 11:59:28.585
EUW1_7820122638,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776164148852,1776165384535,1236,True,Swain,2,4,10,SILVER II,2026-04-14 11:16:24.535
EUW1_7820028038,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776148865956,1776151215172,2349,True,Ashe,4,13,15,SILVER II,2026-04-14 07:20:15.172
EUW1_7820032520,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776148319776,1776148447138,127,False,Swain,0,0,0,SILVER II,2026-04-14 06:34:07.138
EUW1_7818250470,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776002299525,1776004503122,2203,False,Jhin,4,13,6,SILVER II,2026-04-12 14:35:03.122
EUW1_7818203540,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1776000104224,1776001597737,1493,False,Swain,3,3,4,SILVER II,2026-04-12 13:46:37.737
EUW1_7818152781,hbGK_jmWbT2sLpampeLro4ASjjZDNb0ELiW15l8LgaKd2PlxusBCpmSJiKMe9tAhOCxhiCO_hkNrFw,1775997405392,1775999507725,2102,False,Swain,2,8,10,SILVER II,2026-04-12 13:11:47.725
