match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7826820829,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776672144768,1776674604928,2460,True,MissFortune,24,5,7,SILVER III,2026-04-20 08:43:24.928
EUW1_7822099835,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776331025794,1776333294550,2269,True,Morgana,1,15,25,SILVER III,2026-04-16 09:54:54.550
EUW1_7821970245,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776299983917,1776301905957,1922,True,Lux,5,9,13,SILVER III,2026-04-16 01:11:45.957
EUW1_7821954405,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776298213575,1776299677383,1464,False,Jhin,4,7,4,SILVER III,2026-04-16 00:34:37.383
EUW1_7821932836,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776295602183,1776297537306,1935,True,Caitlyn,8,6,10,SILVER III,2026-04-15 23:58:57.306
EUW1_7821917180,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776294314182,1776295229986,916,True,MissFortune,2,2,3,SILVER III,2026-04-15 23:20:29.986
EUW1_7821883301,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776292273250,1776294047724,1774,False,MissFortune,5,8,0,SILVER III,2026-04-15 23:00:47.724
EUW1_7821209691,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776261427742,1776263334078,1906,True,MissFortune,3,5,3,SILVER III,2026-04-15 14:28:54.078
EUW1_7821168936,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776258769310,1776261039622,2270,False,MissFortune,12,6,6,SILVER III,2026-04-15 13:50:39.622
EUW1_7821144537,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776257023460,1776258441175,1418,True,MissFortune,16,4,4,SILVER III,2026-04-15 13:07:21.175
EUW1_7821079823,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776252330694,1776253444927,1114,False,Caitlyn,1,6,0,SILVER III,2026-04-15 11:44:04.927
EUW1_7821044199,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776249507756,1776251987637,2480,True,MissFortune,4,12,10,SILVER III,2026-04-15 11:19:47.637
EUW1_7820879070,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776210988217,1776212616258,1628,True,MissFortune,7,9,8,SILVER III,2026-04-15 00:23:36.258
EUW1_7820864298,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776209427399,1776210687366,1260,False,Caitlyn,2,7,4,SILVER III,2026-04-14 23:51:27.366
EUW1_7820854493,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776207722226,1776209036534,1314,True,MissFortune,12,5,7,SILVER III,2026-04-14 23:23:56.534
EUW1_7820821975,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776205581821,1776207181053,1599,True,Caitlyn,4,3,12,SILVER III,2026-04-14 22:53:01.053
EUW1_7818687288,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776021589221,1776023102796,1514,False,Caitlyn,5,7,4,SILVER III,2026-04-12 19:45:02.796
EUW1_7818634116,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1776019374258,1776020989014,1615,True,MissFortune,15,3,8,SILVER III,2026-04-12 19:09:49.014
EUW1_7814939285,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775738598571,1775739889399,1291,True,Leona,5,2,11,SILVER III,2026-04-09 13:04:49.399
EUW1_7813733980,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775602477221,1775604744773,2267,False,Caitlyn,7,12,7,SILVER III,2026-04-07 23:32:24.773
EUW1_7813698685,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775599770532,1775601918228,2148,False,Ornn,1,8,4,SILVER III,2026-04-07 22:45:18.228
EUW1_7813688512,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775599355517,1775599482535,127,False,Ornn,0,0,0,SILVER III,2026-04-07 22:04:42.535
EUW1_7813638456,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775596686300,1775598818971,2132,True,Ornn,4,4,15,SILVER III,2026-04-07 21:53:38.971
EUW1_7812512461,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775503961862,1775506817878,2856,False,Caitlyn,8,13,9,SILVER III,2026-04-06 20:20:17.878
EUW1_7812438997,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775501420232,1775503664736,2244,True,Ornn,0,8,13,SILVER III,2026-04-06 19:27:44.736
EUW1_7812380818,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775498845048,1775501066989,2222,False,Alistar,1,14,14,SILVER III,2026-04-06 18:44:26.989
EUW1_7810309441,hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,1775337868992,1775339531785,1663,False,Caitlyn,0,11,1,SILVER III,2026-04-04 21:52:11.785
