match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7824109585,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776464289227,1776466200236,1911,True,Ziggs,6,4,17,SILVER IV,2026-04-17 22:50:00.236
EUW1_7824042849,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776461520369,1776464040829,2520,False,Yasuo,5,13,8,SILVER IV,2026-04-17 22:14:00.829
EUW1_7821883282,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776292179174,1776294084791,1905,False,Yasuo,7,8,5,SILVER IV,2026-04-15 23:01:24.791
EUW1_7821841988,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776289913147,1776291953689,2040,False,Ziggs,3,8,7,SILVER IV,2026-04-15 22:25:53.689
EUW1_7821540489,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776277353036,1776279325266,1972,False,Ziggs,3,11,9,SILVER IV,2026-04-15 18:55:25.266
EUW1_7821134730,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776256462594,1776258313510,1851,False,Ziggs,4,10,1,SILVER IV,2026-04-15 13:05:13.510
EUW1_7820765219,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776202394953,1776204613327,2218,False,Ziggs,10,8,13,SILVER IV,2026-04-14 22:10:13.327
EUW1_7819905892,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776118750084,1776120875656,2125,True,Gragas,6,3,5,SILVER IV,2026-04-13 22:54:35.656
EUW1_7819864721,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1776116300363,1776118387593,2087,True,Ziggs,8,13,27,SILVER IV,2026-04-13 22:13:07.593
EUW1_7816554230,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1775856387162,1775858932414,2545,False,Ziggs,3,12,12,SILVER IV,2026-04-10 22:08:52.414
EUW1_7815614165,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1775775480650,1775777320600,1840,True,Yasuo,3,8,6,SILVER IV,2026-04-09 23:28:40.600
EUW1_7815580711,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1775772692788,1775775221102,2528,True,Ziggs,6,10,19,SILVER IV,2026-04-09 22:53:41.102
EUW1_7815054128,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1775747239524,1775749552877,2313,False,Ziggs,5,7,13,SILVER IV,2026-04-09 15:45:52.877
EUW1_7814926733,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1775737111123,1775739507931,2397,True,Ziggs,12,12,13,SILVER IV,2026-04-09 12:58:27.931
EUW1_7814892360,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1775734632818,1775736709189,2076,True,Ziggs,5,10,9,SILVER IV,2026-04-09 12:11:49.189
EUW1_7814844724,j1JqDHbTLI9ojAklorwkC_jRavs-q6D47BGOl5ogEToeZLY2kV9DeMtNUwnpqp6l-zRb3UdGTnywaA,1775728695071,1775730105857,1411,True,Ziggs,4,5,20,SILVER IV,2026-04-09 10:21:45.857
