match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7830494766,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776971488427,1776973299027,1810,True,Lux,4,7,9,SILVER I,2026-04-23 19:41:39.027
EUW1_7830482387,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776971068936,1776971155895,87,True,Lux,0,0,0,SILVER I,2026-04-23 19:05:55.895
EUW1_7829079677,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776862032730,1776863516378,1484,False,Lux,1,9,7,SILVER I,2026-04-22 13:11:56.378
EUW1_7827889470,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776758905730,1776760874294,1968,False,Lux,6,5,17,SILVER I,2026-04-21 08:41:14.294
EUW1_7826557878,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776632371896,1776633308610,937,True,Lux,3,2,7,SILVER I,2026-04-19 21:15:08.610
EUW1_7825183468,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776544952993,1776546853294,1900,True,Lux,9,6,14,SILVER I,2026-04-18 21:14:13.294
EUW1_7825103715,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776541962293,1776544699407,2737,True,Lux,10,8,15,SILVER I,2026-04-18 20:38:19.407
EUW1_7824614100,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776519090091,1776521381792,2292,True,Lux,3,6,18,SILVER I,2026-04-18 14:09:41.792
EUW1_7824593051,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776517851719,1776518775567,924,False,Lux,2,1,3,SILVER I,2026-04-18 13:26:15.567
EUW1_7823884899,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776455594730,1776457355059,1760,False,Lux,1,7,5,SILVER I,2026-04-17 20:22:35.059
EUW1_7823823774,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776453262185,1776455372499,2110,True,Lux,13,9,18,SILVER I,2026-04-17 19:49:32.499
EUW1_7822879623,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776372609254,1776375271094,2662,False,Lux,14,7,19,SILVER I,2026-04-16 21:34:31.094
EUW1_7822812344,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776370152568,1776372183874,2031,True,Lux,4,5,13,SILVER I,2026-04-16 20:43:03.874
EUW1_7822787639,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776369040402,1776369906581,866,False,Lux,0,0,3,SILVER I,2026-04-16 20:05:06.581
EUW1_7822117523,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776332532560,1776334039689,1507,False,Lux,2,7,6,SILVER I,2026-04-16 10:07:19.689
EUW1_7821271042,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776265266313,1776268176197,2910,True,Lux,6,11,24,SILVER I,2026-04-15 15:49:36.197
EUW1_7821227525,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776262331235,1776264303038,1972,True,Lux,7,11,13,SILVER I,2026-04-15 14:45:03.038
EUW1_7821212155,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776261951018,1776262058391,107,True,Lux,0,0,0,SILVER I,2026-04-15 14:07:38.391
EUW1_7820998245,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776244614811,1776246500322,1886,False,Xerath,7,7,11,SILVER I,2026-04-15 09:48:20.322
EUW1_7820985682,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776242607235,1776244242980,1636,False,Lux,6,11,7,SILVER I,2026-04-15 09:10:42.980
EUW1_7820971354,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776242190706,1776242322910,132,True,Lux,0,0,0,SILVER I,2026-04-15 08:38:42.910
EUW1_7819776754,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776112390799,1776114183887,1793,True,Lux,12,5,8,SILVER I,2026-04-13 21:03:03.887
EUW1_7819725405,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776110475137,1776112056603,1581,True,Lux,9,4,16,SILVER I,2026-04-13 20:27:36.603
EUW1_7819657561,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776107648486,1776110295492,2647,True,Lux,3,9,20,SILVER I,2026-04-13 19:58:15.492
EUW1_7818800883,j9SA1eN_6XdVjVgSTTsqTpZzCIEdCfIjsaYrtXh2OjtzsG6Cv4Ydy3nCIvk2nzTnibiCrjBNjOqyHg,1776025670095,1776028371579,2701,True,Lux,5,11,25,SILVER I,2026-04-12 21:12:51.579
