match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7837027527,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777496201359,1777498412025,2210,False,Kayn,5,9,12,GOLD IV,2026-04-29 21:33:32.025
EUW1_7834802942,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777315604611,1777316798478,1194,False,Kayn,4,2,2,GOLD IV,2026-04-27 19:06:38.478
EUW1_7833290926,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777205755677,1777207318272,1562,False,Kayn,1,6,2,GOLD IV,2026-04-26 12:41:58.272
EUW1_7832908284,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777157306740,1777159390986,2084,False,Kayn,12,17,13,GOLD IV,2026-04-25 23:23:10.986
EUW1_7832880634,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777155382564,1777156983292,1601,True,Kayn,4,7,6,GOLD IV,2026-04-25 22:43:03.292
EUW1_7832331814,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777128922016,1777130528625,1611,True,Kayn,8,6,9,GOLD IV,2026-04-25 15:22:08.625
EUW1_7831178730,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777040166288,1777041469158,1304,False,Kayn,4,9,2,GOLD IV,2026-04-24 14:37:49.158
EUW1_7831132098,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1777037310740,1777039804282,2493,True,Kayn,9,4,8,GOLD IV,2026-04-24 14:10:04.282
EUW1_7830115009,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1776951188096,1776953526738,2339,True,Kayn,8,12,10,GOLD IV,2026-04-23 14:12:06.738
EUW1_7829592015,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1776888831571,1776890926845,2095,False,Kayn,7,12,12,GOLD IV,2026-04-22 20:48:46.845
EUW1_7829589493,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1776888518103,1776888596664,78,False,Kayn,0,0,0,GOLD IV,2026-04-22 20:09:56.664
EUW1_7828524645,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1776799586459,1776802095748,2509,True,Teemo,2,11,9,GOLD IV,2026-04-21 20:08:15.748
EUW1_7828459423,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1776797409235,1776799287508,1878,False,Kayn,5,11,7,GOLD IV,2026-04-21 19:21:27.508
EUW1_7828276368,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1776789797767,1776792239678,2442,True,Kayn,11,11,9,GOLD IV,2026-04-21 17:23:59.678
EUW1_7828159224,jDMoKcspQW1D4Jh_d7UpQVIT4cVj99IbvCj51sn70zD1PN_BKgJ6GEHiUCNJw_Pjbq3IoK4DpLjZDA,1776783403405,1776785539541,2136,False,Kayn,11,9,11,GOLD IV,2026-04-21 15:32:19.541
