match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841449450,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777833217753,1777834557405,1339,False,Orianna,1,2,0,SILVER II,2026-05-03 18:55:57.405
EUW1_7841343250,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777828889649,1777830560649,1671,True,Evelynn,18,1,6,SILVER II,2026-05-03 17:49:20.649
EUW1_7841248536,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777824603379,1777827599147,2996,False,XinZhao,25,12,7,SILVER II,2026-05-03 16:59:59.147
EUW1_7841016566,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777814472211,1777816673694,2201,False,Annie,17,10,10,SILVER II,2026-05-03 13:57:53.694
EUW1_7840958866,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777811809151,1777814058927,2250,True,Orianna,7,8,23,SILVER II,2026-05-03 13:14:18.927
EUW1_7840668260,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777777185393,1777779733785,2548,True,Orianna,16,7,7,SILVER II,2026-05-03 03:42:13.785
EUW1_7840650724,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777772067016,1777774249963,2183,True,Syndra,12,5,10,SILVER II,2026-05-03 02:10:49.963
EUW1_7840622055,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777768610981,1777771102372,2491,False,Vex,10,11,6,SILVER II,2026-05-03 01:18:22.372
EUW1_7839840174,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777729636388,1777731413593,1777,True,Annie,14,4,11,SILVER II,2026-05-02 14:16:53.593
EUW1_7839494095,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777687680122,1777689751868,2072,True,Evelynn,14,2,9,SILVER II,2026-05-02 02:42:31.868
EUW1_7838867995,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777653004838,1777655201892,2197,True,Annie,15,9,5,SILVER II,2026-05-01 17:06:41.892
EUW1_7838807254,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777650015315,1777652718004,2702,False,Kindred,10,14,7,SILVER II,2026-05-01 16:25:18.004
EUW1_7838762673,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777647660981,1777649582783,1922,False,Kindred,15,6,8,SILVER II,2026-05-01 15:33:02.783
EUW1_7836497283,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777473683925,1777476601929,2918,False,Cassiopeia,8,11,9,SILVER II,2026-04-29 15:30:01.929
EUW1_7836463748,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777471559143,1777473408373,1849,False,Annie,6,9,2,SILVER II,2026-04-29 14:36:48.373
EUW1_7835697445,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777398266620,1777400571968,2305,True,Annie,21,6,10,SILVER II,2026-04-28 18:22:51.968
EUW1_7835634804,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777394791326,1777397531714,2740,False,Annie,14,9,9,SILVER II,2026-04-28 17:32:11.714
EUW1_7835592444,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777392955771,1777394461669,1506,True,Annie,11,3,6,SILVER II,2026-04-28 16:41:01.669
EUW1_7835584320,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777392501248,1777392573013,72,True,Annie,0,0,0,SILVER II,2026-04-28 16:09:33.013
EUW1_7834047680,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777239211323,1777241925690,2714,True,Viktor,15,7,14,SILVER II,2026-04-26 22:18:45.690
EUW1_7833465778,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777214818488,1777217489136,2671,False,Cassiopeia,15,7,2,SILVER II,2026-04-26 15:31:29.136
EUW1_7833022673,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777167635139,1777169517474,1882,True,Annie,7,4,3,SILVER II,2026-04-26 02:11:57.474
EUW1_7832419131,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777133910124,1777136087829,2178,True,Nami,2,1,21,SILVER II,2026-04-25 16:54:47.829
EUW1_7831928331,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777087716891,1777089861776,2145,True,Hwei,8,9,11,SILVER II,2026-04-25 04:04:21.776
EUW1_7831925726,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777084994242,1777087370505,2376,False,Viktor,21,11,13,SILVER II,2026-04-25 03:22:50.505
EUW1_7831918500,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777081980670,1777084066353,2086,False,Vex,14,7,14,SILVER II,2026-04-25 02:27:46.353
EUW1_7831903835,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777079786759,1777081444428,1657,True,Vex,6,2,3,SILVER II,2026-04-25 01:44:04.428
EUW1_7831877350,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777076692803,1777079224855,2532,False,Soraka,0,10,18,SILVER II,2026-04-25 01:07:04.855
EUW1_7831859119,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777074679403,1777076441155,1762,True,Milio,1,1,15,SILVER II,2026-04-25 00:20:41.155
EUW1_7831837161,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1777073001443,1777074221350,1220,True,Nami,0,3,13,SILVER II,2026-04-24 23:43:41.350
EUW1_7830119370,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1776951705288,1776953166676,1461,False,Cassiopeia,3,8,4,SILVER II,2026-04-23 14:06:06.676
EUW1_7828822880,jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,1776814226294,1776816623276,2397,False,Annie,18,9,3,SILVER II,2026-04-22 00:10:23.276
