match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7839398266,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777677077734,1777679087653,2010,True,Ahri,14,5,8,GOLD IV,2026-05-01 23:44:47.653
EUW1_7839368160,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777675302798,1777676789487,1487,True,Sylas,13,5,10,GOLD IV,2026-05-01 23:06:29.487
EUW1_7839296738,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777671695171,1777674826578,3131,True,Ambessa,13,10,12,GOLD IV,2026-05-01 22:33:46.578
EUW1_7839221232,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777668844596,1777671425003,2580,True,Sylas,14,11,21,GOLD IV,2026-05-01 21:37:05.003
EUW1_7839166475,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777666512406,1777668629300,2117,True,Sylas,17,5,18,GOLD IV,2026-05-01 20:50:29.300
EUW1_7839037210,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777661328109,1777663241348,1913,False,Sion,2,5,14,GOLD IV,2026-05-01 19:20:41.348
EUW1_7838980701,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777658449585,1777660990204,2540,True,Viktor,5,4,17,GOLD IV,2026-05-01 18:43:10.204
EUW1_7838939225,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777656614059,1777658188768,1575,True,Yorick,0,4,10,GOLD IV,2026-05-01 17:56:28.768
EUW1_7838297903,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777597932384,1777599102126,1170,True,Bard,2,1,9,GOLD IV,2026-05-01 01:31:42.126
EUW1_7838275315,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777595667341,1777597602111,1935,False,Samira,11,7,3,GOLD IV,2026-05-01 01:06:42.111
EUW1_7837819234,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777573530659,1777575200350,1670,True,Lucian,5,5,9,GOLD IV,2026-04-30 18:53:20.350
EUW1_7837773705,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777571042803,1777572633725,1591,False,Ezreal,1,6,8,GOLD IV,2026-04-30 18:10:33.725
EUW1_7837686317,kpfxKm93kXnaIXyLKR5m_5CrKGm8wJfsuLVoD_tEr7camv71xALPFCq87_1gSnltB6vCWyd5loeKog,1777566673926,1777568709260,2035,True,Caitlyn,7,8,9,GOLD IV,2026-04-30 17:05:09.260
