match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7821936309,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1776296097246,1776297663583,1566,False,Shen,4,7,11,BRONZE III,2026-04-16 00:01:03.583
EUW1_7821915671,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1776293878887,1776295433411,1554,False,Gragas,0,12,6,BRONZE III,2026-04-15 23:23:53.411
EUW1_7816693854,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1775863069585,1775865320669,2251,True,Zaahen,19,6,10,BRONZE III,2026-04-10 23:55:20.669
EUW1_7810953641,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1775400900597,1775401833787,933,True,Xayah,7,4,5,BRONZE III,2026-04-05 15:10:33.787
EUW1_7810229776,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1775334416134,1775336158539,1742,False,Yuumi,1,6,10,BRONZE III,2026-04-04 20:55:58.539
EUW1_7803198529,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1774794194132,1774796167145,1973,True,Pantheon,25,9,9,BRONZE III,2026-03-29 14:56:07.145
EUW1_7803137448,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1774791668572,1774793724306,2056,False,Kayn,12,9,9,BRONZE III,2026-03-29 14:15:24.306
EUW1_7803094609,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1774789213266,1774791141984,1929,False,JarvanIV,6,9,12,BRONZE III,2026-03-29 13:32:21.984
EUW1_7803051545,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1774786829413,1774788914964,2085,True,MasterYi,21,11,8,BRONZE III,2026-03-29 12:55:14.964
EUW1_7792048763,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1774132509309,1774134117280,1608,False,Kayn,8,7,6,BRONZE III,2026-03-21 23:01:57.280
EUW1_7757316424,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1772307899424,1772309304602,1405,True,Sylas,20,5,5,BRONZE III,2026-02-28 20:08:24.602
EUW1_7750594442,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1771962173481,1771963408919,1235,True,Sylas,15,5,8,BRONZE III,2026-02-24 20:03:28.919
EUW1_7749154356,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1771884703846,1771886365674,1662,True,Yone,9,7,8,BRONZE III,2026-02-23 22:39:25.674
EUW1_7748533132,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1771867107196,1771868017846,911,True,Azir,10,2,3,BRONZE III,2026-02-23 17:33:37.846
EUW1_7662199156,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766969078826,1766969204245,125,False,Yasuo,0,0,0,BRONZE III,2025-12-29 00:46:44.245
EUW1_7662158391,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766966674937,1766968482873,1808,False,Akali,10,9,5,BRONZE III,2025-12-29 00:34:42.873
EUW1_7655277383,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766514951671,1766516574732,1623,False,Jayce,6,12,3,BRONZE III,2025-12-23 19:02:54.732
EUW1_7655237586,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766512960615,1766514535746,1575,True,Yone,18,4,8,BRONZE III,2025-12-23 18:28:55.746
EUW1_7655180114,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766510515848,1766512494361,1978,True,Zeri,6,11,8,BRONZE III,2025-12-23 17:54:54.361
EUW1_7655147583,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766508817146,1766510191724,1374,True,Yone,10,1,11,BRONZE III,2025-12-23 17:16:31.724
EUW1_7655121563,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766507587366,1766508529461,942,True,Yone,7,1,2,BRONZE III,2025-12-23 16:48:49.461
EUW1_7655087399,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766506328704,1766507302902,974,True,Tristana,11,4,3,BRONZE III,2025-12-23 16:28:22.902
EUW1_7655050967,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1766504446040,1766506092532,1646,True,Yone,14,8,5,BRONZE III,2025-12-23 16:08:12.532
EUW1_7450361246,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1751524222416,1751526938584,2716,False,Yone,16,11,12,BRONZE III,2025-07-03 07:15:38.584
EUW1_7450357161,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1751522935034,1751523813883,879,False,Yone,1,1,2,BRONZE III,2025-07-03 06:23:33.883
EUW1_7437554087,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1750371692428,1750373188465,1496,False,Sylas,6,6,1,BRONZE III,2025-06-19 22:46:28.465
EUW1_7380861378,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1745604278242,1745606884351,2606,True,Qiyana,12,11,11,BRONZE III,2025-04-25 18:48:04.351
EUW1_7297121330,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1738875280649,1738877650834,2370,False,Viktor,1,12,3,BRONZE III,2025-02-06 21:34:10.834
EUW1_7276368951,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1737486209491,1737487623971,1414,True,Rell,2,4,17,BRONZE III,2025-01-21 19:27:03.971
EUW1_7256953973,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1736142859572,1736144227698,1368,False,Varus,2,6,2,BRONZE III,2025-01-06 06:17:07.698
EUW1_7255567515,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1736053479954,1736055055193,1575,False,Vi,8,4,7,BRONZE III,2025-01-05 05:30:55.193
EUW1_7255562565,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1736052134477,1736053093587,959,False,Senna,1,5,2,BRONZE III,2025-01-05 04:58:13.587
EUW1_7255542754,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1736047990554,1736050039367,2048,False,Rell,8,9,20,BRONZE III,2025-01-05 04:07:19.367
EUW1_7247458096,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1735502408827,1735504244785,1836,False,KSante,3,9,8,BRONZE III,2024-12-29 20:30:44.785
EUW1_7247395696,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1735500045221,1735502106754,2061,False,Smolder,2,11,7,BRONZE III,2024-12-29 19:55:06.754
EUW1_7245750861,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1735401720193,1735404008846,2288,False,Sylas,5,10,4,BRONZE III,2024-12-28 16:40:08.846
EUW1_7245707208,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1735399608720,1735401235288,1626,True,Azir,4,5,9,BRONZE III,2024-12-28 15:53:55.288
EUW1_7239689834,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1734971028072,1734973133541,2105,True,Sylas,20,11,7,BRONZE III,2024-12-23 16:58:53.541
EUW1_7239515169,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1734962610832,1734962745317,134,False,Smolder,0,0,0,BRONZE III,2024-12-23 14:05:45.317
EUW1_7239465777,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1734959700391,1734962076202,2375,False,Leblanc,7,12,15,BRONZE III,2024-12-23 13:54:36.202
EUW1_7239326886,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1734950496554,1734953258214,2761,True,Yone,11,12,13,BRONZE III,2024-12-23 11:27:38.214
EUW1_7223046591,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733872555627,1733873890757,1335,False,Sylas,4,9,2,BRONZE III,2024-12-10 23:38:10.757
EUW1_7222892884,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733866293515,1733867990603,1697,False,Yone,3,14,7,BRONZE III,2024-12-10 21:59:50.603
EUW1_7222815867,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733863659103,1733865646992,1988,False,Zeri,5,11,12,BRONZE III,2024-12-10 21:20:46.992
EUW1_7222701183,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733859828909,1733861580825,1752,True,Sylas,10,7,6,BRONZE III,2024-12-10 20:13:00.825
EUW1_7219264279,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733617928945,1733619695874,1767,True,Corki,4,6,13,BRONZE III,2024-12-08 01:01:35.874
EUW1_7210686367,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733081085395,1733082945641,1860,True,Renekton,7,8,7,BRONZE III,2024-12-01 19:55:45.641
EUW1_7210487912,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733074897589,1733076348261,1450,True,KSante,11,5,6,BRONZE III,2024-12-01 18:05:48.261
EUW1_7210408625,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733072404226,1733074514950,2110,False,Smolder,8,10,2,BRONZE III,2024-12-01 17:35:14.950
EUW1_7209474869,lCxHh3tmaHnO-26WCL3mK3rk9GbN13Q2PkIKKsoudARsASm8xckc1oDQSAcnsNs1V6fPvm_et7DQRA,1733009992632,1733011814345,1821,True,KSante,5,2,5,BRONZE III,2024-12-01 00:10:14.345
