match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7841852216,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777852481746,1777854710983,2229,True,Lulu,1,7,21,SILVER II,2026-05-04 00:31:50.983
EUW1_7841848354,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777852105388,1777852185846,80,False,Lux,0,0,0,SILVER II,2026-05-03 23:49:45.846
EUW1_7841825428,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777850046557,1777851817376,1771,False,Ahri,7,10,10,SILVER II,2026-05-03 23:43:37.376
EUW1_7841740961,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777844367384,1777846549349,2182,True,Lux,7,3,10,SILVER II,2026-05-03 22:15:49.349
EUW1_7841730189,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777843952061,1777844033615,81,False,Malzahar,0,0,0,SILVER II,2026-05-03 21:33:53.615
EUW1_7841695031,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777842343507,1777843685888,1342,False,Lux,1,4,3,SILVER II,2026-05-03 21:28:05.888
EUW1_7838717799,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777645559209,1777647581142,2022,False,Malzahar,5,6,6,SILVER II,2026-05-01 14:59:41.142
EUW1_7838681782,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777643549977,1777644241626,692,True,Lux,2,0,0,SILVER II,2026-05-01 14:04:01.626
EUW1_7838634776,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777640941060,1777643193112,2252,True,Ahri,8,14,16,SILVER II,2026-05-01 13:46:33.112
EUW1_7838510098,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777633288186,1777635541911,2254,False,Syndra,3,12,12,SILVER II,2026-05-01 11:39:01.911
EUW1_7838490091,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777631862280,1777633019283,1157,True,Malzahar,7,4,11,SILVER II,2026-05-01 10:56:59.283
EUW1_7838458242,lJOVkRhr6fXMgWetO2cbeSHt70qlzZDfN6DqnieFTLBtjHWFVZ_9y8Gy_qcQ2pW7PmuoONMoYlkx6A,1777629637905,1777631575502,1937,True,Ahri,4,6,6,SILVER II,2026-05-01 10:32:55.502
