match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7822359603,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776350923815,1776353000420,2081,True,DrMundo,12,0,9,SILVER II,2026-04-16 15:23:20.420
EUW1_7822215119,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776341634467,1776343666222,2032,True,DrMundo,6,5,18,SILVER II,2026-04-16 12:47:46.222
EUW1_7822073783,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776327945556,1776330020213,2075,True,DrMundo,19,5,19,SILVER II,2026-04-16 09:00:20.213
EUW1_7822065264,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776327459954,1776327543929,84,True,DrMundo,0,0,0,SILVER II,2026-04-16 08:19:03.929
EUW1_7822058411,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776326124828,1776326848032,723,True,DrMundo,2,0,4,SILVER II,2026-04-16 08:07:28.032
EUW1_7821807279,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776288279739,1776290500100,2220,True,JarvanIV,16,3,23,SILVER II,2026-04-15 22:01:40.100
EUW1_7821632094,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776281193955,1776282666676,1473,True,DrMundo,9,4,10,SILVER II,2026-04-15 19:51:06.676
EUW1_7821502241,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776276218869,1776278863734,2645,False,DrMundo,7,5,18,SILVER II,2026-04-15 18:47:43.734
EUW1_7821420438,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776272583522,1776275021566,2438,True,DrMundo,10,8,10,SILVER II,2026-04-15 17:43:41.566
EUW1_7821347803,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776268914245,1776270892891,1979,True,DrMundo,11,3,10,SILVER II,2026-04-15 16:34:52.891
EUW1_7821302052,lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,1776266974978,1776267919170,944,True,DrMundo,3,2,7,SILVER II,2026-04-15 15:45:19.170
