match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7839494937,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777687333047,1777689707165,2374,False,Katarina,19,11,4,SILVER IV,2026-05-02 02:41:47.165
EUW1_7839481812,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777684632022,1777687091665,2459,True,Katarina,15,8,17,SILVER IV,2026-05-02 01:58:11.665
EUW1_7839476045,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777684193532,1777684268349,75,True,Katarina,0,0,0,SILVER IV,2026-05-02 01:11:08.349
EUW1_7839461946,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777682409611,1777682492890,83,False,Katarina,0,0,0,SILVER IV,2026-05-02 00:41:32.890
EUW1_7839440261,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777680204176,1777681913337,1709,False,Fizz,16,7,0,SILVER IV,2026-05-02 00:31:53.337
EUW1_7839429133,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777679147951,1777679838855,691,False,Katarina,2,2,1,SILVER IV,2026-05-01 23:57:18.855
EUW1_7839370559,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777675118041,1777677106784,1989,False,Katarina,9,7,4,SILVER IV,2026-05-01 23:11:46.784
EUW1_7839288419,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777671654490,1777673397687,1743,True,Fizz,9,4,2,SILVER IV,2026-05-01 22:09:57.687
EUW1_7839233463,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777669156031,1777671344309,2189,True,Katarina,12,4,12,SILVER IV,2026-05-01 21:35:44.309
EUW1_7839218119,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777668671538,1777668763723,92,False,Katarina,0,0,0,SILVER IV,2026-05-01 20:52:43.723
EUW1_7839163328,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777666600930,1777668202836,1602,True,Katarina,13,2,7,SILVER IV,2026-05-01 20:43:22.836
EUW1_7839110606,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777664221886,1777666325982,2104,True,Katarina,21,6,5,SILVER IV,2026-05-01 20:12:05.982
EUW1_7839045187,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777661643756,1777663957291,2313,True,Katarina,18,8,12,SILVER IV,2026-05-01 19:32:37.291
EUW1_7838344622,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777612813342,1777614556520,1743,True,Katarina,8,6,4,SILVER IV,2026-05-01 05:49:16.520
EUW1_7838336035,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777610311963,1777612545186,2233,False,Katarina,16,7,3,SILVER IV,2026-05-01 05:15:45.186
EUW1_7838337517,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777608479207,1777610030508,1551,False,Katarina,2,5,6,SILVER IV,2026-05-01 04:33:50.508
EUW1_7838325253,lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,1777606193480,1777607886153,1693,False,Nasus,11,8,3,SILVER IV,2026-05-01 03:58:06.153
